check,value
Source engineered dataset,/Users/ahthini/Desktop/DissProject/outputs/t2_3_engineered_dataset.csv
Source dataset modified time,2026-08-25T17:00:39.323887348
Rows in source engineered dataset,238491
Original predictor columns,1435
Processed predictor columns,1688
Training admissions,191320
Test admissions,47171
Training patients,86340
Test patients,21586
Patient overlap between train and test,0
Training readmission rate (%),19.88
Test readmission rate (%),19.76
Modelling context,full_record_benchmark
