csv_path,sheet_name,rows,columns,rows_written,note
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_class_weight_summary.csv,1_class_weight_summary,4,2,4,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_clean_feature_audit_summary.csv,clean_feature_audit_summary,6,2,6,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_methodological_audit.csv,t3_1_methodological_audit,16,2,16,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_missing_feature_group_review.csv,missing_feature_group_review,39,9,39,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_missing_requested_features_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set,23,1,23,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_modelling_preparation_summary.csv,1_modelling_preparation_summary,13,2,13,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_primary_reduced_feature_selection_audit_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_1,1618,15,1618,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_processed_feature_names.csv,1_processed_feature_names,1688,1,1688,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_processed_feature_names_clean_feature_audit.csv,names_clean_feature_audit,1618,1,1618,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_processed_feature_names_runtime_trimmed_feature_audit.csv,runtime_trimmed_feature_audit,1588,1,1588,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_processed_feature_names_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_2,973,1,973,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_rebuilt_reduced_matrix_summary_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_3,14,2,14,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_removed_processed_feature_names_clean_feature_audit.csv,names_clean_feature_audit_1,70,1,70,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_removed_processed_feature_names_runtime_trimmed_feature_audit.csv,runtime_trimmed_feature_audit_1,100,1,100,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_removed_processed_feature_names_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_4,645,1,645,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_test_extended_outcomes.csv,1_test_extended_outcomes,47171,11,47171,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_test_ids.csv,t3_1_test_ids,47171,13,47171,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_train_extended_outcomes.csv,1_train_extended_outcomes,191320,11,191320,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_train_ids.csv,t3_1_train_ids,191320,13,191320,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_y_test.csv,t3_1_y_test,47171,1,47171,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/t3_1_y_train.csv,t3_1_y_train,191320,1,191320,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_1/wp3_1_csv_table_workbook_index.csv,1_table_workbook_index,39,6,39,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_primary_reduced_feature_selection_audit_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_5,1618,15,1618,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_processed_feature_names_clean_feature_audit.csv,names_clean_feature_audit_2,1618,1,1618,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_processed_feature_names_runtime_trimmed_feature_audit.csv,runtime_trimmed_feature_audit_2,1588,1,1588,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_processed_feature_names_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_6,973,1,973,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_rebuilt_reduced_matrix_summary_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_7,14,2,14,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_removed_processed_feature_names_clean_feature_audit.csv,names_clean_feature_audit_3,70,1,70,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_removed_processed_feature_names_runtime_trimmed_feature_audit.csv,runtime_trimmed_feature_audit_3,100,1,100,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_1_removed_processed_feature_names_shap_guided_reduced_feature_set.csv,guided_reduced_feature_set_8,645,1,645,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_feature_audit_candidate_removal_review.csv,audit_candidate_removal_review,357,32,357,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_feature_audit_feature_families.csv,feature_audit_feature_families,334,9,334,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_feature_audit_missing_feature_group_review.csv,missing_feature_group_review_1,39,9,39,complete
/Users/ahthini/Desktop/DissProject/outputs/WP3_feature_audit/t3_feature_audit_output_file_summary.csv,audit_output_file_summary,19,3,19,complete
