processed_feature_name,coefficient,absolute_coefficient,direction
num__late_order_intensity_score_last_12h,-1.8530419552219468,1.8530419552219468,Lower predicted risk
cat__discharge_location_Unknown / not modelled,-1.3126137887021676,1.3126137887021676,Lower predicted risk
cat__discharge_location_Unknown,1.0630506081981295,1.0630506081981295,Higher predicted risk
num__num_unique_poe_order_categories,0.865488155873884,0.865488155873884,Higher predicted risk
cat__race_UNKNOWN,-0.8167268628779241,0.8167268628779241,Lower predicted risk
num__num_unique_order_subtypes,-0.7799546950620441,0.7799546950620441,Lower predicted risk
cat__race_UNABLE TO OBTAIN,-0.5877165844115706,0.5877165844115706,Lower predicted risk
num__potassium_lab_value_range,0.5841614597855785,0.5841614597855785,Higher predicted risk
num__potassium_lab_max_value,-0.5109337789315591,0.5109337789315591,Lower predicted risk
cat__marital_status_Unknown,-0.46922767125125675,0.46922767125125675,Lower predicted risk
num__had_followup_or_outpatient_referral_order,0.45306395062780574,0.45306395062780574,Higher predicted risk
num__late_orders_but_followup_present_flag,-0.4262216353466837,0.4262216353466837,Lower predicted risk
num__potassium_lab_min_value,0.40424776256353134,0.40424776256353134,Higher predicted risk
num__glucose_lab_first_value,-0.40294317382644673,0.40294317382644673,Lower predicted risk
num__glucose_lab_value_change,-0.38399600007084816,0.38399600007084816,Lower predicted risk
num__num_discontinued_orders,0.37401229652533813,0.37401229652533813,Higher predicted risk
num__late_medication_orders_last_12h,0.36799251134109373,0.36799251134109373,Higher predicted risk
num__late_order_severity_score_last_12h,0.3472228358225183,0.3472228358225183,Higher predicted risk
num__glucose_lab_max_value,-0.3460025182840823,0.3460025182840823,Lower predicted risk
num__late_clinical_order_count_last_12h,0.3452893111799151,0.3452893111799151,Higher predicted risk
num__late_nonroutine_order_count_last_12h,0.3376945843836006,0.3376945843836006,Higher predicted risk
num__glucose_lab_value_range,0.3254368574761548,0.3254368574761548,Higher predicted risk
num__hemoglobin_lab_first_value,-0.3249308215730898,0.3249308215730898,Lower predicted risk
cat__last_service_TRAUM,-0.30226368202749776,0.30226368202749776,Lower predicted risk
num__num_scheduled_pharmacy_orders,0.2908787125678344,0.2908787125678344,Higher predicted risk
num__late_orders_but_discharge_planning_present_flag,0.29056919827696615,0.29056919827696615,Higher predicted risk
num__late_order_discontinuation_share,-0.2848093907460072,0.2848093907460072,Lower predicted risk
num__num_verified_pharmacy_orders,-0.27225878750018606,0.27225878750018606,Lower predicted risk
num__num_pharmacy_records,-0.27225241489538193,0.27225241489538193,Lower predicted risk
num__urea_nitrogen_lab_first_24h_mean,-0.2692580989492536,0.2692580989492536,Lower predicted risk
num__glucose_lab_last_value,0.26593028359998544,0.26593028359998544,Higher predicted risk
cat__first_service_PSYCH,-0.25633806456059466,0.25633806456059466,Lower predicted risk
num__mean_previous_los_days_filled,0.2559405773781948,0.2559405773781948,Higher predicted risk
num__has_previous_hospital_admission,-0.25320145241984376,0.25320145241984376,Lower predicted risk
num__medical_complexity_score,-0.25058200941846975,0.25058200941846975,Lower predicted risk
num__num_med_orders_with_duration,0.2501685351665559,0.2501685351665559,Higher predicted risk
cat__discharge_location_grouped_Unknown / not modelled,-0.24956318050412135,0.24956318050412135,Lower predicted risk
cat__discharge_location_CHRONIC/LONG TERM ACUTE CARE,-0.24916899091466874,0.24916899091466874,Lower predicted risk
cat__discharge_location_grouped_Other,0.24849890569826827,0.24849890569826827,Higher predicted risk
num__ed_to_admission_hours_filled,-0.24648324107930927,0.24648324107930927,Lower predicted risk
cat__first_service_NSURG,0.2397936555313344,0.2397936555313344,Higher predicted risk
cat__last_service_OMED,0.23917522504537828,0.23917522504537828,Higher predicted risk
num__heart_rate_vital_min_value,0.23718821495240167,0.23718821495240167,Higher predicted risk
num__new_orders_last_24h_before_discharge_flag,0.23569521839444676,0.23569521839444676,Higher predicted risk
cat__last_icu_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),-0.23534442049957446,0.23534442049957446,Lower predicted risk
num__heart_rate_vital_value_range,-0.23364486270170948,0.23364486270170948,Lower predicted risk
num__had_followup_or_discharge_planning_order,-0.22527222346304332,0.22527222346304332,Lower predicted risk
num__emar_administered_event_count,0.22190415456124107,0.22190415456124107,Higher predicted risk
num__discharged_to_facility_flag,-0.22138911488329366,0.22138911488329366,Lower predicted risk
num__discharged_to_snf_flag,0.2116451218131015,0.2116451218131015,Higher predicted risk
cat__first_service_OBS,0.2109536919824702,0.2109536919824702,Higher predicted risk
num__urea_nitrogen_lab_max_value,-0.207688761850948,0.207688761850948,Lower predicted risk
num__mean_previous_los_days,-0.20354662087070258,0.20354662087070258,Lower predicted risk
num__discharged_home_with_services_flag,0.20166665168990994,0.20166665168990994,Higher predicted risk
num__orders_after_72h_count,-0.19573973767000427,0.19573973767000427,Lower predicted risk
num__prescriptions_per_hospital_day,0.18991371260487427,0.18991371260487427,Higher predicted risk
num__heart_rate_vital_relative_range,-0.18967291993132906,0.18967291993132906,Lower predicted risk
num__order_activity_last_12h_to_total_ratio,0.18775585237964446,0.18775585237964446,Higher predicted risk
num__late_discharge_admin_orders_last_6h,0.1864568074955078,0.1864568074955078,Higher predicted risk
num__ed_to_admission_hours,0.18576040342171818,0.18576040342171818,Higher predicted risk
num__hospital_los_days,-0.184670514304137,0.184670514304137,Lower predicted risk
cat__discharge_location_grouped_Facility / rehab / long-term care,-0.18327572358557806,0.18327572358557806,Lower predicted risk
num__max_previous_los_days_filled,0.1820492533010411,0.1820492533010411,Higher predicted risk
num__max_previous_los_days,-0.1766991619261574,0.1766991619261574,Lower predicted risk
num__urea_nitrogen_lab_first_24h_min,0.17554756770848087,0.17554756770848087,Higher predicted risk
num__had_discharge_planning_order,-0.17475664342315678,0.17475664342315678,Lower predicted risk
num__respiratory_rate_vital_mean_value,-0.17413441697684098,0.17413441697684098,Lower predicted risk
num__urea_nitrogen_lab_min_value,0.17369442353934522,0.17369442353934522,Higher predicted risk
num__platelet_lab_value_range,0.17360139123940344,0.17360139123940344,Higher predicted risk
num__hemoglobin_lab_min_value,0.1735292429071498,0.1735292429071498,Higher predicted risk
num__emar_administration_record_count,-0.17256002355931685,0.17256002355931685,Lower predicted risk
cat__last_service_NMED,-0.1710491084381045,0.1710491084381045,Lower predicted risk
num__wbc_lab_max_value,-0.16876312570220095,0.16876312570220095,Lower predicted risk
num__late_orders_but_psych_facility_discharge_flag,-0.1666899399557397,0.1666899399557397,Lower predicted risk
num__late_orders_and_psych_facility_discharge_flag,-0.1666899399557397,0.1666899399557397,Lower predicted risk
num__low_aftercare_quality_flag,-0.1652340342378313,0.1652340342378313,Lower predicted risk
num__num_total_poe_orders,-0.16466271763470086,0.16466271763470086,Lower predicted risk
cat__first_service_NMED,-0.1640754339586892,0.1640754339586892,Lower predicted risk
num__hemoglobin_lab_last_value,0.16349156736529455,0.16349156736529455,Higher predicted risk
num__discontinued_pharmacy_orders_per_hospital_day,-0.16312090288036218,0.16312090288036218,Lower predicted risk
cat__first_service_SURG,0.16281633346884364,0.16281633346884364,Higher predicted risk
cat__first_service_VSURG,0.16223121242395255,0.16223121242395255,Higher predicted risk
cat__admission_location_CLINIC REFERRAL,-0.16151874090924007,0.16151874090924007,Lower predicted risk
num__previous_admission_los_days_filled,0.16011171512151354,0.16011171512151354,Higher predicted risk
cat__admission_type_SURGICAL SAME DAY ADMISSION,-0.15936222216449483,0.15936222216449483,Lower predicted risk
num__hcpcs_observation_to_total_ratio,0.15901819842620793,0.15901819842620793,Higher predicted risk
cat__last_service_VSURG,0.1586181757298673,0.1586181757298673,Higher predicted risk
num__late_medication_change_intensity_score,0.15638530000526918,0.15638530000526918,Higher predicted risk
num__platelet_lab_first_72h_mean,-0.15511944652316273,0.15511944652316273,Lower predicted risk
num__num_hospital_observation_hcpcs_events,-0.1519427642792766,0.1519427642792766,Lower predicted risk
num__psych_diagnosis_without_psych_discharge_flag,-0.15187003617148048,0.15187003617148048,Lower predicted risk
num__discharged_to_psych_facility_or_transfer_flag,0.15187003617143224,0.15187003617143224,Higher predicted risk
num__discharged_to_psych_facility_flag,0.15187003617143224,0.15187003617143224,Higher predicted risk
num__wbc_lab_last_value,0.15139012093214158,0.15139012093214158,Higher predicted risk
num__discontinued_orders_last_24h_before_discharge,-0.15135821230372062,0.15135821230372062,Lower predicted risk
num__has_severe_mental_illness,-0.1479025122871999,0.1479025122871999,Lower predicted risk
cat__last_service_PSYCH,-0.1422988022698333,0.1422988022698333,Lower predicted risk
num__urea_nitrogen_lab_first_24h_max,0.14194057597528897,0.14194057597528897,Higher predicted risk
num__urea_nitrogen_lab_value_range,0.1412650853082335,0.1412650853082335,Higher predicted risk
num__age_65plus,-0.14113598551944065,0.14113598551944065,Lower predicted risk
cat__race_OTHER,-0.1403892071562315,0.1403892071562315,Lower predicted risk
num__wbc_lab_value_change,-0.1396280599319002,0.1396280599319002,Lower predicted risk
num__creatinine_lab_first_24h_mean,-0.13924520815069924,0.13924520815069924,Lower predicted risk
num__platelet_lab_max_value,-0.13788318801348762,0.13788318801348762,Lower predicted risk
num__has_previous_psych_admission,0.13659667561073566,0.13659667561073566,Higher predicted risk
num__previous_admission_los_days,-0.1357024970878958,0.1357024970878958,Lower predicted risk
num__mean_previous_admission_gap_days,-0.13315318060527243,0.13315318060527243,Lower predicted risk
num__discharged_to_residential_care_flag,0.13311107525487526,0.13311107525487526,Higher predicted risk
num__orders_last_6h_before_discharge,-0.1326368755845006,0.1326368755845006,Lower predicted risk
num__hemoglobin_lab_mean_value,-0.13094938437763937,0.13094938437763937,Lower predicted risk
num__late_consult_orders_last_12h,0.13016594610054136,0.13016594610054136,Higher predicted risk
num__discharged_against_advice,0.1297333763330483,0.1297333763330483,Higher predicted risk
cat__first_service_ORTHO,-0.1277307810386756,0.1277307810386756,Lower predicted risk
num__late_lab_orders_last_12h,0.12702655124841444,0.12702655124841444,Higher predicted risk
num__num_care_team_touchpoints,-0.12697577903596655,0.12697577903596655,Lower predicted risk
