processed_feature_name,coefficient,absolute_coefficient,direction
cat__discharge_location_Unknown / not modelled,-0.9390098378563342,0.9390098378563342,Lower predicted risk
cat__discharge_location_Unknown,0.7097915996521472,0.7097915996521472,Higher predicted risk
cat__race_UNKNOWN,-0.6347109792773329,0.6347109792773329,Lower predicted risk
cat__marital_status_Unknown,-0.46830676151744366,0.46830676151744366,Lower predicted risk
num__had_followup_or_outpatient_referral_order,0.2658602625094477,0.2658602625094477,Higher predicted risk
cat__race_UNABLE TO OBTAIN,-0.2610715984780941,0.2610715984780941,Lower predicted risk
num__late_orders_but_followup_present_flag,-0.250487184132816,0.250487184132816,Lower predicted risk
num__late_order_intensity_score_last_12h,-0.2296624762289464,0.2296624762289464,Lower predicted risk
cat__discharge_location_grouped_Unknown / not modelled,-0.22921823820419782,0.22921823820419782,Lower predicted risk
cat__last_service_TRAUM,-0.227185052559531,0.227185052559531,Lower predicted risk
cat__discharge_location_grouped_Other,0.21870358660331687,0.21870358660331687,Higher predicted risk
cat__last_service_OMED,0.20933963043710527,0.20933963043710527,Higher predicted risk
cat__first_service_NSURG,0.204740792858924,0.204740792858924,Higher predicted risk
cat__last_icu_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),-0.1952271741105692,0.1952271741105692,Lower predicted risk
num__order_activity_last_12h_to_total_ratio,0.19058706848427556,0.19058706848427556,Higher predicted risk
num__ed_to_admission_hours_filled,-0.1833085996276031,0.1833085996276031,Lower predicted risk
cat__discharge_location_CHRONIC/LONG TERM ACUTE CARE,-0.17516953779060757,0.17516953779060757,Lower predicted risk
num__late_orders_but_discharge_planning_present_flag,0.16889522076954147,0.16889522076954147,Higher predicted risk
num__prescriptions_per_hospital_day,0.16079210103491595,0.16079210103491595,Higher predicted risk
cat__last_service_NMED,-0.1581755354588034,0.1581755354588034,Lower predicted risk
num__discharged_home_with_services_flag,0.15807323655123634,0.15807323655123634,Higher predicted risk
num__late_orders_and_psych_facility_discharge_flag,-0.15729228020206718,0.15729228020206718,Lower predicted risk
num__late_orders_but_psych_facility_discharge_flag,-0.15729228020206718,0.15729228020206718,Lower predicted risk
num__discharged_to_snf_flag,0.15724382348472873,0.15724382348472873,Higher predicted risk
num__hospital_los_days,-0.15349601456343584,0.15349601456343584,Lower predicted risk
num__had_followup_or_discharge_planning_order,-0.15162237242781668,0.15162237242781668,Lower predicted risk
cat__first_service_NMED,-0.1510807317930346,0.1510807317930346,Lower predicted risk
cat__first_service_SURG,0.14898233429622706,0.14898233429622706,Higher predicted risk
cat__last_service_VSURG,0.147821770029203,0.147821770029203,Higher predicted risk
num__low_aftercare_quality_flag,-0.14723195273154369,0.14723195273154369,Lower predicted risk
cat__first_service_VSURG,0.14138532403973755,0.14138532403973755,Higher predicted risk
num__heart_rate_vital_relative_range,-0.14073481084871534,0.14073481084871534,Lower predicted risk
cat__admission_type_SURGICAL SAME DAY ADMISSION,-0.14019885756574305,0.14019885756574305,Lower predicted risk
cat__admission_location_CLINIC REFERRAL,-0.1394848959380901,0.1394848959380901,Lower predicted risk
num__psych_diagnosis_without_psych_discharge_flag,-0.1379418238394763,0.1379418238394763,Lower predicted risk
num__discharged_to_psych_facility_or_transfer_flag,0.1379418238394758,0.1379418238394758,Higher predicted risk
num__discharged_to_psych_facility_flag,0.1379418238394758,0.1379418238394758,Higher predicted risk
cat__first_service_ORTHO,-0.1346999582736118,0.1346999582736118,Lower predicted risk
num__late_orders_without_prior_psych_history_flag,-0.1337853548421086,0.1337853548421086,Lower predicted risk
num__hcpcs_observation_to_total_ratio,0.13373564992654205,0.13373564992654205,Higher predicted risk
num__age_65plus,-0.13316666613188513,0.13316666613188513,Lower predicted risk
num__discharged_against_advice,0.13181722577074276,0.13181722577074276,Higher predicted risk
num__ed_to_admission_hours,0.13057401767206464,0.13057401767206464,Higher predicted risk
cat__first_service_OBS,0.12830282132427587,0.12830282132427587,Higher predicted risk
num__safety_order_density_per_day,0.12399232480327395,0.12399232480327395,Higher predicted risk
num__mean_previous_admission_gap_days,-0.12098323610703049,0.12098323610703049,Lower predicted risk
cat__discharge_location_grouped_Facility / rehab / long-term care,-0.1205971151142843,0.1205971151142843,Lower predicted risk
num__new_orders_last_24h_per_hospital_day,0.11956265941628984,0.11956265941628984,Higher predicted risk
num__medical_complexity_score,-0.11940217132677805,0.11940217132677805,Lower predicted risk
num__num_unique_poe_order_categories,0.11837709746217828,0.11837709746217828,Higher predicted risk
num__emar_infusion_administration_count,-0.1160362479375841,0.1160362479375841,Lower predicted risk
num__discontinued_orders_last_24h_before_discharge,-0.1146553138857692,0.1146553138857692,Lower predicted risk
cat__race_OTHER,-0.11392663252549162,0.11392663252549162,Lower predicted risk
num__orders_last_24h_before_discharge,-0.10923811074269126,0.10923811074269126,Lower predicted risk
num__low_order_activity_with_smi_flag,0.10892249547379029,0.10892249547379029,Higher predicted risk
num__hemoglobin_lab_first_value,-0.10857097792220512,0.10857097792220512,Lower predicted risk
num__no_late_orders_but_self_harm_flag,0.10854211599867868,0.10854211599867868,Higher predicted risk
num__low_order_activity_with_self_harm_flag,0.10854211599867868,0.10854211599867868,Higher predicted risk
num__has_previous_hospital_admission,-0.10557028004560513,0.10557028004560513,Lower predicted risk
num__icu_event_density_per_day,-0.10531911842556756,0.10531911842556756,Lower predicted risk
num__discharged_to_residential_care_flag,0.1037438542522694,0.1037438542522694,Higher predicted risk
num__had_discharge_planning_order,-0.10328241787696993,0.10328241787696993,Lower predicted risk
num__late_psych_safety_without_psych_facility_discharge_flag,0.10201108738418446,0.10201108738418446,Higher predicted risk
num__new_smi_this_admission_flag,0.10164353851976206,0.10164353851976206,Higher predicted risk
num__discontinued_pharmacy_orders_per_hospital_day,-0.10059666076933692,0.10059666076933692,Lower predicted risk
num__discharged_to_acute_hospital_flag,0.09862144069487562,0.09862144069487562,Higher predicted risk
num__emar_administered_event_count,0.09795310098024189,0.09795310098024189,Higher predicted risk
num__quiet_smi_psychosis_low_activity_score,0.09738526477571284,0.09738526477571284,Higher predicted risk
num__late_orders_but_supervised_discharge_flag,0.09502754740737658,0.09502754740737658,Higher predicted risk
num__facility_discharge_and_late_orders_flag,0.09502754740737658,0.09502754740737658,Higher predicted risk
num__late_orders_but_facility_discharge_flag,0.09502754740737658,0.09502754740737658,Higher predicted risk
num__ed_length_of_stay_hours_filled,-0.09429497310512779,0.09429497310512779,Lower predicted risk
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.09199983799014941,0.09199983799014941,Higher predicted risk
num__ed_visit_to_admission_ratio_365d,0.09113124164770658,0.09113124164770658,Higher predicted risk
num__new_safety_order_last_24h_before_discharge_flag,0.09033031129499358,0.09033031129499358,Higher predicted risk
num__safety_order_near_discharge_flag,0.09033031129499358,0.09033031129499358,Higher predicted risk
num__orders_last_6h_before_discharge,-0.09006548925478863,0.09006548925478863,Lower predicted risk
num__admission_source_high_acuity_flag,0.0899006647576589,0.0899006647576589,Higher predicted risk
num__care_team_touchpoints_after_72h,0.08978749423411005,0.08978749423411005,Higher predicted risk
