processed_feature_name,feature_importance
num__previous_psych_admissions_365d,0.02858463266402947
num__previous_psych_admissions_180d,0.02748949316482345
num__late_orders_without_prior_psych_history_flag,0.017891722111761817
num__late_order_intensity_score_last_12h,0.016134361319002567
num__low_late_order_activity_flag,0.013951168124997679
cat__discharge_location_Unknown / not modelled,0.012645606680712377
num__last_order_within_12h_of_discharge_flag,0.012139175507239143
num__orders_last_12h_before_discharge,0.011602277199554851
num__mostly_psych_readmission_pattern_flag,0.01146385708969091
num__admissions_per_365d,0.010679574380006567
num__previous_total_admissions_180d,0.01062146903139542
num__discontinued_orders_last_12h_before_discharge,0.010231754814106158
num__late_order_severity_per_late_order_last_12h,0.00938144567749674
num__new_orders_last_12h_before_discharge_flag,0.009257161419863026
num__care_team_touchpoints_last_12h_before_discharge,0.009255057256008921
num__discharge_hour,0.008617533519128884
num__previous_psych_admissions_90d,0.008442558256114145
num__previous_total_admissions_365d,0.008218286252310551
num__late_order_severity_score_last_12h,0.008180789491043656
num__quiet_prior_psych_low_activity_score,0.007138955021389828
num__unmanaged_psychiatric_discharge_risk_score,0.006613443557364823
num__late_nonroutine_order_count_last_12h,0.006478468843009233
num__high_utiliser_previous_year,0.0062149029995744575
num__previous_psych_admissions,0.006039378661102023
num__previous_2plus_total_admissions_365d,0.005907140154215566
num__days_since_previous_psych_admission_filled,0.005682231456131112
num__previous_3plus_total_admissions_365d,0.005431227019256005
num__last_order_close_to_discharge_hours,0.005392026462820616
num__late_order_type_diversity_last_12h,0.005368096747924143
num__days_since_previous_hospital_admission,0.0052616947667434265
num__last_order_close_to_discharge_hours_filled,0.00520087797540197
num__admissions_per_90d,0.005090264552256772
num__anchor_age,0.005036969686214862
num__care_team_touchpoints_last_6h_before_discharge,0.00491995502776761
num__days_since_previous_hospital_admission_filled,0.004652003114531549
num__previous_ed_visits_365d,0.004561715895491402
num__late_care_fragmentation_score,0.004385397745310554
num__frequent_psych_admitter_flag,0.004380371926473752
num__previous_total_admissions_90d,0.0043130193514695795
num__previous_psych_admissions_from_all_hosp,0.0043027986915443435
num__elixhauser_psychoses,0.004035610931487998
num__no_late_orders_but_self_harm_flag,0.004005484943726233
num__previous_psych_admissions_60d,0.003912800740253082
num__quiet_risk_flag,0.0038997434281300893
num__min_previous_admission_gap_days,0.00386049783522445
num__min_previous_admission_gap_days_filled,0.0038062371091557843
num__low_order_activity_with_self_harm_flag,0.0037810089366431465
num__mean_previous_admission_gap_days_filled,0.00376169283974252
num__ed_length_of_stay_hours_filled,0.0037176222908688506
num__care_team_touchpoints_per_hospital_day,0.003581568830411088
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.003549457764753197
num__ed_length_of_stay_hours,0.0034611094288614585
num__hospital_los_days,0.0032301078273363646
num__quiet_risk_summary_score,0.003206705727477315
num__ed_to_admission_hours_filled,0.003078689676937896
num__days_since_latest_body_measure_filled,0.0030769607023297153
num__days_since_latest_body_measure,0.0030739171360574147
num__previous_2plus_psych_admissions,0.0030731919768242967
num__previous_psych_to_total_admission_ratio,0.003055003839319531
num__previous_ed_visits_180d,0.0029673098477161447
num__admission_year,0.0029570477564297127
num__ed_to_admission_hours,0.0029382329077631904
num__has_self_harm_or_suicidal_ideation,0.0029236911373690185
num__last_order_hours_from_admission,0.002847826129658856
cat__last_service_OMED,0.0028281075430275347
num__first_order_hours_from_admission,0.0028154963055676994
num__first_order_hours_from_admission_filled,0.0028102989438055564
num__last_order_hours_from_admission_filled,0.0027464919464870465
num__previous_total_admissions_60d,0.002744487421916937
num__recent_psych_admission_365d,0.002743350859647975
num__late_order_type_diversity_last_6h,0.0027300136390140937
num__quiet_smi_psychosis_low_activity_score,0.002723759427578175
num__self_harm_no_psych_followup_flag,0.0027214247190201746
num__admission_hour,0.002698468571578057
num__safety_order_proportion,0.0026061643210523212
num__recent_psych_admission_90d,0.002535396390634112
num__provider_changes_last_24h_before_discharge,0.002511082353866939
num__new_orders_last_24h_per_hospital_day,0.0024924268605013102
num__care_team_touchpoint_density_per_day,0.002460254506349191
num__ed_visit_to_admission_ratio_365d,0.002398837329817414
num__order_activity_last_6h_to_total_ratio,0.0023476545955577344
num__max_previous_los_days_filled,0.002347132249375125
