processed_feature_name,feature_importance
num__previous_psych_admissions_365d,0.01881605487181681
num__previous_psych_admissions_180d,0.01866093768477697
num__late_order_intensity_score_last_12h,0.011832441220143944
num__late_orders_without_prior_psych_history_flag,0.011813568250564925
num__low_late_order_activity_flag,0.00896741763122159
num__orders_last_12h_before_discharge,0.008729677289120812
cat__discharge_location_Unknown / not modelled,0.008532264881272835
num__last_order_within_12h_of_discharge_flag,0.008315027560890165
num__mostly_psych_readmission_pattern_flag,0.008279134622413328
num__previous_total_admissions_180d,0.007986813599186996
num__discontinued_orders_last_12h_before_discharge,0.007769628978918668
num__care_team_touchpoints_last_12h_before_discharge,0.007539006091598026
num__late_order_severity_per_late_order_last_12h,0.007329626027727607
num__discharge_hour,0.007293058725569329
num__admissions_per_365d,0.00640743341530237
num__new_orders_last_12h_before_discharge_flag,0.0063842989810161165
num__late_order_severity_score_last_12h,0.006308927159823144
num__last_order_close_to_discharge_hours,0.005889653928752434
num__previous_total_admissions_365d,0.0058493309989684425
num__last_order_close_to_discharge_hours_filled,0.005799319885217886
num__anchor_age,0.005574765803919788
num__days_since_previous_psych_admission_filled,0.005324196941923887
num__high_utiliser_previous_year,0.005282641749891489
num__late_nonroutine_order_count_last_12h,0.005261099463124471
num__days_since_previous_hospital_admission,0.004999182677542776
num__unmanaged_psychiatric_discharge_risk_score,0.004790933983497612
num__quiet_prior_psych_low_activity_score,0.004765535132436349
num__care_team_touchpoints_last_6h_before_discharge,0.004592527713608787
num__late_care_fragmentation_score,0.004562036512208936
num__previous_total_admissions_90d,0.004539843947454178
num__previous_psych_admissions_90d,0.004474249565339342
num__admission_year,0.004408160870831808
num__ed_length_of_stay_hours_filled,0.00439620207037082
num__previous_3plus_total_admissions_365d,0.004341989612918596
num__ed_length_of_stay_hours,0.004309045969988991
num__previous_psych_admissions_from_all_hosp,0.004193966674951832
num__days_since_previous_hospital_admission_filled,0.00412622234395493
num__ed_to_admission_hours,0.004023974870407879
num__first_order_hours_from_admission_filled,0.003941986600763607
num__first_order_hours_from_admission,0.0039112555682718425
num__ed_to_admission_hours_filled,0.003904792866316832
num__previous_psych_admissions,0.0038930573868937004
num__care_team_touchpoints_per_hospital_day,0.0038651231435936446
num__late_order_type_diversity_last_12h,0.003765721376145815
num__admissions_per_90d,0.0037309893802252676
num__min_previous_admission_gap_days_filled,0.0037166738741463744
num__admission_hour,0.00358062194899836
num__days_since_latest_body_measure_filled,0.0035231087403346933
num__hospital_los_days,0.003509166058989802
num__days_since_latest_body_measure,0.003488631734885863
num__mean_previous_admission_gap_days_filled,0.0034006836757002135
num__min_previous_admission_gap_days,0.003352409581557765
num__provider_changes_last_24h_before_discharge,0.003190199594628884
num__care_team_touchpoint_density_per_day,0.0030896670154212007
num__new_orders_last_24h_per_hospital_day,0.00301368255103198
num__order_activity_last_6h_to_total_ratio,0.0029811984936416913
num__previous_2plus_total_admissions_365d,0.002905884125311872
num__mean_previous_los_days_filled,0.0029047837802152095
num__last_order_hours_from_admission,0.002881771840652964
num__mean_previous_los_days,0.002854010850485078
num__max_previous_los_days,0.0028322998530241465
num__previous_admission_los_days_filled,0.002832121159947321
num__elixhauser_psychoses,0.0028163790599779097
num__last_order_hours_from_admission_filled,0.002750983531226191
num__max_previous_los_days_filled,0.002700066330330658
num__time_between_last_two_admissions_days_filled,0.0026985278816027553
num__low_order_activity_with_self_harm_flag,0.0026896392007436896
num__time_between_last_two_admissions_days,0.0026748657251200385
num__order_activity_slope_24_to_72h,0.00267319059976502
num__lab_tests_per_hospital_day,0.0026496666563407523
num__order_activity_last_12h_to_total_ratio,0.0026476719255976505
num__previous_admission_los_days,0.0026472177741820257
num__procedures_per_hospital_day,0.0026195651580676093
num__orders_per_hospital_day,0.0026075044418445094
num__discontinued_orders_per_hospital_day,0.002605646267696111
num__num_total_diagnoses,0.002590728995317626
num__previous_ed_visits_365d,0.002578994374003904
num__no_late_orders_but_self_harm_flag,0.0025722719934680406
num__wbc_lab_coefficient_of_variation,0.002561399744171853
num__order_activity_duration_hours,0.002557928728923564
num__mean_previous_admission_gap_days,0.0025450781588070752
num__psychotropic_pharmacy_orders_per_day,0.0025325107796216294
num__psychotropic_order_density_per_day,0.0025170566406907007
num__previous_psych_to_total_admission_ratio,0.002503502804804038
num__num_nonpsych_diagnoses,0.002490006498249818
num__quiet_risk_summary_score,0.002472202776751796
num__order_activity_ratio_24_to_72h,0.0024583012962022806
num__previous_ed_visits_180d,0.0024517786303427883
num__frequent_psych_admitter_flag,0.0024490300365227115
num__urea_nitrogen_lab_coefficient_of_variation,0.0024187512454879097
num__previous_admission_order_activity_count,0.0023814454383002236
num__quiet_risk_flag,0.002380246432589476
num__platelet_lab_coefficient_of_variation,0.0023752920086921973
num__glucose_lab_coefficient_of_variation,0.0023650957827118717
num__num_orders_first_12h,0.002347522214495194
num__num_orders_first_6h,0.0023445802989216597
num__consult_order_proportion,0.0023436160829503876
num__previous_psych_admissions_60d,0.002336996899050545
num__orders_last_48h_before_discharge,0.0023362383007448587
num__admission_month,0.0023083945255442865
num__latest_weight_kg_before_admission,0.002308265379671229
num__latest_weight_kg_before_admission_filled,0.0023030581690320316
num__discontinued_pharmacy_orders_per_hospital_day,0.002301738502222354
num__hemoglobin_lab_coefficient_of_variation,0.002289651386478748
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.0022860099858692247
num__potassium_lab_coefficient_of_variation,0.0022845509543447814
num__num_orders_first_24h,0.0022819109705578284
num__prescriptions_per_hospital_day,0.0022707609758265937
num__medications_per_hospital_day,0.0022432435523604046
num__discharge_month,0.0022427807333617773
num__creatinine_lab_coefficient_of_variation,0.002241910971229372
num__sodium_lab_coefficient_of_variation,0.002211192326574113
num__recent_psych_admission_90d,0.0021931736135515608
num__hemoglobin_lab_mean_value,0.002188915132164576
num__latest_bmi_before_admission,0.002114499319398738
num__previous_admission_late_order_share,0.0020975515831554176
num__latest_bmi_before_admission_filled,0.002097301833546083
num__poe_order_density_first_72h,0.0020952414959463117
num__order_activity_last_24h_to_total_ratio,0.0020798699829646023
num__late_nonroutine_order_share_last_12h,0.002079696358856595
num__safety_order_proportion,0.0020655256057426573
num__num_orders_first_72h,0.0020604121131646497
num__hemoglobin_lab_min_value,0.002048721246047956
num__num_total_poe_orders,0.0020446319620531926
num__glucose_lab_mean_value,0.0020351833858275343
num__hemoglobin_lab_last_value,0.002034098764407677
num__emar_not_given_rate,0.0020287985518883333
num__has_self_harm_or_suicidal_ideation,0.0020201811009485145
num__num_discontinued_orders,0.002012503819619772
num__spo2_vital_rate_of_change_per_day,0.0020106410954777096
num__wbc_lab_last_value,0.0019998450419500165
num__platelet_lab_last_to_first_ratio,0.0019951333954312035
num__platelet_lab_last_value,0.001992321193254083
num__orders_last_6h_before_discharge,0.00197284421340492
num__abnormal_lab_burden_score,0.001972243893721899
num__platelet_lab_rate_of_change_per_day,0.0019688559090165376
num__glucose_lab_last_value,0.0019685785126887364
num__std_previous_admission_gap_days_filled,0.001961394508137505
num__systolic_bp_noninvasive_vital_rate_of_change_per_day,0.001957888786645842
num__wbc_lab_rate_of_change_per_day,0.001955173679771518
num__sodium_lab_mean_value,0.0019491984835400963
num__heart_rate_vital_rate_of_change_per_day,0.0019481356264016488
num__wbc_lab_min_value,0.0019345741633069193
num__mean_bp_noninvasive_vital_rate_of_change_per_day,0.0019321123848409791
num__wbc_lab_last_to_first_ratio,0.0019234847823045
num__platelet_lab_min_value,0.0019141793871946216
num__glucose_lab_min_value,0.0019121324161400612
num__sodium_lab_rate_of_change_per_day,0.0019071861126340717
num__potassium_lab_mean_value,0.0018913372107786622
num__systolic_bp_arterial_vital_rate_of_change_per_day,0.0018901637367334833
num__previous_admission_late_order_count,0.0018887761681077825
num__potassium_lab_rate_of_change_per_day,0.001885609150061666
num__hemoglobin_lab_rate_of_change_per_day,0.0018760782289233043
num__platelet_lab_mean_value,0.0018727256907589227
num__late_order_type_diversity_last_6h,0.0018646337553421754
num__hemoglobin_lab_first_72h_mean,0.0018634227130661957
num__admission_dayofweek,0.0018630473091340843
num__glucose_lab_first_72h_mean,0.0018561437820241262
num__platelet_lab_max_value,0.0018546843908698546
num__glucose_lab_last_to_first_ratio,0.001854161883393171
num__previous_2plus_psych_admissions,0.0018527592354932996
num__num_abnormal_lab_flags,0.001846322485739262
num__urea_nitrogen_lab_rate_of_change_per_day,0.0018454294946098574
num__platelet_lab_std_value,0.001839610837104791
num__urea_nitrogen_lab_mean_value,0.0018394510857301929
num__urea_nitrogen_lab_last_to_first_ratio,0.0018267726543827
num__charlson_comorbidity_index_simplified,0.0018195784572165251
num__std_previous_admission_gap_days,0.0018179221957874555
num__glucose_lab_rate_of_change_per_day,0.001816151997940966
num__wbc_lab_mean_value,0.001798740608584323
num__order_activity_last_48h_to_total_ratio,0.0017949982985656472
num__medication_order_count_first_24h,0.001791074725157647
cat__last_service_OMED,0.0017880352191598598
num__creatinine_lab_mean_value,0.0017832680405105658
num__potassium_lab_std_value,0.0017781411572137334
num__late_discharge_admin_order_share_last_12h,0.0017764345197960477
num__glucose_lab_first_72h_min,0.0017759346772035745
num__orders_after_72h_per_hospital_day,0.0017729114804293934
num__hemoglobin_lab_std_value,0.0017713275488162562
num__hemoglobin_lab_last_to_first_ratio,0.0017697844861593363
num__glucose_lab_std_value,0.0017693062145595936
num__discharge_dayofweek,0.0017515756437249989
num__platelet_lab_first_value,0.0017481795931879216
num__platelet_lab_first_72h_mean,0.0017429592556641015
num__emar_administration_count_first_72h,0.001737585113984904
num__wbc_lab_first_72h_mean,0.0017258896918197623
num__previous_weight_kg_before_admission_filled,0.001724220331909233
num__platelet_lab_first_72h_max,0.0017241447345755097
num__urea_nitrogen_lab_std_value,0.0017232767262755197
num__previous_weight_kg_before_admission,0.0017202789681823854
num__glucose_lab_first_72h_max,0.001716136223043732
num__previous_total_admissions,0.001714411076000881
num__glucose_lab_first_value,0.001713327795877885
num__glucose_lab_max_value,0.001710024716018635
num__platelet_lab_first_72h_min,0.0017069249041900142
num__late_care_team_touchpoint_share,0.0017041085106570693
num__self_harm_no_psych_followup_flag,0.0017040584895858404
num__wbc_lab_std_value,0.0016973558157291344
num__potassium_lab_first_72h_mean,0.0016920109207556008
num__wbc_lab_max_value,0.0016907497282344713
num__orders_last_24h_before_discharge,0.0016880718994277447
num__late_medication_order_share_last_12h,0.001685159751257423
num__elixhauser_individual_group_count,0.0016816366418226673
num__weight_change_recent,0.001680364408628499
num__wbc_lab_first_72h_min,0.0016768547818675358
num__medication_order_count_first_72h,0.001676121559482915
num__weight_change_recent_filled,0.0016690719888232122
num__sodium_lab_first_72h_mean,0.0016673546254562935
num__hemoglobin_lab_first_72h_min,0.0016653305690689701
