config_number,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,bootstrap,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_minutes
2,400,20,10,0.1,24,entropy,True,0.9837032067237665,0.7874328185293661,0.920148721739613,0.5832375036949458,0.1343474306344259,3.6747328201929728
5,600,5,20,0.35,14,entropy,True,0.9023620494082746,0.7894412076894222,0.7409740750326129,0.5823302434316555,0.15714110661602843,10.138130164146423
1,400,40,10,0.35,14,entropy,True,0.9079167612980525,0.7896526549322005,0.756158346380457,0.5820974214211505,0.15607368198493504,6.699759232997894
9,250,20,5,0.5,24,entropy,True,0.9928348096784821,0.7880078434153425,0.9641175644234674,0.5820586041348137,0.12997570793904814,10.639953633149466
11,400,40,20,0.5,18,gini,True,0.946442994666895,0.7908934347937815,0.8110854592313724,0.5819291441697813,0.14627098218111526,12.584311731656392
10,400,5,20,0.2,14,gini,True,0.9077473276073404,0.7904830163156289,0.7433259569884131,0.5818167884116832,0.15541600324054017,4.113395043214163
4,400,40,40,0.15,18,entropy,True,0.9029057489417259,0.7881118556162328,0.7119109841548704,0.5788444709781286,0.1580135949743287,3.5911571939786273
3,600,20,40,0.2,32,gini,True,0.9117897596927671,0.7883094130694561,0.7210257652019179,0.5783413126331997,0.15647902156020937,7.488929581642151
6,250,10,40,0.2,14,entropy,True,0.8758849758275643,0.7881818874391049,0.6825502376845691,0.5781896029609281,0.1629380814085923,2.30171898206075
8,250,5,40,0.15,14,entropy,True,0.8750690200761149,0.7875612122715646,0.680692222687346,0.5776783998490765,0.16333769337823917,1.7643792072931925
7,600,20,40,0.1,32,entropy,True,0.9108987069020065,0.7864707397755244,0.7156124540098333,0.5763171205576296,0.15734506087711359,4.007213648160299
12,600,5,40,0.1,18,entropy,True,0.8984938609165823,0.7860905439912516,0.7032407165010488,0.5760107875175914,0.15952949110217596,3.5560312032699586
