processed_feature_name,feature_importance
cat__last_careunit_before_discharge_UNKNOWN,0.0
num__num_dosing_by_pharmacy_orders,0.0
num__num_unverified_pharmacy_orders,0.0
num__emar_had_iv_administration,0.0
num__num_paused_procedureevents,0.0
num__psych_facility_discharge_and_safety_orders_flag,0.0
num__late_psych_safety_home_discharge_flag,7.13076300965801e-19
num__self_harm_and_late_safety_order_flag,5.199762081073195e-07
cat__discharge_location_OTHER FACILITY,7.202020938173954e-07
num__late_orders_and_psych_facility_discharge_flag,1.3420667180694088e-06
num__had_substance_use_followup_order,1.7818780876113793e-06
num__tachycardia_last_24h_before_discharge_flag,2.6110391017315543e-06
num__late_social_work_or_case_management_orders_last_6h,2.735493287620666e-06
num__late_orders_but_psych_facility_discharge_flag,3.0017648953447852e-06
num__num_discharge_med_proc_type_orders,3.0605499767433843e-06
num__hypotension_last_24h_before_discharge_flag,5.389988759235667e-06
num__previous_admission_had_psych_facility_discharge,5.866972290201765e-06
num__had_long_acting_injectable_antipsychotic,6.696752502184049e-06
num__num_stopped_procedureevents,7.085611369621201e-06
num__late_social_work_or_case_management_orders_last_12h,9.082473619817373e-06
num__spo2_low_last_24h_before_discharge_flag,9.200035306989196e-06
