model_family,model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms
Main tuned Random Forest,Random Forest,0.5,0.8274,0.6825,0.583,0.443,0.922,0.5034,0.7896,0.5806,0.1354,34899,2953,5191,4128,1228.7664,5.9284,1.2315,0.0261
Main tuned Random Forest,Random Forest,0.47,0.8193,0.6907,0.549,0.4781,0.9033,0.5111,0.7896,0.5806,0.1354,34192,3660,4864,4455,1228.7664,5.9284,1.2315,0.0261
Main tuned Random Forest,Random Forest,0.42,0.8004,0.7039,0.4954,0.5444,0.8635,0.5187,0.7896,0.5806,0.1354,32685,5167,4246,5073,1228.7664,5.9284,1.2315,0.0261
Main tuned Random Forest,Random Forest balanced precision-recall threshold,0.51,0.8296,0.68,0.5942,0.4328,0.9272,0.5008,0.7896,0.5806,0.1354,35098,2754,5286,4033,1228.7664,5.9284,1.2315,0.0261
Main tuned Random Forest,Random Forest,0.29,0.6764,0.7044,0.3509,0.7506,0.6581,0.4782,0.7896,0.5806,0.1354,24912,12940,2324,6995,1228.7664,5.9284,1.2315,0.0261
Regularised Random Forest,Regularised Random Forest default threshold,0.5,0.8045,0.701,0.505,0.5298,0.8721,0.5171,0.789,0.5798,0.1521,33012,4840,4382,4937,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest,Regularised Random Forest training F1 threshold,0.49,0.7998,0.703,0.4939,0.543,0.863,0.5173,0.789,0.5798,0.1521,32667,5185,4259,5060,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest,Regularised Random Forest training Youden threshold,0.43,0.7587,0.7113,0.4256,0.633,0.7896,0.509,0.789,0.5798,0.1521,29889,7963,3420,5899,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest,Regularised Random Forest balanced precision-recall threshold,0.53,0.8161,0.6916,0.5384,0.4858,0.8975,0.5107,0.789,0.5798,0.1521,33971,3881,4792,4527,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest,Regularised Random Forest recall-oriented threshold,0.3,0.5919,0.6826,0.3049,0.8326,0.5327,0.4463,0.789,0.5798,0.1521,20163,17689,1560,7759,879.3197,5.5291,1.2023,0.0255
