processed_feature_name,feature_importance
cat__discharge_location_Unknown / not modelled,3.5924244994982106
num__discharge_hour,1.7774917405739203
num__discontinued_orders_last_12h_before_discharge,1.146734916497887
num__orders_last_12h_before_discharge,1.0815366582119734
num__unmanaged_psychiatric_discharge_risk_score,1.025588290688406
num__new_orders_last_12h_before_discharge_flag,0.9788065993292324
num__low_order_activity_with_self_harm_flag,0.9313992380297227
num__late_orders_without_prior_psych_history_flag,0.8733938503452309
num__anchor_age,0.8123296842207934
num__last_order_close_to_discharge_hours,0.8047970865537464
num__low_late_order_activity_flag,0.7911263184794984
num__days_since_latest_body_measure,0.7130401900402259
num__care_team_touchpoints_last_6h_before_discharge,0.63287552070884
num__care_team_touchpoints_last_12h_before_discharge,0.6154316303465539
num__days_since_latest_body_measure_filled,0.6118561490790945
num__last_order_close_to_discharge_hours_filled,0.6107776724446135
num__ed_length_of_stay_hours_filled,0.5881500710650543
num__days_since_previous_hospital_admission,0.5712638989552155
num__late_order_severity_per_late_order_last_12h,0.5581112088718692
num__procedures_per_hospital_day,0.555824944233207
num__low_order_activity_with_smi_flag,0.5290635639581371
num__previous_psych_admissions_180d,0.522726482601248
num__previous_psych_admissions_365d,0.5006866842982706
num__ed_length_of_stay_hours,0.4991809452201
num__previous_psych_admissions_90d,0.49132041056377934
num__mostly_psych_readmission_pattern_flag,0.4817324450327601
num__previous_psych_admissions,0.4769715031578723
num__order_activity_last_6h_to_total_ratio,0.46874234116775537
num__platelet_lab_rate_of_change_per_day,0.46314227806314234
num__has_depression,0.4619444793956622
num__has_cancer,0.4305666289109875
num__provider_changes_last_24h_before_discharge,0.4304376031628519
num__late_order_type_diversity_last_6h,0.4202614068674688
num__days_since_previous_psych_admission_filled,0.41883557674203387
num__no_late_orders_but_self_harm_flag,0.4109868370732482
num__care_team_touchpoints_per_hospital_day,0.40395684458037356
num__mean_previous_admission_gap_days_filled,0.4033611461642711
num__emar_not_given_rate,0.40195759331767583
num__sodium_lab_last_to_first_ratio,0.40164282770709414
num__safety_order_proportion,0.3989199167880811
num__consult_order_proportion,0.3905298376396613
num__sodium_lab_rate_of_change_per_day,0.38849767380908756
num__num_unique_careunits,0.3858727467634268
num__wbc_lab_last_value,0.3853670427524173
num__min_previous_admission_gap_days,0.37508098591655914
num__hemoglobin_lab_last_value,0.374224892766861
num__previous_psych_to_total_admission_ratio,0.3682220397154323
num__previous_total_admissions_90d,0.3668244030115807
num__time_between_last_two_admissions_days_filled,0.36504355834899216
num__mean_previous_los_days_filled,0.3608912685774688
num__admission_frequency_acceleration,0.3582223318413348
num__admission_year,0.358046136626044
cat__race_UNKNOWN,0.35376671765821377
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.35028432097302314
num__admissions_per_365d,0.3490604764514081
cat__last_service_OMED,0.34811241341746874
num__creatinine_lab_coefficient_of_variation,0.3436540418298461
num__emar_administration_count_first_72h,0.3415786786700827
num__lab_tests_per_hospital_day,0.3410930187445832
num__days_since_previous_hospital_admission_filled,0.331954528052593
num__previous_total_admissions_365d,0.32925299046472156
num__glucose_lab_last_value,0.327031706914042
num__ed_to_admission_hours_filled,0.3241049988950439
num__first_order_hours_from_admission_filled,0.3238826056818127
num__urea_nitrogen_lab_std_value,0.32150998030905925
num__mean_previous_los_days,0.31931904787589505
num__heart_rate_vital_rate_of_change_per_day,0.3130288790616671
num__safety_order_near_discharge_flag,0.3110579338775788
num__time_between_last_two_admissions_days,0.3098610512161651
num__first_order_hours_from_admission,0.3072428770754439
num__wbc_lab_coefficient_of_variation,0.3048643818722647
num__platelet_lab_coefficient_of_variation,0.3023378008270666
num__quiet_smi_psychosis_low_activity_score,0.2976087131098879
num__sodium_lab_last_value,0.2929378933045453
num__late_medication_order_share_last_12h,0.29250938774219504
num__order_activity_last_12h_to_total_ratio,0.29149415583944044
num__previous_psych_admissions_60d,0.2912241986574568
num__late_order_type_diversity_last_12h,0.291040268211996
num__previous_admission_order_activity_count,0.29002345615310254
cat__marital_status_Unknown,0.28579789725953303
num__creatinine_lab_rate_of_change_per_day,0.28045873832391915
num__admissions_per_90d,0.2780303654298696
num__num_psych_diagnoses,0.27683336690674654
num__late_admin_to_total_late_order_ratio,0.27651292704865627
num__new_substance_use_this_admission_flag,0.2754619765582147
num__num_orders_first_24h,0.27474176241394016
num__mean_previous_admission_gap_days,0.27390515347205724
num__latest_weight_kg_before_admission,0.2736129990520354
