processed_feature_name,feature_importance
num__last_order_close_to_discharge_hours,1267
num__anchor_age,1011
num__discharge_hour,985
num__admission_year,842
num__ed_length_of_stay_hours,785
num__days_since_latest_body_measure,760
num__ed_to_admission_hours,651
num__first_order_hours_from_admission,643
num__late_care_fragmentation_score,607
num__days_since_previous_hospital_admission,573
num__psychotropic_order_density_per_day,564
num__care_team_touchpoints_per_hospital_day,562
num__care_team_touchpoints_last_6h_before_discharge,555
num__provider_changes_last_24h_before_discharge,529
num__mean_previous_admission_gap_days,520
num__ed_length_of_stay_hours_filled,518
num__ed_to_admission_hours_filled,510
num__mean_previous_los_days,509
num__admission_hour,500
num__procedures_per_hospital_day,500
num__min_previous_admission_gap_days,486
num__max_previous_los_days,477
num__previous_admission_los_days,463
num__days_since_previous_psych_admission_filled,458
num__care_team_touchpoints_last_12h_before_discharge,442
num__time_between_last_two_admissions_days,439
num__creatinine_lab_coefficient_of_variation,428
num__late_order_severity_per_late_order_last_12h,423
num__platelet_lab_coefficient_of_variation,422
num__wbc_lab_coefficient_of_variation,417
num__previous_admission_order_activity_count,417
num__order_activity_slope_24_to_72h,417
num__urea_nitrogen_lab_coefficient_of_variation,416
num__care_team_touchpoint_density_per_day,413
num__order_activity_last_6h_to_total_ratio,410
num__consult_order_proportion,410
num__glucose_lab_coefficient_of_variation,409
num__lab_tests_per_hospital_day,406
num__weight_change_recent,401
num__orders_last_48h_before_discharge,398
num__latest_bmi_before_admission,390
num__previous_admission_late_order_share,390
cat__discharge_location_Unknown / not modelled,389
num__first_order_hours_from_admission_filled,385
num__latest_weight_kg_before_admission,385
num__std_previous_admission_gap_days,380
num__late_order_intensity_score_last_12h,373
num__platelet_lab_rate_of_change_per_day,368
num__sodium_lab_rate_of_change_per_day,366
num__num_orders_first_12h,361
num__glucose_lab_last_value,354
num__order_activity_ratio_24_to_72h,346
num__previous_weight_kg_before_admission,345
num__days_since_previous_hospital_admission_filled,334
num__emar_not_given_rate,331
num__order_activity_last_12h_to_total_ratio,330
num__sodium_lab_last_to_first_ratio,329
num__late_medication_order_share_last_12h,327
num__num_orders_first_6h,324
num__orders_per_hospital_day,324
num__bmi_change_recent,322
num__num_total_diagnoses,317
num__hospital_los_days,316
num__platelet_lab_last_value,315
num__late_nonroutine_order_share_last_12h,314
num__previous_admission_late_order_count,313
num__num_orders_first_24h,311
num__hemoglobin_lab_last_value,309
num__sodium_lab_coefficient_of_variation,305
num__new_orders_last_24h_per_hospital_day,305
num__urea_nitrogen_lab_std_value,302
num__potassium_lab_mean_value,299
num__sodium_lab_mean_value,297
num__glucose_lab_first_72h_min,296
num__previous_psych_to_total_admission_ratio,295
num__time_to_first_transfer_hours,294
num__discontinued_pharmacy_orders_per_hospital_day,294
num__urea_nitrogen_lab_rate_of_change_per_day,293
num__potassium_lab_coefficient_of_variation,292
