processed_feature_name,feature_importance
num__low_late_order_activity_flag,0.20332369
num__new_orders_last_12h_before_discharge_flag,0.08292051
num__last_order_within_12h_of_discharge_flag,0.079151936
num__late_orders_without_prior_psych_history_flag,0.047558647
num__mostly_psych_readmission_pattern_flag,0.024021467
num__previous_psych_admissions_365d,0.016996223
num__orders_last_12h_before_discharge,0.01679672
num__previous_psych_admissions_180d,0.016225018
num__low_order_activity_with_self_harm_flag,0.013596969
num__low_order_activity_with_smi_flag,0.013528433
num__no_late_orders_but_self_harm_flag,0.010219493
num__previous_psych_admissions_90d,0.007184132
num__recent_psych_admission_365d,0.00674926
num__self_harm_no_psych_followup_flag,0.0062332335
num__low_order_activity_with_psychosis_flag,0.006009464
num__has_psychotic_disorder,0.0056342813
num__has_self_harm_or_suicidal_ideation,0.005401162
num__late_order_severity_per_late_order_last_12h,0.0047765463
num__unmanaged_psychiatric_discharge_risk_score,0.004500482
cat__last_service_OMED,0.0032456229
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.0030796074
num__new_safety_order_last_12h_before_discharge_flag,0.0029121137
num__elixhauser_psychoses,0.0026809813
num__no_late_orders_but_psychosis_flag,0.0026678492
num__safety_orders_without_prior_readmission_history_flag,0.0026432525
num__smi_without_followup_order_flag,0.0025865152
cat__discharge_location_Unknown / not modelled,0.002556202
num__previous_total_admissions_90d,0.0025357609
cat__first_service_OMED,0.002420023
num__no_recent_psych_history_and_high_charlson,0.0024036749
num__psych_service_involved_anytime,0.0023518798
num__previous_psych_admissions_60d,0.0022612514
num__self_harm_without_followup_order_flag,0.0022506854
num__icu_complexity_without_psych_history_flag,0.002119181
num__num_vital_types_measured,0.0021065618
num__psychiatric_aftercare_planning_score,0.0021051704
num__discharged_to_psych_facility_flag,0.0020178535
num__previous_3plus_psych_admissions,0.0019604147
num__has_depression,0.001957447
num__has_cancer,0.0018818623
num__safety_orders_first_24h,0.0018688733
num__admissions_per_90d,0.0018098641
cat__discharge_location_HOME,0.0017907919
num__orders_after_72h_per_hospital_day,0.0017781302
num__previous_psych_admissions,0.0017149317
num__charlson_comorbidity_index_simplified,0.0016753841
num__admissions_per_365d,0.0016200367
num__late_order_intensity_score_last_12h,0.0016021811
num__late_psych_safety_activity_score_near_discharge,0.0015087989
num__elixhauser_lymphoma,0.0014907847
num__psych_diagnosis_without_psych_discharge_flag,0.0014602639
cat__discharge_location_grouped_Unknown / not modelled,0.001445406
num__previous_total_admissions_60d,0.0014333534
num__medicine_service_involved_anytime,0.0014196979
cat__race_UNKNOWN,0.001406271
num__safety_order_proportion,0.0013867795
num__quiet_smi_psychosis_low_activity_score,0.0013601969
num__safety_order_near_discharge_flag,0.0013313518
num__medical_to_psych_service_transfer,0.0013204494
num__home_discharge_without_followup_order_flag,0.0013029462
num__psychotropic_started_after_72h_flag,0.0012985804
num__late_order_type_diversity_last_12h,0.001279097
cat__marital_status_Unknown,0.0012112107
num__previous_psych_admissions_from_all_hosp,0.0011994257
num__min_previous_admission_gap_days_filled,0.0011981062
num__smi_without_psychotropic_continuity_flag,0.0011580498
num__previous_total_admissions_180d,0.0011247846
num__late_discontinued_safety_orders,0.0011232338
num__num_pharmacy_records,0.0011231343
num__discharge_hour,0.0011132184
cat__last_service_MED,0.0011074243
num__had_benzodiazepine,0.0010997342
num__min_previous_admission_gap_days,0.0010763955
num__discharged_to_psych_facility_or_transfer_flag,0.0010419122
num__safety_orders_last_12h_before_discharge,0.0010297592
num__discharged_against_advice,0.0010212585
num__has_previous_hospital_admission,0.0010144596
cat__last_service_NMED,0.0009841949
num__new_substance_use_this_admission_flag,0.0009772935
num__has_multiple_psych_diagnosis_groups,0.0009566718
num__hemoglobin_lab_min_value,0.00095283973
num__days_since_previous_psych_admission_filled,0.0009454308
num__late_psych_safety_without_psych_facility_discharge_flag,0.00094237446
num__has_other_psych_diagnosis,0.00092879264
num__elixhauser_solid_tumour,0.0009286675
num__num_unique_careunits,0.00092803984
num__safety_orders_last_24h_before_discharge,0.0009227802
num__age_65plus,0.00092203385
cat__psych_diagnosis_burden_category_1 diagnosis,0.00092136936
num__had_followup_or_discharge_planning_order,0.00092033576
num__late_psych_safety_orders_last_12h,0.00090465613
num__late_nonroutine_order_count_last_12h,0.00090079854
num__self_harm_and_previous_psych_90d,0.0008906417
num__days_since_previous_hospital_admission_filled,0.00088476966
num__num_outputevents_last_24h_before_discharge,0.000880402
num__pharmacy_logistics_complexity_score,0.0008799984
num__antipsychotic_plus_benzodiazepine,0.00087414176
num__days_since_previous_hospital_admission,0.0008540031
cat__first_service_NMED,0.0008470692
num__new_smi_this_admission_flag,0.00083472824
num__num_med_orders_with_duration,0.00083344744
cat__time_since_previous_psych_category_0-30 days,0.00080971693
num__previous_2plus_psych_admissions,0.00080503646
num__previous_total_admissions_365d,0.0008006438
num__elixhauser_liver_disease,0.00079504336
num__psych_diagnosis_group_count,0.00079499895
cat__first_service_OBS,0.00079264725
num__orders_after_72h_count,0.0007810384
num__sodium_lab_min_value,0.0007747253
cat__discharge_location_grouped_Psych facility,0.0007585227
num__new_safety_order_last_24h_before_discharge_flag,0.0007524377
num__chart_acuity_event_density_per_day,0.0007473883
cat__psych_medication_burden_category_3+ classes,0.0007452163
num__has_severe_mental_illness,0.0007437767
num__facility_discharge_with_discharge_planning_flag,0.00074367353
num__previous_psych_to_total_admission_ratio,0.0007415029
cat__discharge_location_AGAINST ADVICE,0.0007330653
num__safety_orders_first_72h,0.0007325909
num__home_discharge_without_medication_or_followup_plan_flag,0.000726273
num__substance_use_on_current_and_previous_admission_flag,0.00071767275
num__num_psych_related_poe_orders,0.0007161705
num__last_order_close_to_discharge_hours_filled,0.00071479
num__rass_extreme_flag,0.0007097579
num__num_discontinued_orders,0.0007080553
num__ed_admission_with_smi_flag,0.0007047956
num__num_verified_pharmacy_orders,0.0007017662
num__num_safety_observation_orders,0.0006999363
num__night_discharge,0.00069902604
num__num_floor_stock_pharmacy_orders,0.00069828535
num__hcpcs_observation_to_total_ratio,0.0006982621
num__high_utiliser_previous_year,0.0006980089
num__last_safety_order_hours_from_admission,0.0006970572
num__previous_admission_had_psych_facility_discharge,0.00069542223
cat__discharge_location_grouped_Home health care,0.0006947078
cat__first_service_MED,0.0006886401
num__discharged_to_residential_care_flag,0.00068560336
num__frequent_psych_admitter_and_discharge_planning,0.00068516354
num__hemoglobin_lab_last_value,0.00068360416
num__elixhauser_alcohol_abuse,0.00067858776
num__had_basal_rate_order,0.0006784156
num__last_order_hours_from_admission_filled,0.00067781605
cat__first_service_VSURG,0.0006727363
num__discharge_medication_continuity_score,0.0006724555
cat__drg_severity_category_Minor,0.00067155756
num__emergency_room_admission_flag,0.00066757353
num__had_steroid_exposure,0.00066660636
num__abnormal_lab_burden_score,0.00066459354
num__late_psych_safety_order_share_last_12h,0.00066223723
num__late_order_severity_score_last_12h,0.00065646064
cat__admission_location_EMERGENCY ROOM,0.00065214146
num__ed_only_crisis_pattern_score,0.00065006147
num__orders_first_72h_to_total_ratio,0.0006496042
num__last_order_close_to_discharge_hours,0.0006480403
num__num_started_emar_events,0.0006468655
num__num_oxygen_support_chart_events,0.000644445
num__elixhauser_metastatic_cancer,0.0006444116
num__safety_order_density_per_day,0.0006433798
num__current_psych_group_not_seen_previous_flag,0.00064031826
num__substance_use_without_followup_or_withdrawal_plan_flag,0.0006396139
cat__psych_diagnosis_burden_category_5+ diagnoses,0.0006381451
num__single_or_divorced_or_widowed,0.00063717813
num__had_one_hr_max_order,0.0006319681
num__max_oxygen_flow_rate,0.0006316625
num__num_observation_safety_orders,0.00062850915
num__num_steroid_prescriptions,0.0006277727
num__not_married_flag,0.0006222953
num__num_prescription_rows,0.00062226993
num__icu_event_density_per_day,0.0006200784
num__prn_psychotropic_orders_last_24h_before_discharge,0.0006136576
num__discharged_home_flag,0.0006111538
cat__discharge_location_grouped_Other,0.0006101322
num__elixhauser_depression,0.0006093493
num__sodium_lab_abnormal,0.00060932495
cat__gender_M,0.0006068783
num__new_antidepressant_started_flag,0.00060034177
num__previous_ed_visits_60d,0.00059936655
cat__gender_F,0.0005975114
num__orders_after_72h_to_total_ratio,0.0005926152
num__orders_last_6h_before_discharge,0.0005923538
num__previous_total_admissions_14d,0.0005903385
num__older_medical_complexity_home_discharge_flag,0.0005900563
cat__last_service_VSURG,0.00058992516
num__time_to_first_transfer_hours,0.0005864224
num__pain_max_score,0.0005821008
num__procedures_per_hospital_day,0.00057632185
num__smi_x_antipsychotic_polypharmacy,0.00056646514
num__has_liver_disease,0.000565392
num__discharged_home_with_services_flag,0.0005651536
num__has_alcohol_related_disorder,0.0005643945
num__icu_or_procedure_without_psych_marker_flag,0.0005643082
num__had_antidepressant,0.00056428043
num__elixhauser_coagulopathy,0.00056046044
num__elixhauser_fluid_electrolyte,0.00055913854
num__late_orders_but_psych_facility_discharge_flag,0.00055836205
cat__insurance_grouped_Private,0.00055795565
cat__discharge_location_CHRONIC/LONG TERM ACUTE CARE,0.0005568362
num__abnormal_labs_last_24h_before_discharge,0.0005530791
num__mean_previous_admission_gap_days_filled,0.0005512514
cat__admission_type_SURGICAL SAME DAY ADMISSION,0.00055087876
cat__time_since_previous_psych_category_365+ days,0.0005491021
num__elixhauser_valvular_disease,0.00054894236
num__vital_72h_hourly_rows,0.000548487
num__elixhauser_individual_group_count,0.0005473288
num__had_prn_benzodiazepine,0.00054642523
num__admitted_from_hospital_transfer_flag,0.00054507377
num__public_insurance_flag,0.0005445961
num__num_datetimeevents,0.00054434343
num__mean_oxygen_flow_rate,0.00054088724
num__hemoglobin_lab_mean_value,0.00053764426
num__days_since_latest_body_measure_filled,0.00053608796
num__late_consult_orders_last_12h,0.0005323865
num__drg_mortality,0.0005322348
num__late_nonroutine_order_share_last_12h,0.0005319855
num__time_to_first_transfer_hours_filled,0.0005302473
cat__discharge_location_HOME HEALTH CARE,0.0005298086
num__ed_visit_to_admission_ratio_365d,0.00052945793
num__prior_near_30d_readmission_flag,0.00052844395
num__late_orders_without_self_harm_flag,0.00052797404
num__medical_complexity_score,0.0005274994
num__emar_dose_given_record_count,0.00052740006
num__num_psychotropic_pharmacy_orders,0.0005269865
num__num_opioid_prescriptions,0.000526024
num__previous_admission_had_facility_discharge,0.00052476843
num__num_pain_chart_events,0.00052367203
num__num_iv_pharmacy_orders,0.00052215846
num__previous_admission_had_late_safety_orders,0.00052106543
cat__first_service_PSYCH,0.0005203923
cat__discharge_location_PSYCH FACILITY,0.0005195463
num__psychotropic_order_density_per_day,0.0005193482
num__platelet_lab_last_value,0.0005176536
num__late_admin_to_total_late_order_ratio,0.00051668024
cat__first_service_NSURG,0.00051651226
num__care_team_touchpoints_per_hospital_day,0.0005157498
num__num_dose_due_records,0.00051455497
cat__first_service_SURG,0.0005138135
num__medical_workup_near_discharge_score,0.00051266735
num__night_discharge_flag,0.00051147025
num__anchor_age,0.0005113882
num__num_critical_or_priority_labs,0.00051138113
num__sodium_lab_last_value,0.0005085866
cat__drg_mortality_category_Moderate,0.00050750136
num__psychotropic_pharmacy_orders_per_day,0.0005051945
num__num_lab_events_last_24h_before_discharge,0.00050457934
num__had_central_line_procedure,0.00050377945
num__num_total_poe_orders,0.0005010332
num__systolic_bp_arterial_vital_value_range,0.00050057546
num__self_harm_recurrent_flag,0.0005001123
num__num_abnormal_lab_flags_last_48h,0.0004979622
num__facility_discharge_and_late_orders_flag,0.0004961596
num__emar_started_stopped_activity_last_24h,0.00049596257
num__days_since_latest_body_measure,0.0004944307
num__late_order_type_diversity_last_6h,0.0004936273
num__late_psych_safety_without_followup_flag,0.00049265637
num__num_scheduled_pharmacy_orders,0.00049255084
cat__drg_mortality_category_Minor,0.0004910532
