processed_feature_name,feature_importance
cat__discharge_location_Unknown / not modelled,5.068701508515784
num__late_orders_without_prior_psych_history_flag,2.3361911694213484
num__discharge_hour,2.0150476857795905
num__late_order_severity_per_late_order_last_12h,1.64667551823325
num__no_late_orders_but_self_harm_flag,1.4475099726498035
num__last_order_close_to_discharge_hours,1.228005232841039
num__unmanaged_psychiatric_discharge_risk_score,1.201286701778745
num__last_order_close_to_discharge_hours_filled,1.1720789469701864
num__previous_psych_admissions_180d,1.164001531831706
num__previous_psych_admissions_365d,1.0567938047728767
num__orders_last_12h_before_discharge,1.0369568009172856
num__discontinued_orders_last_12h_before_discharge,0.9738511237911929
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.9051566608244135
num__new_orders_last_12h_before_discharge_flag,0.8854518124904756
num__anchor_age,0.8328057317778773
num__orders_last_6h_before_discharge,0.8306240584275588
num__last_order_within_12h_of_discharge_flag,0.8263232537785001
num__low_late_order_activity_flag,0.6665965459031703
num__care_team_touchpoints_per_hospital_day,0.6541915942098888
num__care_team_touchpoints_last_6h_before_discharge,0.6259173104830509
num__procedures_per_hospital_day,0.6042311427699837
cat__race_UNKNOWN,0.5868244152210897
num__low_order_activity_with_self_harm_flag,0.5801660910268835
num__days_since_latest_body_measure,0.5771587775749797
num__psych_diagnosis_group_count,0.5737010200182577
num__elixhauser_psychoses,0.5681756305569174
num__late_order_type_diversity_last_6h,0.529779174640257
num__num_unique_careunits,0.5271302851169841
num__admissions_per_90d,0.5259717947594273
num__days_since_latest_body_measure_filled,0.5233816553197114
num__quiet_smi_psychosis_low_activity_score,0.46500931762024134
num__previous_total_admissions_180d,0.460868735681433
num__late_discontinued_safety_orders,0.4532669129996107
num__previous_psych_admissions_from_all_hosp,0.44562080279832583
num__care_team_touchpoints_last_12h_before_discharge,0.4418782576642024
cat__last_service_OMED,0.4387694335706707
num__days_since_previous_psych_admission_filled,0.43217707622726403
num__num_opioid_prescriptions,0.43157377615359227
num__late_psych_safety_activity_score_near_discharge,0.3914896603426732
cat__first_service_OBS,0.3850302284198069
num__late_order_type_diversity_last_12h,0.3795114655221692
num__safety_order_near_discharge_flag,0.37763999685391647
num__has_cancer,0.3693923137306681
num__previous_psych_admissions_90d,0.3681903552038184
num__previous_psych_to_total_admission_ratio,0.3680260067553714
cat__marital_status_Unknown,0.3615999307289855
num__days_since_previous_hospital_admission_filled,0.3507703859752603
num__platelet_lab_rate_of_change_per_day,0.33967999463701576
num__has_depression,0.33528835985230926
num__hemoglobin_lab_last_value,0.3351827428113803
num__late_care_fragmentation_score,0.3324859617989689
num__previous_psych_admissions,0.3307963045634057
num__has_dementia,0.3241908844680372
num__wbc_lab_last_value,0.3241428963851521
num__emar_not_given_rate,0.322981075970311
num__public_insurance_flag,0.3166006159524871
num__late_nonroutine_order_share_last_12h,0.31198250130513916
num__late_order_severity_score_last_12h,0.3029014621550393
num__new_smi_this_admission_flag,0.30124109177944824
num__provider_changes_last_24h_before_discharge,0.299439920777086
num__urea_nitrogen_lab_std_value,0.2982478178363608
num__safety_order_density_per_day,0.29776674493306965
num__ed_length_of_stay_hours_filled,0.29459194764784546
num__psych_diagnosis_without_psych_discharge_flag,0.29285269572550027
num__quiet_risk_flag,0.2897769837352453
num__admission_hour,0.2884048765882754
num__min_previous_admission_gap_days_filled,0.2882135733226224
num__has_self_harm_or_suicidal_ideation,0.2870614413410931
num__medical_workup_near_discharge_score,0.2853158797957378
num__creatinine_lab_mean_value,0.2833597705089268
num__admissions_per_365d,0.2818388248618629
num__wbc_lab_coefficient_of_variation,0.2807749820536903
num__days_since_previous_hospital_admission,0.27812277926381646
num__discharged_to_psych_facility_flag,0.2708216063549734
num__ed_length_of_stay_hours,0.27013956262068456
num__has_alcohol_related_disorder,0.26923828412510453
num__num_psych_diagnoses,0.2680463583200016
num__ed_to_admission_hours_filled,0.26593414499383633
num__admission_year,0.2647925209653702
num__no_late_orders_but_psychosis_flag,0.2603191841531869
num__time_to_first_transfer_hours_filled,0.25532027566863613
num__discharged_to_psych_facility_or_transfer_flag,0.25485010612780057
num__num_steroid_prescriptions,0.2535907817357756
num__late_nonroutine_order_count_last_12h,0.2523579263847892
num__previous_psych_admissions_60d,0.25149981458582216
num__num_abnormal_lab_flags,0.24746386317706703
num__safety_order_proportion,0.243503980879958
num__mean_previous_admission_gap_days_filled,0.24320988074678845
num__previous_total_admissions_90d,0.2379342892705587
num__glucose_lab_last_value,0.23664564010259384
num__has_multiple_psych_diagnosis_groups,0.23625589772153718
num__ed_to_admission_hours,0.23313582063944704
num__hemoglobin_lab_min_value,0.23188272079383326
