config_number,subsample,rsm,learning_rate,l2_leaf_reg,iterations,depth,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds
38,0.9,0.75,0.05,10,1000,7,0.9282318985661747,0.7902729704534041,0.7756772765527491,0.5858475442565975,0.1593218484089867,27.598464399001386
77,0.95,1.0,0.05,6,700,7,0.9039789139472928,0.7923387790113524,0.7282586548464263,0.5857481362195316,0.16355228594473945,21.05650991800212
72,0.95,0.9,0.035,30,850,8,0.9000849261333161,0.793383564021035,0.7197819726595214,0.5854121193671542,0.1643787516138948,42.53262006799923
50,0.95,0.6,0.045,45,850,8,0.9132271587725524,0.7922489294351689,0.7430638971134409,0.5852873487282916,0.16236914924441787,37.291391339000256
1,0.9,0.6,0.045,20,850,7,0.8983177324911853,0.7914191881316313,0.7169414529116145,0.5850654168647751,0.16488058437275918,21.739115148004203
45,0.75,0.9,0.065,45,500,8,0.8985962687257905,0.7913263125655805,0.7153248783951265,0.5849611796141972,0.16505069416861037,23.42060003899678
53,0.95,0.9,0.05,30,700,7,0.8886057405422383,0.7927195328675269,0.6997982895777654,0.5846062342831289,0.1663895889661501,22.53749999399588
31,0.95,1.0,0.045,45,700,8,0.8996645039596545,0.7923542934102211,0.7176469242362478,0.5844277413649529,0.16473883890011654,33.3434859830013
75,0.95,0.75,0.045,6,500,7,0.8662373643823491,0.7924463876756095,0.667860983708191,0.5843626373074567,0.16970033982638796,15.325019594994956
60,0.95,0.6,0.045,45,850,7,0.8890870656501018,0.7918868399837088,0.7004818417244543,0.584189228017798,0.16637216408736596,23.524281792000693
43,0.9,0.75,0.045,6,700,8,0.9252716188817359,0.7905179640182769,0.7705334118159773,0.5840870745610915,0.16010135858574948,31.15687147599965
8,0.9,0.75,0.05,10,1000,6,0.8974896961812424,0.7897214341936929,0.7165235197865246,0.5839982571118609,0.16523714142178353,19.355312963998585
56,0.9,0.6,0.065,20,350,8,0.8803438082857582,0.7906342413994081,0.6878774337750311,0.583823311403205,0.16815744688170808,15.41341605100024
74,0.85,1.0,0.035,30,1000,7,0.8882757420653558,0.7926699264762593,0.6983293982815779,0.5837685491279733,0.16643338097051055,29.030335203002323
66,0.85,0.9,0.065,6,700,7,0.922342392074501,0.7890523927946668,0.7624675478795654,0.5835214188427515,0.16073846076311055,20.469536755001172
65,0.75,1.0,0.025,10,1000,8,0.8976590540929037,0.792560891628253,0.7168269149087665,0.5835045699774722,0.16529161319789093,46.08049474199652
76,0.75,0.75,0.05,30,1000,7,0.9123574742963074,0.7894267350247699,0.742719506550378,0.5834700131774102,0.16304292648980878,26.325000916993304
18,0.95,1.0,0.035,10,850,6,0.8617584642537107,0.7937480717840694,0.65883400964986,0.5834130651460894,0.17028840189559896,17.108415216003777
3,0.85,0.75,0.035,30,850,7,0.8741204096517935,0.7932897335319524,0.6773983422082257,0.5833982168912263,0.1686216901757514,22.791106550001132
47,0.85,0.9,0.065,30,850,7,0.9225418618253358,0.7892506943437589,0.7611814149354953,0.5829346777374912,0.16062197481714208,25.183219594000548
71,0.85,1.0,0.035,6,1000,7,0.9020420923445194,0.7911888780585736,0.7235561479141667,0.5829233315699344,0.16426674315813747,29.140624419000233
44,0.85,0.6,0.045,20,850,6,0.870012136593657,0.7922458786421058,0.670690317515611,0.5829057125474347,0.16955462217659814,16.41368323899951
28,0.85,0.9,0.025,30,1000,7,0.8624539492258507,0.7928358474534516,0.6589564125297557,0.582718223136523,0.17058249877026474,29.104781517999072
25,0.9,0.9,0.035,30,500,8,0.8554965423059375,0.792880319583223,0.6506151701887274,0.5826088766967026,0.1716524088546847,24.744189668002946
64,0.85,0.75,0.065,45,1000,7,0.9304243697524204,0.7878647413781333,0.7777620205157848,0.5824199619528415,0.15938082366680023,27.000913393996598
51,0.95,0.9,0.065,20,350,7,0.859098107029805,0.7925407390318006,0.6552776619157499,0.5823476152238124,0.1708897995026048,11.642673950002063
4,0.9,0.75,0.065,6,850,7,0.939625358761621,0.7872880298748539,0.8006038340152869,0.5822862035913149,0.15759135351900053,23.346829201997025
32,0.9,1.0,0.065,45,1000,8,0.9555791168086383,0.7871268463080277,0.8371809189162863,0.582250106377996,0.1536218682645623,46.97101601400209
22,0.95,0.9,0.065,10,500,6,0.8658040515032511,0.7919566113730268,0.6648352796612174,0.5821852527598246,0.16974654991421595,11.0046380910062
6,0.9,1.0,0.035,20,850,6,0.8568257109898137,0.7930965538427585,0.6514507855812892,0.5821592145017234,0.17104674323327781,16.734831779998785
67,0.95,0.9,0.065,6,1000,6,0.922126740051825,0.7868110644228158,0.7635212394668269,0.5820123700427547,0.1610116262866313,21.039753267999913
46,0.85,0.6,0.045,6,500,8,0.8923390340567574,0.7903459538565565,0.7080573493520212,0.5816273289669067,0.1667142680791214,21.650916557999153
54,0.9,0.75,0.065,6,1000,8,0.9762514448326602,0.7820852247475223,0.9007621649576153,0.5815433993013449,0.14665836806634897,46.07872297100403
78,0.75,1.0,0.065,30,1000,7,0.9336692300841141,0.7860630992552827,0.7838130671262941,0.5815157604663894,0.15929577390399616,28.63322889000119
52,0.9,1.0,0.045,30,850,6,0.8712667166467626,0.7921267860982703,0.6716964147930059,0.5814778423514037,0.16916640889771434,16.632998538996617
12,0.9,0.9,0.05,45,850,6,0.8749108857307729,0.7915717649895725,0.6775695934662734,0.5814252413319771,0.1687382464005521,17.167927151000185
26,0.9,0.9,0.065,6,850,8,0.9670309764740093,0.7842572901955658,0.872743140676757,0.581275083949072,0.15050609821591016,40.182539672998246
42,0.9,0.6,0.05,30,1000,5,0.8648020967605916,0.7915034321856015,0.6622659844455486,0.5812059962512354,0.17024009812444835,15.458544856002845
7,0.95,0.75,0.065,45,700,6,0.8783202885599017,0.7909436240601465,0.683852490721259,0.5811716418331545,0.16850611569349566,14.026368962004199
59,0.95,0.75,0.035,45,1000,5,0.842615987129212,0.7924759902895986,0.6324738012852181,0.581133741956147,0.17318516787279084,16.137515438000264
16,0.85,0.75,0.065,10,700,7,0.917857955941754,0.7876246340428001,0.7527380455377061,0.5810811217580761,0.1618982395882153,19.267171374995087
2,0.9,1.0,0.05,6,700,6,0.8744077279894824,0.7906127370287936,0.6785618749816915,0.5809545073099106,0.1689674441532824,13.919234244000108
24,0.75,1.0,0.065,45,350,7,0.8484905899483011,0.7916244841818922,0.638223738750173,0.5799486662343245,0.17283748621516118,10.60382829199807
49,0.85,0.6,0.025,30,700,7,0.8369539445475277,0.7936269205749962,0.6251686273237544,0.5797276469435112,0.1739103625966818,17.890532311001152
63,0.95,0.6,0.025,30,1000,5,0.8277209822901066,0.7927964103723937,0.6129547629063108,0.5796283880537659,0.17518842818508037,15.78978545699647
61,0.85,0.6,0.045,30,700,5,0.8364144789963128,0.7926736097508108,0.6237457445734298,0.5793971992484553,0.17420157600934058,10.822749876999296
20,0.75,0.75,0.035,6,500,7,0.8435421600655014,0.7915841045794004,0.6356122072656707,0.5793609830966668,0.1737108720993495,13.68118348599819
39,0.95,0.6,0.065,6,850,4,0.852248581922167,0.791161619346572,0.6458628895677248,0.579295238583062,0.171715665841239,11.070967057996313
57,0.75,0.6,0.045,45,700,5,0.8330056837773913,0.7918249560106024,0.6184493136618546,0.5791082646745617,0.174861540429915,9.969702567002969
23,0.85,0.9,0.035,20,850,5,0.8362677376868035,0.7928382905682215,0.622565951984551,0.5790974159975246,0.1741781818060141,13.422650838001573
11,0.9,0.9,0.035,6,500,6,0.827159306588012,0.7921865617997477,0.6134469990983415,0.5790630011640585,0.17538083162161633,10.494171678001294
27,0.9,1.0,0.065,10,500,5,0.8431403574935139,0.7915606903627221,0.6320562641586225,0.578818620338545,0.1732993056678413,7.96647056099755
19,0.95,0.9,0.025,30,700,6,0.8239070061313339,0.7930541527798225,0.6084273580987116,0.5787482656223885,0.17584640219822906,15.116008682001848
36,0.9,0.6,0.035,30,500,6,0.8226641993871159,0.7918914533780967,0.6070950752572917,0.5786380436045897,0.17618654596130973,10.348355135996826
41,0.75,0.75,0.045,45,850,5,0.8426409446151324,0.7912335982203013,0.6309326025335202,0.5786331948544451,0.1736212809959781,13.026580276004097
37,0.95,0.9,0.05,30,1000,4,0.8439495923320607,0.791026156693618,0.6327361517134984,0.5782808547661844,0.17321137282041651,13.368329419005022
35,0.85,1.0,0.045,20,700,5,0.8395208028229939,0.7915247381306509,0.6272616143863085,0.5779052057682154,0.1740225086312565,10.660945905001427
48,0.75,0.75,0.05,20,500,5,0.8250338833280851,0.7923477577681718,0.6088879196444508,0.5778322418155721,0.17571970961346453,7.946963157002756
58,0.85,0.6,0.065,45,850,4,0.8435248411078986,0.7904024307330146,0.6316741117209937,0.5770736659651782,0.17329126637971037,10.511134339001728
17,0.85,0.6,0.045,6,500,5,0.8241148625563874,0.791502514467363,0.6077109963678988,0.5769849517740796,0.17602098886862147,8.050147588000982
