threshold,precision,recall_sensitivity,precision_recall_gap,f1_score,youden_index,sensitivity,specificity
0.01,0.20002103325884055,1.0,0.7999789667411594,0.33336254568080836,0.007469940827630195,1.0,0.0074699408276303
0.02,0.20103479621173684,1.0,0.7989652037882632,0.3347693120063365,0.013726424018632555,1.0,0.013726424018632446
0.03,0.20178235153701296,1.0,0.798217648462987,0.3358051502070147,0.018299724036247245,1.0,0.018299724036247154
0.04,0.20252039099601762,1.0,0.7974796090039824,0.3368265395121908,0.02278168853282536,1.0,0.022781688532825334
0.05,0.20338339633536687,1.0,0.7966166036646332,0.3380192828897676,0.02798128926611909,1.0,0.027981289266119088
0.060000000000000005,0.20428900573048975,0.999973711191146,0.7956847054606562,0.3392675573948875,0.03338946395893849,0.999973711191146,0.03341575276779248
0.06999999999999999,0.2053410925109181,0.999973711191146,0.7946326186802279,0.34071712005446025,0.03961332732099909,0.999973711191146,0.03963961612985301
0.08,0.20653029751787877,0.9998685559557297,0.7933382584378509,0.3423463968748312,0.04656710306854861,0.9998685559557297,0.04669854711281894
0.09,0.20779901979532628,0.9998159783380215,0.7920169585426953,0.3440844649917218,0.053899654723222445,0.9998159783380215,0.054083676385201035
0.09999999999999999,0.20924499229583976,0.999605667867189,0.7903606755713493,0.3460518113023812,0.062137879948268804,0.999605667867189,0.06253221208107984
0.11,0.21095709497702705,0.9994216462052105,0.7884645512281834,0.3483787015867052,0.07174633093456384,0.9994216462052105,0.07232468472935327
0.12,0.21282124516277168,0.9990273140723994,0.7862060689096277,0.3508924201992595,0.08201215889987323,0.9990273140723994,0.08298484482747373
0.13,0.2150309961219464,0.9985015378953179,0.7834705417733715,0.35385747691849034,0.0939341094469126,0.9985015378953179,0.09543257155159478
0.14,0.21767212945488754,0.9975814295854255,0.7799093001305379,0.35736685972595,0.10781687951072616,0.9975814295854255,0.11023544992530059
0.15000000000000002,0.22080244145345687,0.996661321275533,0.7758588798220761,0.36151425574520835,0.12382646242153283,0.996661321275533,0.12716514114599983
0.16,0.22435236232141798,0.9949262598911643,0.7705738975697464,0.3661411799989358,0.14130448028377662,0.9949262598911643,0.14637822039261225
0.17,0.22849767869233,0.993690685875023,0.7651930071826929,0.3715564992160737,0.16106955214024832,0.993690685875023,0.1673788662652253
0.18000000000000002,0.23310203350243142,0.9917453140198218,0.7586432805173904,0.3774802629604058,0.18202982416785063,0.9917453140198218,0.19028451014802877
0.19,0.23807536407843732,0.9897473645469124,0.751672000468475,0.3838248937189695,0.2036747267118253,0.9897473645469124,0.21392736216491282
