processed_feature_name,feature_importance
cat__discharge_location_Unknown / not modelled,6.676021839349747
num__discharge_hour,2.3394662171576535
num__late_orders_without_prior_psych_history_flag,1.76550825295635
num__care_team_touchpoints_last_12h_before_discharge,1.5581986963477383
num__late_order_severity_score_last_12h,1.4009758803740575
num__previous_psych_admissions_180d,1.143245292942181
num__low_late_order_activity_flag,1.101027707731149
num__no_late_orders_but_self_harm_flag,1.0340367888467457
num__last_order_close_to_discharge_hours_filled,1.0116862239521809
num__new_orders_last_12h_before_discharge_flag,0.9994028043543163
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.9895544427647681
num__late_order_intensity_score_last_12h,0.9322058313036966
num__previous_psych_admissions_365d,0.9091050105842621
num__last_order_close_to_discharge_hours,0.8244409869856066
num__unmanaged_psychiatric_discharge_risk_score,0.815014540191747
cat__race_UNKNOWN,0.7852061658321127
num__late_order_severity_per_late_order_last_12h,0.7089304317162833
num__num_unique_careunits,0.6981947852507956
num__elixhauser_psychoses,0.6929690465988243
num__care_team_touchpoints_last_6h_before_discharge,0.6881369384410045
num__low_order_activity_with_self_harm_flag,0.6792977148945416
num__days_since_latest_body_measure_filled,0.6511891104697175
num__mostly_psych_readmission_pattern_flag,0.6300081995514253
num__ed_length_of_stay_hours_filled,0.6180826400670604
num__days_since_latest_body_measure,0.6119577382295321
num__care_team_touchpoints_per_hospital_day,0.5988631139896697
num__days_since_previous_psych_admission_filled,0.5983867718925094
num__anchor_age,0.5952735851252127
cat__last_service_OMED,0.5582586413410126
num__days_since_previous_hospital_admission,0.5324996738593776
cat__marital_status_Unknown,0.5105334142044265
num__previous_psych_admissions_60d,0.4924276632734278
num__num_opioid_prescriptions,0.4872960694532391
num__provider_changes_last_24h_before_discharge,0.4807777707370515
cat__first_service_OBS,0.4729269774302277
num__previous_psych_admissions_from_all_hosp,0.4680896944099088
num__orders_last_6h_before_discharge,0.4582186429056967
num__orders_last_12h_before_discharge,0.44618104399724023
num__low_order_activity_with_smi_flag,0.4299981095313499
num__procedures_per_hospital_day,0.42434475584719067
num__self_harm_no_psych_followup_flag,0.4089937459161297
num__num_procedures,0.40722247272593043
num__ed_visit_to_admission_ratio_365d,0.3982235234714739
num__previous_total_admissions_365d,0.3978920114676022
num__previous_psych_admissions_90d,0.397872552213445
num__has_depression,0.39652965743643476
num__has_cancer,0.39278242670576524
cat__discharge_location_PSYCH FACILITY,0.3889933251238998
num__last_order_within_12h_of_discharge_flag,0.3811696014522511
num__hemoglobin_lab_last_value,0.37797534832325097
num__discharged_to_psych_facility_flag,0.37138917499168794
num__previous_total_admissions_60d,0.365325741047244
num__previous_psych_admissions,0.3605518448567095
num__ed_length_of_stay_hours,0.3554360278958215
num__discontinued_orders_last_12h_before_discharge,0.35403480287543965
num__late_order_type_diversity_last_6h,0.3495242233567884
num__platelet_lab_rate_of_change_per_day,0.3425759713081367
num__previous_psych_to_total_admission_ratio,0.333010468122355
num__emar_not_given_rate,0.33177484602230073
num__admission_hour,0.3299701921591021
num__previous_total_admissions_180d,0.32340835716221283
num__safety_order_near_discharge_flag,0.3221554059961289
num__hospital_los_days,0.32058876180030005
num__num_safety_observation_orders,0.31628642256329526
num__late_discharge_admin_order_share_last_12h,0.3155720548358829
num__sodium_lab_last_value,0.30814383953401286
num__quiet_risk_flag,0.3009706627857721
num__public_insurance_flag,0.28800273015839783
num__safety_order_density_per_day,0.28597153740496867
num__quiet_smi_psychosis_low_activity_score,0.2859373064800251
num__medical_workup_near_discharge_score,0.28503096099981073
num__num_unique_procedure_codes,0.2822816240001765
num__previous_admission_los_days,0.2753276559741957
num__psych_diagnosis_group_count,0.2663619822209601
num__emar_administration_record_count,0.262298723885789
num__mean_previous_admission_gap_days,0.2610136432697287
num__emar_administration_count_first_24h,0.26022556455929435
num__psychotropic_pharmacy_orders_per_day,0.25818083064439434
num__hemoglobin_lab_mean_value,0.2538070056705833
num__min_previous_admission_gap_days,0.2513122026224796
num__min_previous_admission_gap_days_filled,0.2476836899733988
num__mean_previous_los_days,0.24657191516234764
num__last_order_hours_from_admission,0.24627976251153655
num__safety_order_proportion,0.24299406674768353
num__days_since_previous_hospital_admission_filled,0.24256277983243302
num__smi_without_followup_order_flag,0.24237693091723847
num__wbc_lab_last_value,0.24058744547955208
num__admission_year,0.23919526952364328
num__wbc_lab_coefficient_of_variation,0.2381615168595723
num__previous_total_admissions,0.2379750032263454
num__elixhauser_alcohol_abuse,0.23392983925586538
num__num_steroid_prescriptions,0.23092593770597675
num__no_late_orders_but_psychosis_flag,0.22901770053360887
num__medicine_service_involved_anytime,0.22796254850819336
num__discharge_medication_continuity_score,0.22761487069235806
num__sodium_lab_last_to_first_ratio,0.22507044989239455
num__ed_to_admission_hours_filled,0.22421608137196056
num__elixhauser_lymphoma,0.22392181940512806
num__quiet_risk_summary_score,0.22382603378765684
num__has_multiple_psych_diagnosis_groups,0.2216503970065854
num__elixhauser_depression,0.22072743063852307
num__order_activity_last_6h_to_total_ratio,0.22034379881797725
num__urea_nitrogen_lab_coefficient_of_variation,0.2203283165920797
num__late_psych_safety_activity_score_near_discharge,0.2187699364079663
num__admissions_per_365d,0.21797571696379453
num__physical_comorbidity_count,0.21664025600116116
num__previous_ed_visits_365d,0.21580088259101607
num__medical_complexity_score,0.2141817341852606
num__new_substance_use_this_admission_flag,0.2127716487879415
num__night_discharge_flag,0.20886211541141045
num__has_dementia,0.20636723231333262
num__late_psych_safety_without_psych_facility_discharge_flag,0.20582963009580477
num__glucose_lab_first_72h_min,0.2031066729427394
num__previous_total_admissions_90d,0.20078703916609364
num__had_steroid_exposure,0.2002613399110473
num__num_lab_events_last_48h_before_discharge,0.1992571660349634
num__psychotropic_order_density_per_day,0.19836730302010078
num__sodium_lab_rate_of_change_per_day,0.19799721128963857
num__orders_first_72h_to_total_ratio,0.1939810393361896
num__time_between_last_two_admissions_days_filled,0.19382559725973889
num__num_abnormal_lab_flags_last_48h,0.19352107474863778
num__mean_previous_los_days_filled,0.1927798605413641
cat__discharge_location_grouped_Facility / rehab / long-term care,0.1906802361222288
num__consult_order_proportion,0.19010841733636305
num__num_orders_first_24h,0.18920526364466517
cat__first_service_NMED,0.18878418953154555
num__mean_previous_admission_gap_days_filled,0.18786001912064215
num__admission_frequency_acceleration,0.18511774130282455
num__previous_admission_order_activity_count,0.18472302622406594
num__ed_to_admission_hours,0.18347093782175397
num__elixhauser_solid_tumour,0.1804121650074435
num__num_total_poe_orders,0.1799668923755409
num__discontinued_orders_per_hospital_day,0.17753075090137865
num__late_nonroutine_order_count_last_12h,0.17557718010495277
num__previous_ed_visits_180d,0.17503428098548876
num__lab_tests_per_hospital_day,0.17492156891791633
cat__psych_diagnosis_burden_category_1 diagnosis,0.17431223304810495
num__depression_without_antidepressant_continuity_flag,0.17328535394431174
num__admissions_per_90d,0.1727239065233278
num__orders_per_hospital_day,0.1709970959727321
num__new_antidepressant_started_flag,0.1709140424899487
num__wbc_lab_first_72h_max,0.17062215977004913
num__time_to_first_transfer_hours,0.16762475796811796
cat__insurance_Medicaid,0.16349664597194666
num__num_unique_pharmacy_medications,0.1620145879783764
num__creatinine_lab_mean_value,0.16037219519229765
num__recent_psych_admission_365d,0.15893501607834948
num__num_iv_route_pharmacy_orders,0.15889300560725464
num__wbc_lab_rate_of_change_per_day,0.1578383857003689
num__medication_order_count_first_24h,0.1575878301575256
num__urea_nitrogen_lab_std_value,0.15734153574569817
num__medications_per_hospital_day,0.15519194577728265
num__previous_psych_admissions_30d,0.15464070736574537
num__platelet_lab_coefficient_of_variation,0.15458638164197175
num__has_self_harm_or_suicidal_ideation,0.15447597487724282
num__orders_last_48h_before_discharge,0.1535589824290173
num__emar_administration_count_first_72h,0.15282826294020138
num__hemoglobin_lab_coefficient_of_variation,0.15229878379832817
num__has_alcohol_related_disorder,0.15131000757355992
num__late_admin_to_total_late_order_ratio,0.15092338714487083
num__order_activity_last_12h_to_total_ratio,0.14988424038615364
cat__last_service_VSURG,0.14945856438769645
num__high_order_activity_and_late_last_order,0.1492534470530722
cat__first_service_MED,0.1491721784741452
num__ed_only_crisis_pattern_score,0.1485343803232041
num__hemoglobin_lab_min_value,0.14793767720400103
num__urea_nitrogen_lab_last_to_first_ratio,0.1473274849264016
num__num_psychotropic_pharmacy_orders,0.14726207554477777
num__wbc_lab_last_to_first_ratio,0.14713799170673086
num__late_medication_order_share_last_12h,0.14626588756711892
num__mean_bp_noninvasive_vital_rate_of_change_per_day,0.1450861342018558
num__discharge_month,0.1443312373870875
num__prescriptions_per_hospital_day,0.14360694214712352
num__safety_orders_last_24h_before_discharge,0.1421384124242804
num__had_discharge_planning_order,0.14204543790854374
num__max_previous_los_days_filled,0.14024800309178828
num__platelet_lab_last_value,0.14021218361638185
num__late_care_team_touchpoint_share,0.13934863010625292
num__emergency_room_admission_flag,0.13892141526550436
num__sodium_lab_mean_value,0.13887559380982104
num__previous_icu_admissions,0.1376160639471139
num__first_safety_order_hours_from_admission,0.13749779072933038
num__platelet_lab_last_to_first_ratio,0.13736886301284676
num__discharged_home_with_services_flag,0.13717271727050004
num__order_activity_last_48h_to_total_ratio,0.13711343227611444
num__previous_admission_late_order_share,0.1344768350028867
num__last_safety_order_hours_from_admission,0.13444320555424055
num__num_iv_prescription_rows,0.13436616311449978
num__had_antidepressant,0.1342298802874719
num__urea_nitrogen_lab_rate_of_change_per_day,0.1340318115185545
num__elixhauser_individual_group_count,0.13400439031476377
cat__first_service_SURG,0.13393989920961605
num__num_scheduled_pharmacy_orders,0.13352868668052886
num__platelet_lab_std_value,0.13294601492585348
cat__discharge_location_grouped_Psych facility,0.13211624650930887
cat__time_since_previous_psych_category_181-365 days,0.13095765997887296
num__new_safety_order_last_24h_before_discharge_flag,0.13092139079849036
num__prior_instability_score,0.13060976538609137
num__num_observation_safety_orders,0.128869727274035
num__orders_24_to_72h,0.12882829237646035
num__emar_administered_to_order_ratio,0.12871474991041723
cat__first_service_ORTHO,0.12785549680060354
num__max_previous_los_days,0.12746185129752965
num__hemoglobin_lab_first_24h_min,0.12695569076188548
num__previous_admission_los_days_filled,0.1269431103210116
num__psychiatric_aftercare_planning_score,0.12675280268285163
num__previous_nonpsych_admissions,0.1233769121264743
num__previous_3plus_psych_admissions,0.12258678711528187
num__num_discontinued_orders,0.12091085842678204
num__hemoglobin_lab_std_value,0.12070521039697465
num__order_activity_ratio_24_to_72h,0.11947941440443775
num__num_started_emar_events,0.11921795290697336
num__first_order_hours_from_admission,0.11901239101956457
num__glucose_lab_mean_value,0.11885497788707204
num__poe_order_density_first_72h,0.1187675456422195
num__creatinine_lab_coefficient_of_variation,0.11853627084902939
num__has_severe_mental_illness,0.11740649155376492
num__wbc_lab_max_value,0.11729755489343732
cat__discharge_location_HOME,0.11722995623451847
cat__discharge_location_grouped_Other,0.11654884545425895
num__std_previous_admission_gap_days,0.11620591343694403
num__num_unique_drugs,0.11521223409214405
num__admitted_from_ed_flag,0.11508186963616991
num__glucose_lab_first_72h_max,0.1147190467493656
num__platelet_lab_value_change,0.11400851468520232
cat__time_since_previous_psych_category_0-30 days,0.11367364248279872
num__platelet_lab_first_24h_min,0.11364627340151137
num__wbc_lab_mean_value,0.11286378304395688
num__previous_bmi_before_admission_filled,0.11178385461930597
num__hemoglobin_lab_first_72h_mean,0.11157102037379264
num__num_dose_due_records,0.11147420877708916
num__num_psych_diagnoses,0.11131769699037634
num__older_medical_complexity_score,0.1105369798002443
num__late_discharge_hour_with_no_followup_flag,0.11020768022943354
num__num_abnormal_lab_flags,0.1100418647366079
num__num_total_diagnoses,0.10986519153171455
num__platelet_lab_first_72h_max,0.10916056931682352
num__safety_orders_first_24h,0.10818929409543311
num__mean_oxygen_flow_rate,0.10818693930490421
num__heart_rate_vital_rate_of_change_per_day,0.10783783563220851
num__discontinued_pharmacy_orders_per_hospital_day,0.10769578867110874
num__antipsychotic_plus_benzodiazepine,0.10686949086593524
num__admitted_from_emergency_transfer_flag,0.10664534949389007
num__chart_acuity_event_density_per_day,0.10641181172022915
num__platelet_lab_first_24h_max,0.10599424225388077
num__urea_nitrogen_lab_first_24h_mean,0.10495739979173006
num__discharged_to_acute_hospital_flag,0.10494154706950352
num__num_prn_benzodiazepine_orders,0.10490933696060592
num__std_previous_admission_gap_days_filled,0.10486662819286759
num__num_positive_blood_culture,0.10421897949436097
num__sodium_lab_first_72h_min,0.10388205018803645
num__substance_use_without_followup_or_withdrawal_plan_flag,0.10386436363456786
num__first_order_hours_from_admission_filled,0.10365202530989677
num__orders_after_72h_to_total_ratio,0.10364733618327587
cat__discharge_location_AGAINST ADVICE,0.1026456953226145
num__previous_bmi_before_admission,0.10224151398329374
num__late_care_fragmentation_score,0.10223597379024654
num__quiet_self_harm_low_activity_score,0.1017273649824809
cat__first_service_OMED,0.10121233100176551
num__urea_nitrogen_lab_first_72h_mean,0.10103214766020889
num__late_nonroutine_order_share_last_12h,0.10079784768777263
