config_number,subsample,rsm,learning_rate,l2_leaf_reg,iterations,depth,class_weight_multiplier,effective_positive_class_weight,best_iteration,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds
13,0.9,0.65,0.045,10.0,1075,8,0.35,1.4103512184862903,675,0.9006824039923964,0.7930776414060876,0.7603159374110976,0.5912180876848895,0.12076609364329088,32.18859151099605
22,0.95,0.75,0.05,7.5,1150,6,0.3,1.2088724729882487,865,0.8714757772698226,0.7939033645919327,0.7123286413500812,0.5909289861356535,0.11954951663210288,20.912034838998807
14,0.9,0.85,0.045,7.5,1075,8,0.4,1.6118299639843319,714,0.913295731924493,0.7938324026492244,0.7795707491196935,0.5908721696216674,0.12262436757567516,36.85649751700112
4,0.8,0.65,0.05,20.0,1150,8,0.35,1.4103512184862903,494,0.8742350041101662,0.7937220780350452,0.7090593714153586,0.5907550815247483,0.12111003605151421,25.094259161000082
21,0.95,0.65,0.0375,7.5,1150,7,0.35,1.4103512184862903,856,0.8814380247116282,0.794177390297295,0.7238458574442742,0.590621451779335,0.12104552102150413,25.560055435998947
41,0.8,0.85,0.045,10.0,1075,8,0.3,1.2088724729882487,565,0.8798713121262096,0.7937466456003205,0.727699621918154,0.590617904781012,0.11948330427518404,29.837615479002125
32,0.95,0.85,0.045,15.0,1150,7,0.3,1.2088724729882487,696,0.8689430085447948,0.7944100194691444,0.7059431447512777,0.5903277777739777,0.11958583200526195,22.063654038000095
42,0.8,0.85,0.05,20.0,925,8,0.4,1.6118299639843319,511,0.8807923389760512,0.7943607603226157,0.7156155156171714,0.590247243376528,0.12320122362821824,26.41673028399964
24,0.8,0.75,0.0375,15.0,1150,8,0.45,1.8133087094823734,818,0.9020302570345904,0.7937809608214799,0.7519503087629045,0.590237040929385,0.12533807835216296,38.13818476000597
48,0.9,0.65,0.05,15.0,850,8,0.3,1.2088724729882487,501,0.8750495655270814,0.7931202780993822,0.7158301564177583,0.590139424494579,0.11968089723864885,24.37232391499856
10,0.9,0.65,0.045,7.5,1000,7,0.3,1.2088724729882487,482,0.8493445495826111,0.7950646998178986,0.6720835700566884,0.5900288271614395,0.11966175899635204,14.825775199999043
34,0.95,0.65,0.0375,20.0,1000,7,0.35,1.4103512184862903,793,0.8670165865833889,0.7947922987218504,0.6964570366356262,0.5899935915700647,0.12121070469128574,23.612485506004305
20,0.95,0.85,0.05,15.0,1000,8,0.35,1.4103512184862903,434,0.8690464855275193,0.7948140759276168,0.7008957674345071,0.5899927500324896,0.12115505657709703,23.91683484299574
45,0.8,0.75,0.05,7.5,925,8,0.35,1.4103512184862903,485,0.882524050111011,0.7933975034169812,0.7271043647350612,0.5899075101427459,0.12104248562700445,24.011854429001687
1,0.9,0.65,0.045,7.5,1000,8,0.4,1.6118299639843319,516,0.8852971279840338,0.7927664233088725,0.7264276527224918,0.5898870272476784,0.12326737547496612,24.700800575003086
6,0.95,0.75,0.045,20.0,850,8,0.4,1.6118299639843319,509,0.8733181533749221,0.7938066321289609,0.7020142807106857,0.5897769378694234,0.12338976433988674,26.003417432999413
35,0.95,0.85,0.045,20.0,1075,7,0.3,1.2088724729882487,642,0.860936479245422,0.7946296517664817,0.6904940142501713,0.5897411808050784,0.11971192810161135,20.89571553999849
2,0.8,0.65,0.0375,15.0,1075,7,0.35,1.4103512184862903,864,0.8720678307266687,0.7940665696192031,0.7054534401390069,0.5896465565945507,0.12121730604311273,24.735800126996764
50,0.9,0.65,0.045,15.0,850,7,0.35,1.4103512184862903,503,0.8500387780003094,0.7949299316544223,0.6682396225751912,0.5894716843269465,0.12145460078831602,15.728418860999227
40,0.95,0.85,0.0375,15.0,1000,8,0.35,1.4103512184862903,522,0.8630145502432253,0.7945301909519902,0.6899827298849752,0.5894522069483713,0.12130570854272525,27.526165926996327
18,0.8,0.65,0.0375,10.0,1075,8,0.5,2.014787454980415,930,0.919746843850414,0.7926540772342492,0.7825016682853025,0.5894167945190989,0.1276063459480226,45.45180537899432
49,0.95,0.75,0.0575,7.5,1150,7,0.4,1.6118299639843319,543,0.8817469304341797,0.7934930081217693,0.7203108557955455,0.5891456141942071,0.1233887278993749,17.640421235002577
46,0.9,0.75,0.0375,10.0,925,6,0.4,1.6118299639843319,877,0.858354434848182,0.7941803418775754,0.6784809134453578,0.5890803997227458,0.12370962140906788,20.12612574800005
16,0.8,0.65,0.0375,7.5,1150,8,0.45,1.8133087094823734,798,0.9072727716354119,0.793495128794996,0.7620982369164883,0.589062364264757,0.12536263668607892,38.0765683790014
11,0.9,0.85,0.05,7.5,850,7,0.45,1.8133087094823734,496,0.8656953650552367,0.7946404783613759,0.6869439242761697,0.5890153545041581,0.1262467458904084,16.372313769003085
44,0.9,0.65,0.0375,15.0,1000,6,0.3,1.2088724729882487,996,0.8574221692762108,0.7933271987589572,0.6857418234172292,0.5890067463389126,0.11987521561960776,21.230238367999846
17,0.9,0.85,0.0575,20.0,1075,8,0.45,1.8133087094823734,582,0.9053039244279832,0.7924694918523424,0.7584452248459577,0.5886571683609045,0.12552075836877716,30.96373021099862
12,0.8,0.85,0.05,7.5,1150,8,0.45,1.8133087094823734,630,0.9128251261078106,0.7929317738125653,0.7737967069273113,0.5886221376586167,0.12533389273140796,32.003881108001224
9,0.8,0.75,0.05,10.0,850,7,0.35,1.4103512184862903,574,0.8669311381257425,0.7927618347176801,0.697933435017274,0.5882493489981031,0.12152383231990113,17.656867187004536
30,0.95,0.85,0.045,7.5,1075,7,0.3,1.2088724729882487,354,0.8321336460171697,0.793634646770436,0.6429918516121216,0.5881358579618999,0.12001026119683177,12.46768667500146
26,0.95,0.75,0.045,20.0,1000,6,0.5,2.014787454980415,682,0.8543006868837744,0.79354469798147,0.6647457913103886,0.5880924734682165,0.13010202880814903,16.66608289499709
28,0.9,0.85,0.045,20.0,1000,8,0.45,1.8133087094823734,525,0.8778404142764099,0.7937792121961876,0.706481008747641,0.5879841558029797,0.12624392078579083,27.235134652000852
5,0.8,0.85,0.05,15.0,925,6,0.45,1.8133087094823734,626,0.8542683939857397,0.7932385397361642,0.6659943199893831,0.587693644801096,0.12681893193475915,14.875390338995203
7,0.95,0.85,0.0375,20.0,925,6,0.5,2.014787454980415,868,0.858979686418269,0.79372040381934,0.6713155436913586,0.5876037250202083,0.12995735822791696,20.918505094996362
47,0.8,0.65,0.0375,20.0,925,8,0.5,2.014787454980415,654,0.8808580063458451,0.7928272035397733,0.7091178221338561,0.5874227983871909,0.12931428188804592,31.748342010003398
29,0.8,0.75,0.0575,20.0,1000,7,0.5,2.014787454980415,497,0.8686535546156752,0.7926705093513565,0.6867963131055879,0.5874159135858626,0.12980525111277375,15.927284368000983
3,0.9,0.85,0.05,20.0,925,6,0.4,1.6118299639843319,490,0.8384901291978943,0.7937571993600626,0.6447073804135547,0.5873761608651212,0.12418604505138658,12.7163035880003
25,0.9,0.75,0.0375,7.5,850,6,0.45,1.8133087094823734,776,0.8540249696298576,0.7935053849163904,0.6678682004124248,0.5872429109990965,0.12686985448905944,18.27164971300226
43,0.9,0.65,0.0375,20.0,850,6,0.35,1.4103512184862903,656,0.8366058279885072,0.7934475438641726,0.6448635683337872,0.587188616323769,0.12189709138012134,15.289557462994708
36,0.9,0.75,0.045,10.0,1000,7,0.5,2.014787454980415,492,0.8578020358797024,0.7939260099095462,0.6704560068609157,0.587128139852724,0.12984756868323113,16.040657424993697
27,0.8,0.85,0.045,7.5,1150,6,0.4,1.6118299639843319,555,0.8415819668256703,0.7944148808954886,0.6499848517061203,0.587102420759306,0.12407631292136757,13.847094806995301
37,0.9,0.65,0.05,20.0,1000,6,0.5,2.014787454980415,700,0.8611845357680075,0.7929523728665392,0.6740136607824565,0.5869755572071599,0.13010101303976443,16.05065385800117
8,0.95,0.65,0.0575,10.0,1150,7,0.45,1.8133087094823734,366,0.8524370361546219,0.794026003992744,0.6649845241650987,0.5867884871421625,0.12699624046635738,12.237122119004198
38,0.8,0.85,0.0575,15.0,1000,8,0.5,2.014787454980415,315,0.8609079725443239,0.7944407010221435,0.6750540155840405,0.5866446954955292,0.12989528594111333,17.43004212600499
33,0.95,0.65,0.0575,7.5,1150,6,0.45,1.8133087094823734,521,0.8557184192331838,0.7931837246738135,0.6694354974787454,0.5865127355801704,0.1270437121686156,12.79066465300275
23,0.8,0.75,0.045,20.0,1150,6,0.3,1.2088724729882487,639,0.8400496661961059,0.7921818119877837,0.6541860969677793,0.5864224752005044,0.12029494744246431,15.339869335002732
19,0.95,0.75,0.05,7.5,925,8,0.45,1.8133087094823734,412,0.8791276247887764,0.7934782130155736,0.709178538617632,0.5863024033760791,0.12641102503067778,23.000254399994446
39,0.95,0.75,0.0575,7.5,925,7,0.45,1.8133087094823734,329,0.847318121319006,0.7933613651609428,0.6566218801419378,0.58623043907801,0.12706629519940263,11.520842892001383
31,0.9,0.85,0.045,7.5,925,6,0.45,1.8133087094823734,649,0.8555936345591845,0.7931040444078398,0.668385243551894,0.5858715525870443,0.12699744695580498,16.34487189399806
15,0.8,0.85,0.0575,20.0,925,6,0.5,2.014787454980415,455,0.8427842152441165,0.7927002979893129,0.6457991824668867,0.584254783775124,0.13083101199400768,11.469497917001718
