processed_feature_name,feature_importance
num__last_order_close_to_discharge_hours,1071
num__discharge_hour,1028
num__anchor_age,955
num__procedures_per_hospital_day,602
num__care_team_touchpoints_per_hospital_day,601
num__days_since_latest_body_measure,576
num__ed_length_of_stay_hours,526
cat__discharge_location_Unknown / not modelled,510
num__admission_year,507
num__late_care_fragmentation_score,496
num__days_since_previous_hospital_admission,474
num__urea_nitrogen_lab_coefficient_of_variation,466
num__ed_length_of_stay_hours_filled,457
num__provider_changes_last_24h_before_discharge,453
num__care_team_touchpoints_last_6h_before_discharge,428
num__psychotropic_order_density_per_day,420
num__wbc_lab_coefficient_of_variation,417
num__days_since_previous_psych_admission_filled,415
num__first_order_hours_from_admission,411
num__ed_to_admission_hours,397
num__order_activity_last_6h_to_total_ratio,394
num__consult_order_proportion,394
num__admission_hour,390
num__hemoglobin_lab_last_value,380
num__num_opioid_prescriptions,370
num__min_previous_admission_gap_days,366
num__emar_not_given_rate,362
num__wbc_lab_last_value,360
num__days_since_previous_hospital_admission_filled,359
num__lab_tests_per_hospital_day,353
num__order_activity_slope_24_to_72h,353
num__care_team_touchpoints_last_12h_before_discharge,344
num__latest_bmi_before_admission,344
num__mean_previous_los_days,341
num__sodium_lab_rate_of_change_per_day,333
num__late_order_severity_per_late_order_last_12h,326
num__platelet_lab_last_value,326
num__glucose_lab_last_value,323
num__previous_admission_los_days,319
num__ed_to_admission_hours_filled,315
num__creatinine_lab_coefficient_of_variation,309
num__time_between_last_two_admissions_days,309
num__num_orders_first_24h,308
num__previous_admission_order_activity_count,307
num__hemoglobin_lab_coefficient_of_variation,301
num__order_activity_ratio_24_to_72h,300
num__glucose_lab_coefficient_of_variation,300
num__potassium_lab_coefficient_of_variation,299
num__platelet_lab_coefficient_of_variation,299
num__mean_previous_admission_gap_days,297
num__late_nonroutine_order_share_last_12h,294
num__platelet_lab_rate_of_change_per_day,292
num__latest_weight_kg_before_admission,292
num__care_team_touchpoint_density_per_day,292
num__wbc_lab_rate_of_change_per_day,287
num__orders_last_48h_before_discharge,283
num__new_orders_last_24h_per_hospital_day,278
num__weight_change_recent,277
num__previous_psych_to_total_admission_ratio,276
num__creatinine_lab_rate_of_change_per_day,270
num__wbc_lab_std_value,267
num__previous_psych_admissions_from_all_hosp,263
num__sodium_lab_last_to_first_ratio,260
num__glucose_lab_min_value,260
num__no_barcode_med_admin_rate,259
num__max_previous_los_days,258
num__orders_per_hospital_day,258
num__hospital_los_days,256
num__num_orders_first_6h,255
num__first_order_hours_from_admission_filled,254
num__sodium_lab_coefficient_of_variation,252
num__late_order_intensity_score_last_12h,251
num__sodium_lab_last_value,249
num__previous_weight_kg_before_admission,246
num__glucose_lab_first_72h_mean,246
num__previous_psych_admissions_365d,245
num__platelet_lab_std_value,244
num__previous_admission_late_order_share,243
num__num_total_diagnoses,242
num__glucose_lab_first_72h_min,242
num__late_discharge_admin_order_share_last_12h,242
num__previous_bmi_before_admission,241
num__platelet_lab_last_to_first_ratio,239
num__urea_nitrogen_lab_std_value,238
num__glucose_lab_first_72h_max,237
num__urea_nitrogen_lab_rate_of_change_per_day,237
num__order_activity_last_48h_to_total_ratio,237
num__prescriptions_per_hospital_day,236
num__potassium_lab_rate_of_change_per_day,235
num__num_nonpsych_diagnoses,234
num__order_activity_last_12h_to_total_ratio,234
num__late_medication_order_share_last_12h,234
num__hemoglobin_lab_rate_of_change_per_day,233
num__glucose_lab_first_value,232
num__num_unique_careunits,231
num__num_iv_prescription_rows,226
num__sodium_lab_mean_value,226
num__wbc_lab_last_to_first_ratio,224
num__hemoglobin_lab_std_value,224
num__glucose_lab_rate_of_change_per_day,223
num__time_to_first_transfer_hours,222
num__medication_order_count_first_24h,221
num__potassium_lab_last_to_first_ratio,221
num__potassium_lab_std_value,220
num__num_orders_first_12h,219
num__creatinine_lab_mean_value,219
num__creatinine_lab_std_value,218
num__urea_nitrogen_lab_mean_value,217
num__potassium_lab_mean_value,215
num__mean_previous_los_days_filled,215
num__num_orders_first_72h,214
num__medications_per_hospital_day,214
num__num_steroid_prescriptions,209
num__urea_nitrogen_lab_last_to_first_ratio,208
num__sodium_lab_first_72h_mean,207
num__discontinued_pharmacy_orders_per_hospital_day,205
num__unmanaged_psychiatric_discharge_risk_score,202
num__wbc_lab_value_change,201
num__glucose_lab_mean_value,200
num__glucose_lab_std_value,197
num__bmi_change_recent,197
num__potassium_lab_first_72h_mean,196
num__latest_height_cm_before_admission,196
num__late_care_team_touchpoint_share,194
num__platelet_lab_value_range,193
num__ed_visit_to_admission_ratio_365d,192
num__platelet_lab_min_value,192
num__emar_administration_count_first_24h,192
num__followup_order_proportion,191
num__num_lab_events_last_48h_before_discharge,189
num__platelet_lab_max_value,189
num__platelet_lab_value_change,189
num__wbc_lab_max_value,188
num__emar_administered_to_order_ratio,187
num__discharge_month,186
num__order_activity_last_24h_to_total_ratio,185
num__elixhauser_psychoses,184
num__hemoglobin_lab_last_to_first_ratio,182
num__mean_previous_admission_gap_days_filled,182
num__days_since_latest_body_measure_filled,182
num__glucose_lab_first_24h_min,182
num__wbc_lab_first_72h_min,180
num__num_high_frequency_med_orders,179
num__hemoglobin_lab_mean_value,178
num__glucose_lab_last_to_first_ratio,177
num__std_previous_admission_gap_days,177
num__emar_dose_given_record_count,176
num__medical_workup_near_discharge_score,174
num__num_scheduled_pharmacy_orders,174
num__medication_order_count_first_72h,174
num__elixhauser_individual_group_count,173
num__wbc_lab_value_range,172
num__orders_24_to_72h,172
num__platelet_lab_mean_value,171
num__num_total_poe_orders,171
num__hemoglobin_lab_max_value,170
num__num_prn_pharmacy_orders,170
num__sodium_lab_std_value,169
num__wbc_lab_mean_value,169
num__hemoglobin_lab_first_value,168
num__hemoglobin_lab_min_value,168
num__wbc_lab_min_value,167
num__last_order_hours_from_admission,167
num__urea_nitrogen_lab_first_72h_mean,167
num__urea_nitrogen_lab_last_value,166
num__psych_diagnosis_group_count,165
num__creatinine_lab_first_72h_mean,164
num__creatinine_lab_last_to_first_ratio,164
num__previous_total_admissions,164
num__glucose_lab_value_range,163
num__min_previous_admission_gap_days_filled,162
num__previous_admission_los_days_filled,162
cat__race_UNKNOWN,162
num__sodium_lab_min_value,159
num__platelet_lab_first_24h_min,159
num__discharge_medication_continuity_score,158
