config_number,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds
22,0.85,45,0.5,159,500,125,-1,0.02,0.9,0.9658967679985465,0.7945846711711998,0.8549970175232572,0.593024617535002,0.14989842963483377,27.280715633998625
11,0.85,35,1.5,159,500,100,-1,0.025,0.75,0.9773798059210054,0.7924713148872216,0.893420767328426,0.5924679809484552,0.14536777790090089,26.101369596006407
77,0.75,10,0.5,159,360,50,10,0.025,0.6,0.9315297959666005,0.7939731235796528,0.7936223646357004,0.5921229258483496,0.15798874912218738,11.404028258002654
1,0.95,35,1.0,127,500,75,-1,0.025,0.6,0.9655694658780707,0.7923687040668844,0.8569879432812841,0.5919396186709179,0.14957333904219064,21.91623418499512
2,0.75,45,0.5,127,360,75,-1,0.03,0.75,0.9568553682924626,0.7934260022887646,0.8316876448482509,0.5917441562376798,0.15237398605968624,17.18332460000238
66,0.75,35,0.5,95,700,50,-1,0.025,0.75,0.9661694692462425,0.7911962074028833,0.8624265060243682,0.5917076448959342,0.1492960580297445,23.55656391500088
32,0.95,45,1.5,159,300,75,-1,0.03,0.75,0.9582920150929439,0.7941324345052088,0.8333645030118568,0.5916033807970219,0.15227139246523802,16.516459186997963
29,0.75,35,0.5,95,700,50,10,0.025,0.75,0.9472463655847131,0.7927312151726703,0.8221315558695063,0.5915230564843692,0.15398306843395237,17.843362252002407
52,0.85,45,0.25,95,700,50,10,0.02,0.9,0.9307315215343968,0.7948740748578551,0.7837083307566851,0.5914306936939165,0.15764222866257957,19.042326659997343
12,0.85,10,1.5,159,500,50,-1,0.025,0.6,0.9814642926240066,0.7903370495093239,0.9110359558395262,0.5913993125815069,0.14269517055296246,24.388647038998897
41,0.75,35,0.5,63,500,50,-1,0.03,0.9,0.9293614238963002,0.793437684593908,0.7723614745015748,0.5913387666484647,0.15854779083809703,13.492217140999855
3,0.85,35,0.25,127,500,100,-1,0.025,0.6,0.9656144772564259,0.7925414335212783,0.856882081753739,0.5913276425489882,0.14958413026440656,21.096612500004994
71,0.75,35,0.5,127,500,50,8,0.04,0.75,0.9329987218871072,0.7924606247099033,0.79313995610482,0.5911676001866437,0.15727505582784687,10.215495933000057
15,0.75,20,0.5,127,360,100,-1,0.03,0.6,0.9616417012744654,0.7923001108293592,0.8453570868798529,0.5910339532592842,0.15074955390829267,15.36010304899537
26,0.95,10,1.5,127,360,75,8,0.025,0.75,0.8876409864245015,0.7947942953790988,0.710927210547326,0.5908970252533118,0.16562565542741473,7.6801299229991855
53,0.75,60,0.5,95,360,125,-1,0.02,0.9,0.9060429451536899,0.7957763903118173,0.72031545455476,0.5906296328853159,0.16340808207951873,14.448016785005166
55,0.75,10,0.25,63,360,50,10,0.03,0.9,0.9069964729495057,0.794312170862369,0.7350573802308462,0.5905411249153676,0.16255583563612094,8.777803024000605
25,0.75,45,1.0,159,500,100,10,0.02,0.9,0.9109478048378996,0.7955847236175569,0.7450502752484071,0.5905261200997511,0.16177316524515453,14.348067269995227
50,0.85,45,0.25,127,360,100,10,0.03,0.9,0.9142617260630604,0.7957150148042214,0.7500585884171489,0.59042092948414,0.16112654666021803,10.592722337998566
24,0.95,35,1.5,63,360,125,10,0.04,0.75,0.9104602465586602,0.7939843966320683,0.7392466759617562,0.5904039697829844,0.16199867298129442,7.648476980997657
28,0.85,20,1.5,63,500,50,8,0.04,0.75,0.9313363651172115,0.7919324778636749,0.7864114182878041,0.5904032906810676,0.15791340562667994,9.24663938300364
40,0.95,10,0.25,95,300,125,8,0.025,0.9,0.8699609023774326,0.795817179167037,0.6812462511407666,0.5903572622855073,0.16838749433984473,6.7427853510016575
76,0.75,60,1.0,63,700,75,-1,0.03,0.9,0.9469915109923736,0.7911138359901835,0.81250829621292,0.5900900481809952,0.15492942759405942,18.758181600998796
16,0.75,35,1.5,95,850,75,8,0.03,0.9,0.9441191846076588,0.7919157977146112,0.817397278247524,0.5899388702909426,0.15507121588067405,16.033899781999935
69,0.95,35,1.5,63,300,100,-1,0.04,0.9,0.9143510833419253,0.7940915960435977,0.7412285201489005,0.5899341833445532,0.16165274928142773,8.800465104002797
10,0.75,20,1.5,95,500,75,10,0.04,0.6,0.9572710150081251,0.7920287142627341,0.8464390994553024,0.5898736839657621,0.151652879629404,12.024950925006124
74,0.85,60,1.5,63,850,100,10,0.03,0.9,0.9446538443892541,0.7918729005877626,0.812068718336766,0.5898137362421161,0.1549990155827391,17.894980402001238
18,0.75,20,0.25,31,850,50,-1,0.02,0.75,0.8863418579341505,0.794500265896458,0.6966715730413987,0.5897134067055715,0.16617831593636292,12.476541748997988
31,0.95,20,1.0,95,850,50,8,0.04,0.6,0.9714000768914872,0.7886878602284366,0.8909209705776695,0.5896705921486748,0.1473614477377056,15.436812359002943
64,0.75,35,1.5,127,850,125,-1,0.03,0.75,0.9908175809916403,0.7863209160722984,0.9502389860187563,0.589670578464439,0.13711604461885463,35.32293512400065
61,0.95,10,0.5,159,850,50,10,0.025,0.9,0.9787561367304781,0.7897734340933392,0.9162078251712683,0.5896641976903946,0.14439064414677774,24.02981428500061
62,0.75,45,1.0,63,500,100,10,0.05,0.6,0.9457289011154881,0.7905233339101316,0.8149595371676818,0.5896238073892459,0.1550965526083671,10.08268451999902
27,0.75,45,0.25,63,300,100,-1,0.02,0.9,0.8678501368526255,0.7963580376510276,0.6630843073396593,0.5896216279334685,0.16919487006931402,9.54007840200211
51,0.85,45,1.5,127,850,50,6,0.03,0.6,0.8968033818520464,0.7940039663534233,0.7218890620543095,0.5895370637845642,0.1639972041616004,10.318715141998837
67,0.85,60,0.25,63,300,50,-1,0.02,0.75,0.8644333242101325,0.7951530736039418,0.6588094729152163,0.5893642878536957,0.16976672290539108,8.89927946300304
