config_number,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree,scale_pos_weight_multiplier,effective_scale_pos_weight,best_iteration,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
29,0.75,33.75,0.0,223,575,100,-1,0.024,0.9,0.4,1.6118299639843319,385,0.9737649674630452,0.7939616148968787,0.89983879941824,0.5952588658305039,0.12102577243008109,29.763133124004526,0.30457993358773605,False,True,0.13,False
22,0.95,45.0,0.0,191,650,100,10,0.014,0.9,0.3,1.2088724729882487,631,0.8899303349270499,0.7958795964088494,0.7269683770762131,0.5951787329924676,0.1189936525492069,19.70869158199639,0.1317896440837455,False,False,0.13,False
4,0.95,67.5,0.0,191,500,125,-1,0.02,0.9,0.5,2.014787454980415,500,0.9606147463340572,0.7953307760990603,0.8557350573188425,0.594411770381072,0.12559782479393708,29.13997543699952,0.2613232869377705,False,False,0.13,False
8,0.75,90.0,0.5,223,575,125,-1,0.02,1.0,0.3,1.2088724729882487,565,0.9537754665540831,0.7951279851715582,0.8493739723123338,0.5943757274498702,0.11887593606137731,35.85485111700109,0.2549982448624636,False,False,0.13,False
30,0.95,33.75,1.5,159,650,175,-1,0.024,1.0,0.35,1.4103512184862903,472,0.9645223137539313,0.7939629170646494,0.8757464071157648,0.5943631696356553,0.1199754156664321,27.90546275599627,0.2813832374801095,False,False,0.13,False
47,0.75,33.75,1.5,127,425,100,10,0.017,0.8,0.35,1.4103512184862903,414,0.8809199908537717,0.7963912615315794,0.7081840706390441,0.5942964295593186,0.12066767623379673,13.084710213996004,0.11388764107972549,True,False,0.13,False
2,0.85,67.5,0.0,191,425,100,-1,0.017,0.8,0.45,1.8133087094823734,425,0.9344479094315898,0.7955734257619458,0.794514076299576,0.5938765563148426,0.12438397433857502,24.721396089000336,0.20063751998473345,False,False,0.13,False
16,0.95,33.75,0.0,223,500,175,-1,0.014,0.8,0.45,1.8133087094823734,494,0.9477157616921851,0.7950952077485282,0.8220642829680751,0.5937933536816614,0.1241647870511098,28.485377782002615,0.22827092928641368,False,False,0.13,False
3,0.85,45.0,0.0,191,425,125,10,0.017,0.9,0.35,1.4103512184862903,420,0.8767434326040874,0.7959060118121994,0.7001744900948814,0.5935866474213312,0.12078412721342291,12.9581180890018,0.10658784267355026,True,False,0.13,False
38,0.85,33.75,0.0,127,350,100,10,0.017,0.9,0.5,2.014787454980415,348,0.8775985895473997,0.7958813946405331,0.698454362018313,0.5935862735601011,0.12884018765977098,11.535292437998578,0.10486808845821194,True,False,0.13,False
