work_package,model_family,model,threshold_role,threshold,true_positives,false_negatives,true_negatives,false_positives,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,source_file
WP3.2,Reference baseline,Reference baseline,reference,0.5,0,9319,37852,0,0.8024,0.5,0.0,0.0,1.0,0.0,0.5,0.1976,0.1585,0.0113,0.0018,0.0004,0.0,t3_2_logistic_regression_performance.csv
WP3.2,Logistic regression,Logistic regression,default,0.5,5987,3332,28949,8903,0.7406,0.7036,0.4021,0.6425,0.7648,0.4946,0.7799,0.5527,0.1803,93.7827,0.1579,0.0398,0.0008,t3_2_logistic_regression_performance.csv
WP3.2,Logistic regression,Logistic regression,selected,0.57,5171,4148,31919,5933,0.7863,0.6991,0.4657,0.5549,0.8433,0.5064,0.7799,0.5527,0.1803,93.7827,0.1579,0.0398,0.0008,t3_2_logistic_regression_performance.csv
WP3.2,Logistic regression,Logistic regression,default,0.5,5987,3332,28949,8903,0.7406,0.7036,0.4021,0.6425,0.7648,0.4946,0.7799,0.5527,0.1803,93.7827,0.1579,0.0398,0.0008,t3_2_logistic_regression_performance.csv
WP3.2,Logistic regression,Logistic regression balanced precision-recall threshold,selected,0.61,4736,4583,33323,4529,0.8068,0.6943,0.5112,0.5082,0.8803,0.5097,0.7799,0.5527,0.1803,93.7827,0.1579,0.0398,0.0008,t3_2_logistic_regression_performance.csv
WP3.2,Tuned logistic regression,Tuned logistic regression,default,0.5,5950,3369,29030,8822,0.7416,0.7027,0.4028,0.6385,0.7669,0.494,0.7799,0.5528,0.1802,211.2344,0.1574,0.0399,0.0008,t3_2_tuned_logistic_regression_performance.csv
WP3.2,Tuned logistic regression,Tuned logistic regression,selected,0.57,5148,4171,32013,5839,0.7878,0.6991,0.4686,0.5524,0.8457,0.507,0.7799,0.5528,0.1802,211.2344,0.1574,0.0399,0.0008,t3_2_tuned_logistic_regression_performance.csv
WP3.2,Tuned logistic regression,Tuned logistic regression,selected,0.49,6081,3238,28568,9284,0.7345,0.7036,0.3958,0.6525,0.7547,0.4927,0.7799,0.5528,0.1802,211.2344,0.1574,0.0399,0.0008,t3_2_tuned_logistic_regression_performance.csv
WP3.2,Tuned logistic regression,Tuned logistic regression balanced precision-recall threshold,selected,0.61,4665,4654,33374,4478,0.8064,0.6911,0.5102,0.5006,0.8817,0.5054,0.7799,0.5528,0.1802,211.2344,0.1574,0.0399,0.0008,t3_2_tuned_logistic_regression_performance.csv
WP3.3,Random Forest,Random Forest,default,0.5,4135,5184,34871,2981,0.8269,0.6825,0.5811,0.4437,0.9212,0.5032,0.7893,0.5807,0.1356,1204.5137,6.776,1.348,0.0286,t3_3_random_forest_performance.csv
