work_package,model_family,model,threshold_role,threshold,true_positives,false_negatives,true_negatives,false_positives,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,source_file
WP3.4,Targeted LightGBM,Targeted LightGBM official balanced precision-recall threshold,official,0.39,4671,4648,34059,3793,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,52.8694,0.5462,0.1231,0.0026,t3_4_lightgbm_targeted_performance.csv
WP3.4,Targeted XGBoost,Targeted XGBoost official balanced precision-recall threshold,official,0.31,4923,4396,33512,4340,0.8148,0.7068,0.5315,0.5283,0.8853,0.5299,0.7988,0.5933,0.1185,253.0198,0.299,0.0709,0.0015,t3_4_xgboost_targeted_performance.csv
WP3.4,LightGBM,LightGBM official balanced precision-recall threshold,official,0.6,4710,4609,33991,3861,0.8204,0.7017,0.5495,0.5054,0.898,0.5266,0.7997,0.592,0.1595,54.9898,0.5869,0.1461,0.0031,t3_4_lightgbm_performance.csv
WP3.4,XGBoost,XGBoost official balanced precision-recall threshold,official,0.59,4848,4471,33672,4180,0.8166,0.7049,0.537,0.5202,0.8896,0.5285,0.7982,0.5912,0.166,287.9421,0.3218,0.0819,0.0017,t3_4_xgboost_performance.csv
WP3.4,Targeted CatBoost,Targeted CatBoost official balanced precision-recall threshold,official,0.35,4809,4510,33776,4076,0.818,0.7042,0.5412,0.516,0.8923,0.5283,0.7979,0.5912,0.1202,49.5074,0.9577,0.2183,0.0046,t3_4_catboost_targeted_performance.csv
WP3.4,CatBoost,CatBoost official balanced precision-recall threshold,official,0.6,4753,4566,33837,4015,0.8181,0.702,0.5421,0.51,0.8939,0.5256,0.7977,0.5868,0.1654,55.762,0.9623,0.2574,0.0055,t3_4_catboost_performance.csv
WP3.4,Calibrated Targeted XGBoost,Calibrated Targeted XGBoost official balanced precision-recall threshold,official,0.25,4761,4558,33741,4111,0.8162,0.7011,0.5366,0.5109,0.8914,0.5234,0.7932,0.5844,0.1204,14.9382,0.2857,0.0716,0.0015,t3_4_calibrated_targeted_xgboost_performance.csv
WP3.4,Calibrated Targeted LightGBM,Calibrated Targeted LightGBM validation Youden threshold,recall sensitivity,0.25,5224,4095,32445,5407,0.7986,0.7089,0.4914,0.5606,0.8572,0.5237,0.7905,0.5825,0.1198,26.0327,0.6588,0.1248,0.0026,t3_4_calibrated_targeted_lightgbm_performance.csv
WP3.3,Random Forest,Random Forest,selected,0.42,5074,4245,32649,5203,0.7997,0.7035,0.4937,0.5445,0.8625,0.5179,0.7893,0.5807,0.1356,1204.5137,6.776,1.348,0.0286,t3_3_random_forest_performance.csv
WP3.3,Regularised Random Forest,Regularised Random Forest default threshold,default,0.5,4951,4368,33040,4812,0.8054,0.7021,0.5071,0.5313,0.8729,0.5189,0.7893,0.58,0.1521,883.9365,5.8423,1.2188,0.0258,t3_3_regularised_random_forest_performance.csv
WP3.4,Calibrated Targeted CatBoost,Calibrated Targeted CatBoost official balanced precision-recall threshold,official,0.25,4752,4567,33624,4228,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,28.5832,0.8627,0.2353,0.005,t3_4_calibrated_targeted_catboost_performance.csv
WP3.2,Tuned logistic regression,Tuned logistic regression,selected,0.57,5148,4171,32013,5839,0.7878,0.6991,0.4686,0.5524,0.8457,0.507,0.7799,0.5528,0.1802,211.2344,0.1574,0.0399,0.0008,t3_2_tuned_logistic_regression_performance.csv
WP3.2,Logistic regression,Logistic regression balanced precision-recall threshold,selected,0.61,4736,4583,33323,4529,0.8068,0.6943,0.5112,0.5082,0.8803,0.5097,0.7799,0.5527,0.1803,93.7827,0.1579,0.0398,0.0008,t3_2_logistic_regression_performance.csv
WP3.2,Reference baseline,Reference baseline,reference,0.5,0,9319,37852,0,0.8024,0.5,0.0,0.0,1.0,0.0,0.5,0.1976,0.1585,0.0113,0.0018,0.0004,0.0,t3_2_logistic_regression_performance.csv
