processed_feature_name,feature_importance
num__late_orders_without_prior_psych_history_flag,0.11006936
num__new_orders_last_12h_before_discharge_flag,0.09699579
num__low_late_order_activity_flag,0.07992319
num__last_order_within_12h_of_discharge_flag,0.042281386
num__previous_psych_admissions_180d,0.029151354
num__mostly_psych_readmission_pattern_flag,0.023956789
num__orders_last_12h_before_discharge,0.023062399
num__recent_psych_admission_365d,0.015401985
num__previous_psych_admissions_365d,0.014977086
num__late_nonroutine_order_count_last_12h,0.011753274
num__low_order_activity_with_self_harm_flag,0.011732148
num__no_recent_psych_history_and_high_charlson,0.010837911
num__no_late_orders_but_psychosis_flag,0.010697069
num__frequent_psych_admitter_flag,0.009592154
num__no_late_orders_but_self_harm_flag,0.009124337
num__low_order_activity_with_smi_flag,0.0071012713
num__unmanaged_psychiatric_discharge_risk_score,0.007059871
num__low_order_activity_with_psychosis_flag,0.006587931
num__late_order_intensity_score_last_12h,0.0064625316
num__self_harm_no_psych_followup_flag,0.0058897682
num__previous_psych_admissions_90d,0.0049721333
cat__last_service_OMED,0.004328592
cat__discharge_location_Unknown / not modelled,0.0041675055
num__charlson_comorbidity_index_simplified,0.0040545934
num__late_order_severity_per_late_order_last_12h,0.0038438425
num__has_self_harm_or_suicidal_ideation,0.0037573744
cat__discharge_location_Unknown,0.0035650893
num__has_depression,0.0034452935
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.0031513493
cat__discharge_location_PSYCH FACILITY,0.0031245658
cat__discharge_location_grouped_Unknown / not modelled,0.002959753
num__previous_3plus_psych_admissions,0.0028829125
num__has_cancer,0.0026955078
num__admissions_per_90d,0.0026950317
cat__marital_status_Unknown,0.002689045
num__days_since_previous_psych_admission_filled,0.0026543129
num__self_harm_without_followup_order_flag,0.0026331882
num__num_abnormal_lab_flags,0.0026008445
cat__race_UNKNOWN,0.0025650053
num__elixhauser_psychoses,0.0023525965
cat__first_service_OMED,0.002263142
num__previous_total_admissions_90d,0.0022525534
num__previous_psych_admissions_60d,0.0022204192
num__previous_psych_admissions,0.0022096324
num__has_previous_hospital_admission,0.0021925608
num__psychiatric_aftercare_planning_score,0.0021387504
num__has_other_psych_diagnosis,0.0020626185
num__quiet_smi_psychosis_low_activity_score,0.0019268938
num__late_psych_safety_without_psych_facility_discharge_flag,0.0018942743
num__late_orders_but_discharge_planning_present_flag,0.0018855562
num__elixhauser_depression,0.0018577831
num__safety_order_near_discharge_flag,0.001783661
num__hemoglobin_lab_abnormal,0.0017352945
num__has_multiple_psych_diagnosis_groups,0.001734657
num__medicine_service_involved_anytime,0.0017319024
num__psych_diagnosis_without_psych_discharge_flag,0.0016778636
num__late_psych_safety_activity_score_near_discharge,0.0016765689
cat__time_since_previous_psych_category_0-30 days,0.001670017
num__ed_only_crisis_pattern_score,0.0016098266
num__discharged_to_psych_facility_flag,0.0016055233
num__current_psych_group_not_seen_previous_flag,0.001602575
num__psych_diagnosis_group_count,0.0015778247
num__new_substance_use_this_admission_flag,0.0015500309
num__days_since_previous_hospital_admission_filled,0.001524656
num__safety_orders_first_24h,0.001506491
num__orders_after_72h_per_hospital_day,0.0015045234
cat__psych_diagnosis_burden_category_1 diagnosis,0.0014752877
num__new_smi_this_admission_flag,0.0014625043
num__num_unique_careunits,0.0014596933
cat__first_service_MED,0.0014510764
num__min_previous_admission_gap_days_filled,0.0014376666
num__low_psych_marker_medical_instability_flag,0.0014167357
num__discharge_hour,0.0014145257
num__previous_psych_admissions_from_all_hosp,0.0014084564
cat__first_service_OBS,0.0013964347
cat__last_service_PSYCH,0.0013820552
num__substance_use_without_followup_or_withdrawal_plan_flag,0.0013709477
num__discharged_against_advice,0.0013448831
num__care_team_touchpoints_last_12h_before_discharge,0.0013438291
num__abnormal_lab_burden_score,0.0013370668
num__safety_orders_last_24h_before_discharge,0.0013249322
num__elixhauser_lymphoma,0.0013167567
num__medical_to_psych_service_transfer,0.0013117241
cat__first_service_NMED,0.0013024448
num__previous_ed_visits_365d,0.0012992518
num__safety_order_proportion,0.001248169
num__elixhauser_solid_tumour,0.0012229381
num__discharged_to_psych_facility_or_transfer_flag,0.0012170309
num__discharge_medication_continuity_score,0.0011980208
num__sodium_lab_min_value,0.0011796904
cat__discharge_location_AGAINST ADVICE,0.0011655311
num__previous_total_admissions_60d,0.0011619669
num__had_steroid_exposure,0.0011254665
num__num_scheduled_pharmacy_orders,0.001113288
cat__last_service_MED,0.001108377
num__night_discharge,0.0010899463
num__days_since_previous_hospital_admission,0.0010880962
num__self_harm_without_safety_order_flag,0.0010757501
cat__first_service_VSURG,0.0010739018
num__hemoglobin_lab_min_value,0.0010663088
num__public_insurance_flag,0.0010549204
num__had_iv_prescription,0.0010437978
num__high_drg_severity,0.0010283703
num__num_psychotropic_pharmacy_orders,0.001021906
num__late_discontinued_safety_orders,0.0010213251
num__orders_after_72h_count,0.0009996591
num__num_steroid_prescriptions,0.0009940577
num__medical_workup_near_discharge_score,0.0009758281
num__orders_after_72h_to_total_ratio,0.0009619681
num__new_antidepressant_started_flag,0.00095447927
num__last_order_close_to_discharge_hours_filled,0.00095425546
cat__last_service_NMED,0.00094261544
num__antipsychotic_plus_benzodiazepine,0.00093675987
num__safety_order_density_per_day,0.0009354916
cat__last_service_VSURG,0.0009307885
num__previous_total_admissions_180d,0.0009223381
num__elixhauser_liver_disease,0.0009214814
num__had_benzodiazepine_order,0.00091815717
num__hemoglobin_lab_mean_value,0.0009151335
num__min_previous_admission_gap_days,0.00091323664
num__previous_total_admissions_365d,0.0009089339
num__sodium_lab_abnormal,0.0009041998
num__last_order_close_to_discharge_hours,0.0008804665
cat__first_service_ORTHO,0.00087505835
cat__race_UNABLE TO OBTAIN,0.00087003905
num__has_previous_nonpsych_admission,0.00086680683
num__has_liver_disease,0.00084745465
num__elixhauser_alcohol_abuse,0.0008462308
num__has_alcohol_related_disorder,0.00083266513
num__hemoglobin_lab_last_value,0.0008293034
num__admissions_per_365d,0.0008265104
num__discharged_to_acute_hospital_flag,0.00082595064
num__num_verified_pharmacy_orders,0.0008201553
num__age_65plus,0.00081716955
num__depression_without_antidepressant_continuity_flag,0.0008070654
cat__last_service_TRAUM,0.0007979346
cat__discharge_location_grouped_Other,0.00079352467
num__previous_2plus_psych_admissions,0.0007888983
num__has_severe_mental_illness,0.0007858565
num__chart_acuity_event_density_per_day,0.00078410184
num__home_discharge_low_aftercare_quality_flag,0.0007827895
num__protective_aftercare_present_flag,0.0007817819
num__smi_without_followup_order_flag,0.0007659603
num__num_pharmacy_records,0.0007653921
num__night_discharge_flag,0.00076019356
cat__admission_location_EMERGENCY ROOM,0.00075980264
num__num_prescription_rows,0.0007595679
num__rass_extreme_flag,0.0007543186
num__num_iv_prescription_rows,0.000744754
num__mean_previous_admission_gap_days_filled,0.0007445259
cat__discharge_location_grouped_Home health care,0.0007400952
num__older_medical_complexity_score,0.0007388125
num__num_opioid_prescriptions,0.0007356393
num__care_team_touchpoints_per_hospital_day,0.0007261393
num__ed_admission_with_self_harm_flag,0.0007259855
num__num_outputevents_last_24h_before_discharge,0.00071373396
num__num_abnormal_lab_flags_last_48h,0.00070795504
num__had_basal_rate_order,0.000705337
num__recent_psych_admission_90d,0.000699575
num__ed_visit_to_admission_ratio_365d,0.0006940972
num__orders_last_6h_before_discharge,0.00069368375
cat__admission_type_SURGICAL SAME DAY ADMISSION,0.00069244165
num__has_cognitive_delirium,0.0006912948
num__pharmacy_logistics_complexity_score,0.0006871759
num__new_benzodiazepine_started_flag,0.0006867137
num__num_abnormal_labs,0.00068255997
num__late_nonroutine_order_share_last_12h,0.0006757626
num__last_order_hours_from_admission_filled,0.000670628
num__late_psych_safety_order_share_last_12h,0.00066785276
num__num_prn_benzodiazepine_orders,0.00066782197
num__safety_orders_first_72h,0.0006630156
num__care_team_touchpoints_last_6h_before_discharge,0.0006573495
num__last_safety_order_hours_from_admission,0.00065730745
num__hypotension_last_24h_before_discharge_flag,0.0006572034
cat__first_service_SURG,0.00065696496
num__previous_psych_to_total_admission_ratio,0.00065261853
num__hcpcs_observation_to_total_ratio,0.00065254496
num__discharged_home_with_services_flag,0.0006496386
num__late_orders_and_psych_facility_discharge_flag,0.000640361
cat__first_service_NSURG,0.0006385073
num__emar_administration_record_count,0.00063639204
num__polypharmacy_10plus_x_age_65plus,0.0006313305
num__older_age_and_no_recent_psych_history,0.0006311042
num__elixhauser_metastatic_cancer,0.0006310355
num__orders_first_72h_to_total_ratio,0.0006241571
num__num_psych_diagnoses,0.0006228939
num__had_therapy_or_counselling_followup_order,0.00061595184
num__elixhauser_individual_group_count,0.00061428425
cat__discharge_location_HOME HEALTH CARE,0.0006119716
num__time_to_first_transfer_hours_filled,0.0006100658
num__substance_use_x_benzodiazepine,0.00060287054
num__had_discharge_planning_order,0.00060285424
num__psych_service_involved_anytime,0.0006008457
num__lab_activity_near_discharge_flag,0.00059689826
num__num_started_emar_events,0.00059242244
num__num_discontinued_orders,0.00058824825
cat__time_since_previous_psych_category_181-365 days,0.00058757357
num__admitted_from_ed_flag,0.00058288523
num__new_antipsychotic_started_flag,0.00058143534
num__recent_icu_admission_7d_flag,0.0005805175
num__icu_event_density_per_day,0.0005798858
num__icu_event_interruption_score,0.00057891454
num__home_discharge_with_discharge_planning_order_flag,0.0005749991
num__num_total_poe_orders,0.00057395414
num__emergency_room_admission_flag,0.0005722471
