config_number,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
17,0.9,10,0.5,300,1,8,0.025,0.1,0.6,0.9059018473167615,0.7952076840399286,0.7516222537677033,0.5936064225977293,0.1622333526611328,17.869470761004777,0.15801583116997397,False,True,0.13,False
65,0.9,50,0.0,500,10,8,0.03,0.0,0.6,0.9231259453927425,0.7936397748311333,0.7729660063126678,0.5919477260500482,0.1594175100326538,23.421556745001,0.18101828026261957,False,False,0.13,False
39,0.9,35,0.5,700,10,8,0.03,0.05,0.6,0.9541912792947568,0.7931931870929476,0.8423013964395795,0.5914474591673159,0.15231269598007202,31.814942122000502,0.25085393727226357,False,False,0.13,False
34,0.75,20,0.5,360,5,7,0.03,0.05,0.75,0.8926639594706411,0.796286226198869,0.7181056511078264,0.5913625067430925,0.1641317754983902,15.88987506700505,0.12674314436473388,True,False,0.13,False
67,0.9,10,1.5,300,15,8,0.04,0.1,0.8,0.9240000842993717,0.7935459009364584,0.7789079617057784,0.5913239950982625,0.15938696265220642,14.823505009000655,0.18758396660751586,False,False,0.13,False
25,0.75,20,1.0,900,5,7,0.025,0.05,0.8,0.952904808661486,0.7918087223190601,0.8386017358598229,0.591249316273105,0.15270262956619263,38.0117514750018,0.24735241958671794,False,False,0.13,False
40,0.85,35,1.0,300,1,8,0.04,0.1,0.8,0.9260254406338588,0.7943793937233355,0.7802788657180076,0.5911188599627112,0.15897084772586823,19.616077484002744,0.18916000575529646,False,False,0.13,False
53,0.9,20,0.0,300,15,7,0.04,0.1,0.8,0.8896702233352882,0.7951524039176598,0.7132992697410798,0.5910219770878176,0.1652069091796875,12.198414753998804,0.12227729265326226,True,False,0.13,False
66,0.9,5,0.5,700,10,7,0.03,0.05,0.6,0.9449764902315108,0.7911762842359904,0.8242131145810607,0.5909420018027036,0.15506039559841156,24.57023073000164,0.2332711127783571,False,False,0.13,False
70,0.75,35,0.5,360,1,8,0.03,0.05,0.8,0.9204526389068612,0.7951255234543916,0.7683235390388383,0.5908361173428035,0.15965373814105988,23.62892149399704,0.17748742169603482,False,False,0.13,False
38,0.9,10,1.5,900,1,7,0.025,0.0,0.6,0.9581787102562351,0.7909765006959592,0.85918258135478,0.5908129763553972,0.15140947699546814,37.08284255400213,0.2683696049993828,False,False,0.13,False
30,0.9,20,0.5,300,15,7,0.03,0.05,0.75,0.8718636089404503,0.7954344472560109,0.6846743576947062,0.590751606855706,0.16781742870807648,12.526521790001425,0.09392275083900015,True,False,0.13,False
54,0.75,5,1.0,300,15,7,0.04,0.0,0.75,0.8987762901276958,0.7951966032122793,0.7279789703868088,0.5906881311065154,0.16354377567768097,12.151691801002016,0.1372908392802934,False,False,0.13,False
60,0.9,20,0.5,360,10,7,0.05,0.0,0.8,0.9259480812454317,0.79224682116354,0.7791282124337592,0.5905582451025253,0.15886208415031433,14.637202969002828,0.18856996733123388,False,False,0.13,False
6,0.85,20,1.5,700,15,8,0.03,0.05,0.75,0.958319260417297,0.7918478555609714,0.8529904033320426,0.5904986575251854,0.15152879059314728,31.499678091000533,0.2624917458068572,False,False,0.13,False
16,0.9,10,1.5,900,1,8,0.03,0.05,0.6,0.9878370476336327,0.788445427593513,0.9483952272747637,0.5904740326853807,0.13950742781162262,48.98145033699984,0.357921194589383,False,False,0.13,False
33,0.85,35,0.5,300,15,8,0.025,0.1,0.6,0.8754047825831589,0.7956766380597768,0.6905351065045746,0.5904390739420402,0.16714563965797424,14.905885465996107,0.10009603256253441,True,False,0.13,False
68,0.75,5,0.0,360,5,8,0.05,0.1,0.8,0.9688879951584186,0.7907490367896003,0.888008955605355,0.5903133633720785,0.14836309850215912,18.78329298000608,0.29769559223327646,False,False,0.13,False
75,0.85,5,0.5,360,5,6,0.04,0.0,0.8,0.8918055467837476,0.7940031230447718,0.7169727721747775,0.5902730918819462,0.1649312973022461,12.53811567199591,0.1266996802928313,True,False,0.13,False
1,0.9,5,1.0,700,5,6,0.04,0.0,0.6,0.9397758284004283,0.7913145310476544,0.8121229210516573,0.590211822482771,0.15629683434963226,20.586668365998776,0.22191109856888624,False,False,0.13,False
26,0.75,35,1.0,900,15,7,0.025,0.0,0.8,0.937317934888763,0.791647464342647,0.7989461599460657,0.5901272252085625,0.15673422813415527,35.056098977001966,0.20881893473750313,False,False,0.13,False
51,0.85,35,1.5,300,15,7,0.025,0.1,0.75,0.8561032665870123,0.7958153127265656,0.6599031692362302,0.5901218808852327,0.16999582946300507,13.277505289996043,0.0697812883509975,True,False,0.13,False
3,0.9,10,1.5,800,10,6,0.03,0.0,0.6,0.919693088947401,0.7925228001205584,0.7651124563937444,0.5900092981007402,0.1602049022912979,22.875350447997334,0.17510315829300416,False,False,0.13,False
50,0.85,35,1.5,900,15,8,0.03,0.1,0.8,0.9687849018932514,0.7902629313599713,0.8797317150829924,0.5899317075420846,0.14847853779792786,42.059260725996864,0.28980000754090784,False,False,0.13,False
