processed_feature_name,feature_importance
num__low_late_order_activity_flag,0.18573427
num__new_orders_last_12h_before_discharge_flag,0.10124399
num__last_order_within_12h_of_discharge_flag,0.07808223
num__late_orders_without_prior_psych_history_flag,0.064193994
num__mostly_psych_readmission_pattern_flag,0.031341556
num__previous_psych_admissions_180d,0.02801032
num__orders_last_12h_before_discharge,0.021996194
num__previous_psych_admissions_365d,0.01623879
num__recent_psych_admission_365d,0.015625764
num__low_order_activity_with_self_harm_flag,0.014632904
num__has_self_harm_or_suicidal_ideation,0.014299818
num__low_order_activity_with_smi_flag,0.014002592
num__no_late_orders_but_self_harm_flag,0.009433185
num__unmanaged_psychiatric_discharge_risk_score,0.007429142
num__frequent_psych_admitter_flag,0.0074265967
num__smi_without_followup_order_flag,0.006912548
num__no_recent_psych_history_and_high_charlson,0.006629479
num__has_psychotic_disorder,0.0062240767
cat__last_service_OMED,0.004720233
num__low_order_activity_with_psychosis_flag,0.0046635983
num__previous_psych_admissions_90d,0.0046402276
num__late_order_severity_per_late_order_last_12h,0.0038404467
num__self_harm_no_psych_followup_flag,0.003557403
cat__discharge_location_PSYCH FACILITY,0.0031454687
num__no_late_orders_but_recent_psych_admission_flag,0.003018829
num__no_late_orders_but_psychosis_flag,0.003014716
cat__discharge_location_Unknown / not modelled,0.0030137734
num__elixhauser_psychoses,0.0029388552
num__late_order_intensity_score_last_12h,0.0029373395
num__late_nonroutine_order_count_last_12h,0.0029351024
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.002423331
num__has_depression,0.0023237756
num__previous_psych_admissions_60d,0.0022847345
num__previous_total_admissions_365d,0.002131279
num__has_cancer,0.0020800543
num__psych_diagnosis_without_psych_discharge_flag,0.0020731403
num__num_safety_observation_orders,0.0020694793
num__discharged_to_psych_facility_flag,0.0020627205
num__safety_orders_first_24h,0.0019898394
num__charlson_comorbidity_index_simplified,0.0019302687
cat__first_service_OMED,0.0018645753
num__admissions_per_90d,0.0017494847
cat__race_UNKNOWN,0.0017456796
num__late_psych_safety_activity_score_near_discharge,0.0016647545
num__late_psych_safety_without_psych_facility_discharge_flag,0.0016619901
num__previous_3plus_psych_admissions,0.001631295
num__previous_psych_admissions,0.0015841739
num__previous_total_admissions_90d,0.0015455927
num__medicine_service_involved_anytime,0.0015426346
cat__discharge_location_grouped_Unknown / not modelled,0.001535168
num__smi_without_psychotropic_continuity_flag,0.001492795
num__safety_order_near_discharge_flag,0.0014908315
cat__marital_status_Unknown,0.0014856386
num__discharged_to_psych_facility_or_transfer_flag,0.0014468769
num__has_other_psych_diagnosis,0.0014356952
num__safety_order_proportion,0.0014068271
num__self_harm_without_followup_order_flag,0.0013063438
num__quiet_smi_psychosis_low_activity_score,0.0012757991
cat__last_service_PSYCH,0.001274275
num__new_smi_this_admission_flag,0.0012718345
num__has_multiple_psych_diagnosis_groups,0.0012709867
num__safety_order_density_per_day,0.0012696107
cat__discharge_location_Unknown,0.0012538495
num__psych_diagnosis_group_count,0.0012527738
num__psychiatric_aftercare_planning_score,0.001234977
num__days_since_previous_psych_admission_filled,0.0012162057
num__min_previous_admission_gap_days,0.0012093587
num__ed_only_crisis_pattern_score,0.0012038088
num__new_substance_use_this_admission_flag,0.0011984223
num__medical_to_psych_service_transfer,0.0011730255
num__elixhauser_depression,0.0011673352
num__late_order_severity_score_last_12h,0.0011502458
num__late_discontinued_safety_orders,0.0011476509
num__previous_2plus_psych_admissions,0.0011437443
num__elixhauser_lymphoma,0.0011360302
num__num_abnormal_lab_flags,0.0010989305
num__hemoglobin_lab_abnormal,0.0010805599
num__orders_after_72h_per_hospital_day,0.0010787804
num__has_previous_psych_admission,0.0010693897
num__admissions_per_365d,0.0010563398
num__previous_total_admissions_60d,0.0010561657
num__previous_ed_visits_365d,0.0010496761
num__safety_orders_last_24h_before_discharge,0.0010362929
num__days_since_previous_hospital_admission_filled,0.0010213965
num__discharge_hour,0.0010171327
num__num_unique_careunits,0.0009692489
cat__first_service_MED,0.00096179853
num__recent_psych_admission_30d,0.0009296407
cat__first_service_NMED,0.0009098156
num__new_safety_order_last_24h_before_discharge_flag,0.0009058559
num__num_observation_safety_orders,0.0008905147
num__substance_use_without_followup_or_withdrawal_plan_flag,0.0008889043
num__previous_psych_admissions_from_all_hosp,0.0008836432
num__age_65plus,0.00088337355
num__elixhauser_liver_disease,0.000877939
num__home_discharge_low_aftercare_quality_flag,0.0008690482
num__low_psych_marker_medical_instability_flag,0.0008218943
num__discharged_against_advice,0.0008168302
num__abnormal_lab_burden_score,0.00080971286
num__had_iv_prescription,0.00080787763
cat__first_service_OBS,0.0007977863
num__min_previous_admission_gap_days_filled,0.0007974879
num__late_orders_but_discharge_planning_present_flag,0.0007932273
num__elixhauser_solid_tumour,0.0007919239
num__discharged_to_acute_hospital_flag,0.0007900716
num__polypharmacy_10plus_x_age_65plus,0.00078910793
num__psych_service_involved_anytime,0.00078873686
num__older_age_x_no_recent_psych_history,0.0007498453
num__has_previous_hospital_admission,0.0007495267
num__last_order_close_to_discharge_hours_filled,0.00074820255
num__had_steroid_exposure,0.00074216706
num__quiet_prior_psych_low_activity_score,0.00073284004
num__home_discharge_without_discharge_planning_order_flag,0.000725644
num__num_steroid_prescriptions,0.00071486266
num__prior_psych_90d_x_substance_use,0.0007041793
num__previous_total_admissions_180d,0.0007012935
num__sodium_lab_abnormal,0.0006965879
num__care_team_touchpoints_last_12h_before_discharge,0.0006955618
num__has_alcohol_related_disorder,0.000693871
num__safety_orders_first_72h,0.00069195323
num__num_psychotropic_pharmacy_orders,0.0006852926
num__sodium_lab_min_value,0.0006821102
cat__psych_medication_burden_category_3+ classes,0.00067736243
cat__psych_diagnosis_burden_category_1 diagnosis,0.00067321555
num__hemoglobin_lab_min_value,0.00067141757
num__night_discharge,0.00067086774
cat__admission_location_EMERGENCY ROOM,0.0006598985
num__num_scheduled_pharmacy_orders,0.00064727076
cat__last_service_NMED,0.0006465078
num__new_antidepressant_started_flag,0.000646043
num__medical_workup_near_discharge_score,0.0006452938
num__days_since_previous_hospital_admission,0.0006447934
num__self_harm_without_safety_order_flag,0.00064367015
num__num_verified_pharmacy_orders,0.0006374448
num__discharge_medication_continuity_score,0.0006352384
num__ed_admission_with_self_harm_flag,0.0006213237
num__new_benzodiazepine_started_flag,0.00061789114
cat__first_service_VSURG,0.00061534066
cat__discharge_location_grouped_Facility / rehab / long-term care,0.0006108772
cat__discharge_location_grouped_Other,0.0006067933
cat__discharge_location_ACUTE HOSPITAL,0.00060635625
cat__first_service_ORTHO,0.0006022568
num__num_hospital_observation_hcpcs_events,0.0005978366
cat__discharge_location_AGAINST ADVICE,0.00059209974
num__last_order_close_to_discharge_hours,0.00059104327
num__previous_total_admissions_30d,0.0005884996
num__mean_previous_admission_gap_days_filled,0.00058337895
num__smi_x_antipsychotic_polypharmacy,0.0005779716
num__num_procedures,0.00057685707
num__has_any_psych_medication,0.00057554926
num__orders_after_72h_count,0.0005684396
num__self_harm_without_aftercare_or_safety_plan_flag,0.00056829513
num__hemoglobin_lab_mean_value,0.0005620638
num__elixhauser_alcohol_abuse,0.0005602622
num__has_cognitive_delirium,0.00055623404
num__num_opioid_prescriptions,0.00055582187
num__num_abnormal_labs,0.0005510438
num__num_outputevents_last_24h_before_discharge,0.0005463814
num__had_antidepressant,0.0005458424
num__discharged_home_with_services_flag,0.00054550177
cat__discharge_location_grouped_Psych facility,0.00054050767
num__late_orders_and_self_harm_flag,0.0005393171
num__emar_administration_record_count,0.00053918624
cat__last_service_MED,0.0005354965
num__ed_visit_to_admission_ratio_365d,0.0005333386
num__previous_ed_visits_180d,0.0005331768
num__sodium_lab_count,0.000532438
num__antipsychotic_plus_benzodiazepine,0.00053154095
num__last_order_hours_from_admission_filled,0.0005299249
num__discharged_home_flag,0.0005271365
num__has_liver_disease,0.00052676414
num__current_psych_group_not_seen_previous_flag,0.00052388234
num__hemoglobin_lab_last_value,0.0005212466
cat__race_UNABLE TO OBTAIN,0.0005145328
num__late_orders_but_facility_discharge_flag,0.00051410554
num__num_recurrent_psych_diagnosis_groups,0.00051373837
num__care_team_touchpoints_per_hospital_day,0.00050679885
num__late_safety_to_total_late_order_ratio,0.00050667353
num__procedures_per_hospital_day,0.0005064083
num__num_started_emar_events,0.00050370785
num__previous_ed_visits_60d,0.00050287356
num__had_followup_or_discharge_planning_order,0.0005023841
num__num_psych_med_classes,0.00050208357
num__public_insurance_flag,0.0004997596
num__abnormal_labs_last_24h_before_discharge,0.0004987524
cat__last_service_VSURG,0.0004987431
num__night_discharge_flag,0.0004984646
cat__discharge_location_CHRONIC/LONG TERM ACUTE CARE,0.0004981952
num__num_psych_diagnoses,0.0004949595
cat__discharge_location_HOME HEALTH CARE,0.0004937333
num__emergency_room_admission_flag,0.0004918327
num__elixhauser_individual_group_count,0.00048729606
num__had_benzodiazepine_order,0.00048487945
num__num_prn_benzodiazepine_orders,0.000483
num__has_previous_nonpsych_admission,0.00048257946
num__had_discharge_planning_order,0.00048117296
num__late_order_type_diversity_last_6h,0.0004804706
cat__first_service_PSYCH,0.00047798472
num__late_admin_to_total_late_order_ratio,0.00047665896
num__late_followup_or_aftercare_orders_last_6h,0.0004744006
num__admission_source_high_acuity_flag,0.00047338617
num__icu_or_procedure_without_psych_marker_flag,0.00047274286
num__num_gcs_chart_events,0.00046914976
num__num_dose_due_records,0.00046671936
num__elixhauser_weight_loss,0.00046515724
num__days_since_latest_body_measure,0.00046477394
num__icu_event_density_per_day,0.0004643837
num__older_medical_complexity_score,0.00046026884
num__chart_acuity_event_density_per_day,0.00045686326
num__aftercare_quality_score,0.00045610286
num__recent_psych_admission_90d_x_severe_mental_illness,0.00045548982
num__self_harm_recurrent_flag,0.00045496086
num__late_discharge_hour_with_late_orders_flag,0.00045446667
num__bmi_change_recent_missing,0.00045440518
num__previous_psych_to_total_admission_ratio,0.0004537899
num__admitted_from_hospital_transfer_flag,0.00044956125
num__late_psych_safety_order_share_last_12h,0.00044660733
cat__last_service_TRAUM,0.00044472763
num__has_severe_mental_illness,0.00044068403
num__care_team_touchpoints_last_6h_before_discharge,0.00043654922
num__num_vital_types_measured,0.00043347786
num__num_med_orders_with_duration,0.00043142767
