config_number,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,scale_pos_weight_multiplier,effective_scale_pos_weight,best_iteration,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
15,0.95,7.5,0.5,300,1,8,0.03,0.1,0.5,0.3,1.2088724729882487,265,0.899111584182426,0.7966302527231087,0.7574940323720271,0.5964560434839248,0.1187523752450943,79.31877493100183,0.16103798888810228,False,True,0.13,False
11,0.95,15.0,0.5,300,6,8,0.03,0.3,0.7,0.45,1.8133087094823734,278,0.8910585196568772,0.7966849561710792,0.7314478290221893,0.5946734469905126,0.1251838505268097,77.77835869500268,0.1367743820316767,False,False,0.13,False
13,0.8,25.0,0.0,375,11,8,0.03,0.2,0.6,0.3,1.2088724729882487,338,0.8816569083663692,0.7963566610736701,0.7165518690126204,0.5940619984960456,0.1190817579627037,95.18147999099892,0.12248987051657478,True,False,0.13,False
1,0.8,10.0,1.0,375,6,7,0.03,0.3,0.5,0.35,1.4103512184862903,353,0.880963142200881,0.7963255888703398,0.7142733107900661,0.5940316510772303,0.120732881128788,92.5419103039967,0.12024165971283574,True,False,0.13,False
5,0.95,15.0,0.0,450,11,7,0.025,0.3,0.6,0.5,2.014787454980415,435,0.877238024557039,0.7962834172369635,0.7027577507108397,0.5939253798729363,0.12871770560741425,110.31845762000012,0.10883237083790342,True,False,0.13,False
3,0.95,7.5,1.5,375,6,7,0.025,0.1,0.5,0.35,1.4103512184862903,349,0.8690717385517375,0.7956955566972467,0.6966008093099565,0.5939110655304377,0.12086259573698044,92.80351203600003,0.10268974377951878,True,False,0.13,False
7,0.9,7.5,0.5,300,11,8,0.02,0.15,0.6,0.3,1.2088724729882487,296,0.8631611062385106,0.795786640232413,0.6898130072681308,0.5937254942063168,0.11926928907632828,76.85800602300151,0.09608751306181396,True,False,0.13,False
20,0.8,25.0,1.5,300,11,8,0.025,0.3,0.7,0.4,1.6118299639843319,299,0.8691300381310952,0.796512648371011,0.6915272786870228,0.5935824500733522,0.12305279076099396,77.44593655200151,0.0979448286136706,True,False,0.13,False
24,0.9,25.0,0.0,225,6,8,0.025,0.15,0.7,0.5,2.014787454980415,224,0.8605826461903717,0.7959662401719972,0.6799665362360652,0.5934949354516328,0.12917432188987732,59.585411950996786,0.08647160078443239,True,False,0.13,False
2,0.9,15.0,0.5,450,6,7,0.01625,0.1,0.6,0.4,1.6118299639843319,414,0.8524288533949398,0.7961083128765878,0.6688615816465894,0.5934924431362126,0.12329936772584915,113.08307346599759,0.07536913851037674,True,False,0.13,False
