sequence_feature,source_column
heart_rate,heart_rate
mean_bp_arterial,mean_bp_arterial
mean_bp_noninvasive,mean_bp_noninvasive
respiratory_rate,respiratory_rate
spo2,spo2
systolic_bp_arterial,systolic_bp_arterial
systolic_bp_noninvasive,systolic_bp_noninvasive
num_poe_orders,num_poe_orders
num_poe_medication_orders,num_poe_medication_orders
num_poe_lab_orders,num_poe_lab_orders
num_poe_imaging_orders,num_poe_imaging_orders
num_poe_consult_orders,num_poe_consult_orders
num_poe_safety_orders,num_poe_safety_orders
num_poe_followup_aftercare_orders,num_poe_followup_aftercare_orders
num_poe_discharge_admin_orders,num_poe_discharge_admin_orders
num_poe_discontinued_or_cancelled_orders,num_poe_discontinued_or_cancelled_orders
num_unique_poe_order_types_hourly,num_unique_poe_order_types_hourly
num_lab_events,num_lab_events
num_abnormal_lab_events,num_abnormal_lab_events
num_priority_lab_events,num_priority_lab_events
num_numeric_lab_results,num_numeric_lab_results
num_emar_events,num_emar_events
num_emar_administered_events,num_emar_administered_events
num_emar_not_given_events,num_emar_not_given_events
num_emar_delayed_events,num_emar_delayed_events
num_emar_started_or_stopped_events,num_emar_started_or_stopped_events
num_psychotropic_emar_events,num_psychotropic_emar_events
num_icu_input_events,num_icu_input_events
num_icu_output_events,num_icu_output_events
num_icu_procedure_events,num_icu_procedure_events
num_icu_datetime_events,num_icu_datetime_events
num_total_clinical_events,num_total_clinical_events
num_order_lab_medication_events,num_order_lab_medication_events
num_care_activity_events,num_care_activity_events
num_instability_process_events,num_instability_process_events
heart_rate_observed_mask,heart_rate
mean_bp_arterial_observed_mask,mean_bp_arterial
mean_bp_noninvasive_observed_mask,mean_bp_noninvasive
respiratory_rate_observed_mask,respiratory_rate
spo2_observed_mask,spo2
systolic_bp_arterial_observed_mask,systolic_bp_arterial
systolic_bp_noninvasive_observed_mask,systolic_bp_noninvasive
num_poe_orders_observed_mask,num_poe_orders
num_poe_medication_orders_observed_mask,num_poe_medication_orders
num_poe_lab_orders_observed_mask,num_poe_lab_orders
num_poe_imaging_orders_observed_mask,num_poe_imaging_orders
num_poe_consult_orders_observed_mask,num_poe_consult_orders
num_poe_safety_orders_observed_mask,num_poe_safety_orders
num_poe_followup_aftercare_orders_observed_mask,num_poe_followup_aftercare_orders
num_poe_discharge_admin_orders_observed_mask,num_poe_discharge_admin_orders
num_poe_discontinued_or_cancelled_orders_observed_mask,num_poe_discontinued_or_cancelled_orders
num_unique_poe_order_types_hourly_observed_mask,num_unique_poe_order_types_hourly
num_lab_events_observed_mask,num_lab_events
num_abnormal_lab_events_observed_mask,num_abnormal_lab_events
num_priority_lab_events_observed_mask,num_priority_lab_events
num_numeric_lab_results_observed_mask,num_numeric_lab_results
num_emar_events_observed_mask,num_emar_events
num_emar_administered_events_observed_mask,num_emar_administered_events
num_emar_not_given_events_observed_mask,num_emar_not_given_events
num_emar_delayed_events_observed_mask,num_emar_delayed_events
num_emar_started_or_stopped_events_observed_mask,num_emar_started_or_stopped_events
num_psychotropic_emar_events_observed_mask,num_psychotropic_emar_events
num_icu_input_events_observed_mask,num_icu_input_events
num_icu_output_events_observed_mask,num_icu_output_events
num_icu_procedure_events_observed_mask,num_icu_procedure_events
num_icu_datetime_events_observed_mask,num_icu_datetime_events
num_total_clinical_events_observed_mask,num_total_clinical_events
num_order_lab_medication_events_observed_mask,num_order_lab_medication_events
num_care_activity_events_observed_mask,num_care_activity_events
num_instability_process_events_observed_mask,num_instability_process_events
