epoch,training_loss,validation_pr_auc_average_precision,validation_roc_auc
1,1.0474809541994212,0.41725678391335747,0.7380654646970688
2,0.947965783732278,0.4351388628104892,0.7519175381953291
3,0.9079569772798188,0.428011502480369,0.748963404115209
4,0.8711619669077347,0.43422864423286345,0.7554141611038576
5,0.8324120397470436,0.4384426787385194,0.7530594355839396
6,0.7923168175074519,0.42912430882037694,0.7473757814422409
7,0.7541225722857884,0.42372178440365593,0.7470228791051168
8,0.7311870723354573,0.42157733069070596,0.7530979658639233
9,0.6809042254272772,0.4045646780025847,0.7368775936789326
10,0.6464937256307018,0.40071594237002317,0.7307690118471853
11,0.6151190564340475,0.3839504378407345,0.730161065327214
12,0.582315166994017,0.39932567879883846,0.7307201922310695
13,0.5555539246724577,0.38796095397696145,0.7342938756995654
