epoch,training_loss,validation_pr_auc_average_precision,validation_roc_auc
1,1.0451883637175268,0.42084966216704583,0.7409556735399432
2,0.9501123051254117,0.434572787433962,0.7547832277691231
3,0.9068176101665107,0.42765635417657555,0.7494367135772826
4,0.8651342501445692,0.43262383664911697,0.7549432597842829
5,0.8264901711016285,0.42501494579222693,0.7473302456568056
6,0.7933456654451332,0.42894352202193775,0.7500282409438518
7,0.7562185136639342,0.40226331373579216,0.7420143805513157
8,0.7146609826963775,0.41499798569440854,0.7510957048370388
9,0.665779573576791,0.4027870341615603,0.7416343318805667
10,0.6433304475278271,0.4098774114138908,0.7363889596736837
