model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role,evaluation_subset,subset_admissions
PyTorch MLP - mlp_screen_06_384-192-64_wd0p0001_bs512,0.5,0.7524750376290518,0.7107235952900616,0.4176852692603199,0.6416997531924026,0.7797474373877206,0.5060077847351497,0.7910952229021901,0.5807084964973737,0.172911137342453,29515,8337,3339,5980,7.469239016994834,0.6465144899993902,0.16223734899540432,0.003439345127205366,default,,
PyTorch MLP - mlp_screen_06_384-192-64_wd0p0001_bs512,0.59,0.8106463717114328,0.7010655395738381,0.5207997420187036,0.5199055692670888,0.8822255098805876,0.5203522715068198,0.7910952229021901,0.5807084964973737,0.172911137342453,33394,4458,4474,4845,7.469239016994834,0.6465144899993902,0.16223734899540432,0.003439345127205366,validation_f1,,
PyTorch MLP - mlp_screen_06_384-192-64_wd0p0001_bs512,0.6,0.8152254563185007,0.6992676417242583,0.5340408716269617,0.5075651893980041,0.8909700940505125,0.5204665492957746,0.7910952229021901,0.5807084964973737,0.172911137342453,33725,4127,4589,4730,7.469239016994834,0.6465144899993902,0.16223734899540432,0.003439345127205366,balanced_precision_recall,,
Processed-feature TabTransformer - tabtransformer_screen_08_d32_h4_l1_drop0p2_wd0p0005,0.5,0.750333891585932,0.709510785235388,0.41479478646699947,0.6420216761455092,0.7769998943252668,0.5039801204565556,0.7879345615423327,0.5722086460601895,0.17674846947193146,29411,8441,3336,5983,404.25127888399584,3.200322459000745,0.7876984920003451,0.01669878722096935,default,,
Processed-feature TabTransformer - tabtransformer_screen_08_d32_h4_l1_drop0p2_wd0p0005,0.59,0.8024633779228764,0.7040556304725925,0.5000495589255625,0.5413670994741925,0.8667441614709923,0.519888705688376,0.7879345615423327,0.5722086460601895,0.17674846947193146,32808,5044,4274,5045,404.25127888399584,3.200322459000745,0.7876984920003451,0.01669878722096935,validation_f1,,
Processed-feature TabTransformer - tabtransformer_screen_08_d32_h4_l1_drop0p2_wd0p0005,0.61,0.8104555765194718,0.7000568768538509,0.520392749244713,0.5175448009443073,0.8825689527633943,0.5189648679184377,0.7879345615423327,0.5722086460601895,0.17674846947193146,33407,4445,4496,4823,404.25127888399584,3.200322459000745,0.7876984920003451,0.01669878722096935,balanced_precision_recall,,
TabNet - tabnet_screen_05_d16_steps4_gamma1p6_lr0p002,0.5,0.7508214792987217,0.7088439324803432,0.415174527973246,0.6394462925206568,0.7782415724400296,0.5034640081108482,0.7844269334855969,0.5698059187193496,0.1726219654083252,29458,8394,3360,5959,377.89784463500837,1.6584821550059132,0.4084997409954667,0.008659976277701696,default,,
TabNet - tabnet_screen_05_d16_steps4_gamma1p6_lr0p002,0.6,0.8047529202264103,0.6952093404670827,0.5057531932861817,0.5141109561111707,0.8763077248229948,0.5098978288633461,0.7844269334855969,0.5698059187193496,0.1726219654083252,33170,4682,4528,4791,377.89784463500837,1.6584821550059132,0.4084997409954667,0.008659976277701696,validation_f1,,
TabNet - tabnet_screen_05_d16_steps4_gamma1p6_lr0p002,0.61,0.8090988107099701,0.6931448064077783,0.5173826395039858,0.5014486532889795,0.8848409595265772,0.5092910468094382,0.7844269334855969,0.5698059187193496,0.1726219654083252,33493,4359,4646,4673,377.89784463500837,1.6584821550059132,0.4084997409954667,0.008659976277701696,balanced_precision_recall,,
Sequence-subset Tabular MLP,0.5,0.7222678718159409,0.6980765204252334,0.311482254697286,0.6631111111111111,0.7330419297393557,0.4238636363636364,0.7729044304139011,0.44318081783023855,0.1831737458705902,4528,1649,379,746,1.011637047995464,0.07481137200375088,0.019146796999848448,0.0026221305121676866,default,admissions_with_first72h_hourly_clinical_sequence,7302.0
