csv_path,sheet_name,rows,columns,rows_written,note
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_gru_performance.csv,hourly_clinical_gru_performance,3,22,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_gru_test_predictions.csv,clinical_gru_test_predictions,7302,15,7302,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_gru_training_history.csv,clinical_gru_training_history,13,4,13,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_gru_validation_threshold_search.csv,gru_validation_threshold_search,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_lstm_performance.csv,hourly_clinical_lstm_performanc,3,22,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_lstm_test_predictions.csv,clinical_lstm_test_predictions,7302,15,7302,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_lstm_training_history.csv,clinical_lstm_training_history,12,4,12,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_lstm_validation_threshold_search.csv,lstm_validation_threshold_searc,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_sequence_coverage.csv,hourly_clinical_sequence_covera,4,5,4,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hourly_clinical_sequence_features.csv,hourly_clinical_sequence_featur,70,2,70,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_gru_performance.csv,hourly_clinical_gru_performan_1,3,22,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_gru_test_predictions.csv,clinical_gru_test_predictions_1,7302,15,7302,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_gru_training_history.csv,clinical_gru_training_history_1,13,4,13,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_gru_validation_threshold_search.csv,gru_validation_threshold_sear_1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_lstm_performance.csv,hourly_clinical_lstm_performa_1,3,22,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_lstm_test_predictions.csv,clinical_lstm_test_prediction_1,7302,15,7302,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_lstm_training_history.csv,clinical_lstm_training_histor_1,10,4,10,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_hybrid_tabular_hourly_clinical_lstm_validation_threshold_search.csv,lstm_validation_threshold_sea_1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_neural_model_comparison.csv,5_neural_model_comparison,24,22,24,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_neural_output_file_summary.csv,neural_output_file_summary,234,3,234,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_current_reference_performance.csv,mlp_current_reference_performan,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_current_reference_test_predictions.csv,current_reference_test_predicti,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_current_reference_training_history.csv,current_reference_training_hist,15,5,15,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_current_reference_validation_threshold_search.csv,reference_validation_threshold_,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_01_768-256-64_wd0p001_bs2048_performance.csv,64_wd0p001_bs2048_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_01_768-256-64_wd0p001_bs2048_test_predictions.csv,wd0p001_bs2048_test_predictions,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_01_768-256-64_wd0p001_bs2048_training_history.csv,wd0p001_bs2048_training_history,14,9,14,complete
