source_csv_file,archive_sheet_name,archive_status,archive_note,rows_estimated,rows_written_to_excel,columns,file_size_mb
final_model_comparison.csv,final_model_comparison,written,,100,100,32.0,0.032
high_risk_strata.csv,high_risk_strata,written,,96,96,13.0,0.017
recommended_model_comparison.csv,recommended_model_comparison,written,,32,32,36.0,0.017
subgroup_performance.csv,subgroup_performance,written,,60,60,19.0,0.016
t3_6_all_model_performance_rows.csv,t3_6_all_model_performance_rows,written,,92,92,26.0,0.026
t3_6_best_model_high_risk_strata.csv,t3_6_best_model_high_risk_strat,written,,8,8,10.0,0.001
t3_6_best_model_selection_summary.csv,t3_6_best_model_selection_summa,written,,1,1,14.0,0.001
t3_6_best_model_subgroup_performance.csv,t3_6_best_model_subgroup_perfor,written,,60,60,19.0,0.016
t3_6_borderline_threshold_error_analysis.csv,t3_6_borderline_threshold_error,written,,3,3,10.0,0.0
t3_6_class_imbalance_summary.csv,t3_6_class_imbalance_summary,written,,1,1,9.0,0.0
t3_6_cluster_distinguishing_families.csv,t3_6_cluster_distinguishing_fam,written,,32,32,8.0,0.003
t3_6_cluster_error_profile.csv,t3_6_cluster_error_profile,written,,4,4,11.0,0.001
t3_6_cluster_family_centres.csv,t3_6_cluster_family_centres,written,,2,2,9.0,0.0
t3_6_cluster_family_exploratory_tests.csv,t3_6_cluster_family_exploratory,written,,8,8,6.0,0.001
t3_6_cluster_feature_family_map.csv,t3_6_cluster_feature_family_map,written,,8,8,2.0,0.0
t3_6_cluster_fixed_k_family_centres.csv,t3_6_cluster_fixed_k_family_cen,written,,35,35,10.0,0.006
t3_6_cluster_fixed_k_interpretation.csv,t3_6_cluster_fixed_k_interpreta,written,,35,35,14.0,0.008
t3_6_cluster_fixed_k_pca_coordinates.csv,t3_6_cluster_fixed_k_pca_coordi,written,,330197,330197,8.0,26.092
t3_6_cluster_fixed_k_performance_profiles.csv,t3_6_cluster_fixed_k_performanc,written,,35,35,20.0,0.012
t3_6_cluster_fixed_k_selection.csv,t3_6_cluster_fixed_k_selection,written,,7,7,6.0,0.001
t3_6_cluster_interpretation_summary.csv,t3_6_cluster_interpretation_sum,written,,4,4,21.0,0.003
t3_6_cluster_k_selection.csv,t3_6_cluster_k_selection,written,,7,7,5.0,0.0
t3_6_cluster_outcome_exploratory_tests.csv,t3_6_cluster_outcome_explorator,written,,2,2,7.0,0.0
t3_6_cluster_pca_3d_coordinates.csv,t3_6_cluster_pca_3d_coordinates,written,,330197,330197,9.0,32.328
t3_6_cluster_pca_3d_explained_variance.csv,t3_6_cluster_pca_3d_explained_v,written,,3,3,3.0,0.0
t3_6_cluster_pca_coordinates.csv,t3_6_cluster_pca_coordinates,written,,47171,47171,7.0,3.638
t3_6_cluster_performance_profiles.csv,t3_6_cluster_performance_profil,written,,2,2,19.0,0.001
t3_6_cluster_representative_cases.csv,t3_6_cluster_representative_cas,written,,12,12,8.0,0.001
t3_6_context_stress_test_performance.csv,t3_6_context_stress_test_perfor,written,,102,102,20.0,0.029
t3_6_cost_sensitive_threshold_sensitivity.csv,t3_6_cost_sensitive_threshold_s,written,,4,4,19.0,0.001
t3_6_csv_file_index.csv,t3_6_csv_file_index,written,,82,82,8.0,0.008
t3_6_cutoff_proximity_adjusted_metrics.csv,t3_6_cutoff_proximity_adjusted_,written,,2,2,15.0,0.001
t3_6_cutoff_proximity_case_summary.csv,t3_6_cutoff_proximity_case_summ,written,,1,1,10.0,0.0
