model_selection_rank,source_notebook,model_family,model_group,model,recommended_threshold_label,threshold,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,roc_auc,pr_auc_average_precision,brier_score,true_positives,false_positives,false_negatives,true_negatives,threshold_selection_note,clinical_tradeoff_note
1,WP3.6,Ensemble - LightGBM-heavy blend 50,ensemble_lightgbm-heavy_blend_50,Ensemble - LightGBM-heavy blend 50,closest usable precision-recall threshold,0.38,0.5258275353152013,0.535250563365168,0.8811687625488746,0.5304972081893113,0.7082096629570213,0.80138249913702,0.5964790342960908,0.12278740412405476,4988,4498,4331,33354,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,recall-leaning or balanced threshold
2,WP3.6,Ensemble - LightGBM-heavy blend 60,ensemble_lightgbm-heavy_blend_60,Ensemble - LightGBM-heavy blend 60,closest usable precision-recall threshold,0.38,0.5279144385026738,0.529670565511321,0.8833879319454718,0.5287910439766458,0.7065292487283964,0.801271795243621,0.5962708820032356,0.122376823340582,4936,4414,4383,33438,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,recall-leaning or balanced threshold
3,WP3.6,Ensemble - boosting plus neural average,ensemble_boosting_plus_neural_average,Ensemble - boosting plus neural average,closest usable precision-recall threshold,0.4,0.52734375,0.5360017169224166,0.8817235548980239,0.5316374860305465,0.7088626359102203,0.8006838002312324,0.5960524353459108,0.12552481610784222,4995,4477,4324,33375,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,recall-leaning or balanced threshold
4,WP3.6,Ensemble - LightGBM-heavy blend 70,ensemble_lightgbm-heavy_blend_70,Ensemble - LightGBM-heavy blend 70,closest usable precision-recall threshold,0.38,0.5328189524016518,0.5261294130271489,0.8864260805241467,0.529453053290859,0.7062777467756478,0.8010646187895981,0.5959595361149822,0.12201187642820417,4903,4299,4416,33553,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,precision-leaning threshold
5,WP3.6,Ensemble - boosting top 3 average,ensemble_boosting_top_3_average,Ensemble - boosting top 3 average,closest usable precision-recall threshold,0.34,0.5342540234884733,0.527202489537504,0.8868487794568318,0.5307048339184445,0.7070256344971679,0.8008056964158259,0.5956653307585954,0.11927398808768919,4913,4283,4406,33569,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,precision-leaning threshold
6,WP3.6,Ensemble - LightGBM-heavy blend 80,ensemble_lightgbm-heavy_blend_80,Ensemble - LightGBM-heavy blend 80,closest usable precision-recall threshold,0.37,0.5268395976707253,0.5339628715527417,0.8819349043643665,0.5303773182690258,0.707948887958554,0.800763129989209,0.5955611776209045,0.12169256338692126,4976,4469,4343,33383,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,recall-leaning or balanced threshold
7,WP3.6,Ensemble - LightGBM/XGBoost average,ensemble_lightgbm/xgboost_average,Ensemble - LightGBM/XGBoost average,closest usable precision-recall threshold,0.34,0.5331374469474371,0.5257001824230068,0.8866638486737821,0.5293926950507889,0.7061820155483944,0.8007348204097089,0.5955439184387039,0.1192141973884241,4899,4290,4420,33562,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,precision-leaning threshold
8,WP3.6,Ensemble - LightGBM-heavy blend 90,ensemble_lightgbm-heavy_blend_90,Ensemble - LightGBM-heavy blend 90,closest usable precision-recall threshold,0.37,0.5288740724809119,0.5277390277926817,0.884259748494135,0.5283059404877001,0.7059993881434083,0.8003698632670556,0.5950757384051927,0.12141888421673327,4918,4381,4401,33471,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,precision-leaning threshold
9,WP3.4,Targeted LightGBM,lightgbm_targeted,Targeted LightGBM balanced precision-recall threshold,balanced precision-recall threshold,0.39,0.5519,0.5012,0.8998,0.5253,0.7005,0.7999,0.5945,0.1212,4671,3793,4648,34059,Usable balanced precision-recall threshold selected.,precision-leaning threshold
10,WP3.4,Targeted XGBoost,xgboost_targeted,Targeted XGBoost balanced precision-recall threshold,balanced precision-recall threshold,0.31,0.5315,0.5283,0.8853,0.5299,0.7068,0.7988,0.5933,0.1185,4923,4340,4396,33512,Usable balanced precision-recall threshold selected.,precision-leaning threshold
11,WP3.4,LightGBM,lightgbm,LightGBM balanced precision-recall threshold,balanced precision-recall threshold,0.6,0.5495,0.5054,0.898,0.5266,0.7017,0.7997,0.592,0.1595,4710,3861,4609,33991,Usable balanced precision-recall threshold selected.,precision-leaning threshold
12,WP3.4,XGBoost,xgboost,XGBoost balanced precision-recall threshold,balanced precision-recall threshold,0.59,0.537,0.5202,0.8896,0.5285,0.7049,0.7982,0.5912,0.166,4848,4180,4471,33672,Usable balanced precision-recall threshold selected.,precision-leaning threshold
13,WP3.4,Targeted CatBoost,catboost_targeted,Targeted CatBoost balanced precision-recall threshold,balanced precision-recall threshold,0.35,0.5412,0.516,0.8923,0.5283,0.7042,0.7979,0.5912,0.1202,4809,4076,4510,33776,Usable balanced precision-recall threshold selected.,precision-leaning threshold
14,WP3.4,CatBoost,catboost,CatBoost balanced precision-recall threshold,balanced precision-recall threshold,0.6,0.5421,0.51,0.8939,0.5256,0.702,0.7977,0.5868,0.1654,4753,4015,4566,33837,Usable balanced precision-recall threshold selected.,precision-leaning threshold
15,WP3.4,Calibrated Targeted XGBoost,calibrated_targeted_xgboost,Calibrated Targeted XGBoost balanced precision-recall threshold,balanced precision-recall threshold,0.25,0.5366,0.5109,0.8914,0.5234,0.7011,0.7932,0.5844,0.1204,4761,4111,4558,33741,Usable balanced precision-recall threshold selected.,precision-leaning threshold
16,WP3.4,Calibrated Targeted LightGBM,calibrated_targeted_lightgbm,Calibrated Targeted LightGBM balanced precision-recall threshold,balanced precision-recall threshold,0.28,0.5287,0.5136,0.8873,0.521,0.7004,0.7905,0.5825,0.1198,4786,4266,4533,33586,Usable balanced precision-recall threshold selected.,precision-leaning threshold
