subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,pr_auc_difference_from_overall,recall_difference_from_overall,subgroup_size_flag,event_support_flag,interpretation_reliability,pr_auc_difference,recall_difference,precision_difference,readmission_rate_difference
demographics,marital_status_Unknown,included,1389,83,0.059755219582433405,0.10117519307315698,0.38,0.9035129799442795,0.7102197639923268,0.03017577446937493,0.7666666666666667,0.5542168674698795,0.9892802450229708,0.6433566433566433,0.7717485562464252,1292,14,37,46,0.11374072969623594,0.018966304104711562,moderate,limited_event_support,exploratory_only,0.11544534508069548,0.019136746205262845,0.2423721621048165,-0.14198345500583273
demographics,race_UNKNOWN,included,1278,62,0.048513302034428794,0.08930222477864372,0.38,0.8516022920203735,0.5876063370938782,0.0296640983841226,0.7272727272727273,0.5161290322580645,0.9901315789473685,0.6037735849056604,0.7531303056027165,1204,12,30,32,-0.00887269720221262,-0.019121531107103462,moderate,limited_event_support,exploratory_only,-0.008214968263950295,-0.01924960012823773,0.20238393252585163,-0.15319501949608783
demographics,insurance_grouped_Other / unknown,included,2243,411,0.18323673651359787,0.2299719398386442,0.38,0.8789232248536427,0.7529368635535937,0.08568789942470922,0.6795865633074936,0.6399026763990268,0.9323144104803494,0.6591478696741855,0.7861085434396881,1708,124,148,263,0.15645782925750285,0.1046521130338588,moderate,moderate_event_support,main_interpretation,0.16516819677081884,0.10948058389790416,0.16029872947960033,-0.015036055509194152
demographics,age_under_40,included,11027,2379,0.21574317584111727,0.278161824087546,0.38,0.8568988828008254,0.7175175278404943,0.11087603293726674,0.581798084008843,0.6637242538881883,0.8687557816836263,0.6200667582957,0.7662400177859073,7513,1135,800,1579,0.12103849354440344,0.12847369052302038,large,high_event_support,main_interpretation,0.16839442417004424,0.17251387924841888,0.07840174614705919,0.023733437018629455
demographics,race_BLACK/AFRICAN AMERICAN,included,6481,1609,0.2482641567659312,0.3193725904115034,0.38,0.8228481315588322,0.6919440695888543,0.1337226474790976,0.57387935805202,0.6444996892479801,0.8419540229885057,0.6071428571428571,0.7432268561182429,4102,770,572,1037,0.09546503529276351,0.1092491258828121,large,high_event_support,main_interpretation,0.1168234784258444,0.13204832738027583,0.05935923824475342,0.0587827116934318
demographics,race_OTHER,included,1419,243,0.17124735729386892,0.2372394309370164,0.38,0.8387678116514096,0.6620019450057408,0.09805925329995184,0.575107296137339,0.551440329218107,0.9158163265306123,0.5630252100840336,0.7336283278743596,1077,99,109,134,0.06552291070965,0.016189765852939075,moderate,moderate_event_support,main_interpretation,0.0675494860404181,0.016623229174034804,0.05052067558184348,-0.027126484286827013
demographics,marital_status_SINGLE,included,22190,5027,0.22654348805768365,0.2960042515835303,0.38,0.8168736460472883,0.6534153221955619,0.12973935706947287,0.5389043963712491,0.6144817982892381,0.8460059430169551,0.574216934659355,0.7302438706530966,14520,2643,1938,3089,0.05693628789947103,0.07923123492407014,large,high_event_support,main_interpretation,0.1286085537288848,0.17203072652782153,0.033043980814509655,0.05473291201989494
demographics,insurance_grouped_Medicaid,included,11809,2826,0.23930900160894233,0.31666402879855476,0.38,0.8037324807675172,0.6409662162088579,0.14017105993154863,0.5188762071992976,0.6273885350318471,0.8169876433262829,0.5679961556943777,0.7221880891790651,7339,1644,1053,1773,0.044487181912767015,0.09213797166667914,large,high_event_support,main_interpretation,0.06476728380720498,0.13223991343936287,-0.010865101088723517,0.05569382147207225
demographics,insurance_grouped_Private,included,11924,2106,0.17661858436766187,0.23050260165717926,0.38,0.8254647209797613,0.6188905103546495,0.10568635732049347,0.5604616156547918,0.5303893637226971,0.9107761254838053,0.5450109782873872,0.7205827446032511,8942,876,989,1117,0.022411476058558644,-0.0048611996424708925,large,high_event_support,main_interpretation,0.029360763721843597,-0.006280537843918799,0.04384610784750498,-0.028022945407921857
demographics,gender_M,included,23471,4855,0.20685100762643263,0.2785476039973895,0.38,0.8045877061336559,0.6113307130540441,0.1267876964815824,0.5199403652627655,0.5746652935118435,0.8616244091104426,0.5459348400352216,0.718144851311143,16040,2576,2065,2790,0.014851678757953235,0.039414730146675514,large,high_event_support,main_interpretation,0.030786464570958905,0.08228178096704059,-0.013554780368302377,0.018496577246685797
