subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value
discharge_pathway,discharged_against_advice,false_negative,527,4331,65,0.01500808127453244,0.011172118462614742,1.343351426567305,0.01450713624607254
discharge_pathway,discharged_to_facility_flag,false_negative,16552,4331,1877,0.43338720849688295,0.35089355748235146,1.235095940793044,9.31910748239982e-33
medical_complexity,charlson_5plus,false_negative,2707,4331,300,0.06926806742091896,0.05738695384876301,1.2070350972708417,0.0004768853892653229
medical_complexity,age_65plus_x_charlson,false_negative,11407,4331,1260,0.2909258831678596,0.24182230607788685,1.203056442089165,2.7740157322646955e-15
care_process,num_care_team_touchpoints_high,false_negative,5029,4331,555,0.12814592472870007,0.10661211337474295,1.2019827829344822,1.6464526319355886e-06
diagnosis,has_cognitive_delirium,false_negative,6322,4331,686,0.15839298083583467,0.13402302261982998,1.1818341187926538,8.810258753816142e-07
discharge_pathway,had_substance_use_followup_order,false_negative,307,4331,33,0.007619487416301085,0.00650823599245299,1.170745410144425,0.3924408982844365
medical_complexity,charlson_3plus,false_negative,11644,4331,1248,0.28815516047102285,0.24684657946619745,1.1673451627085725,4.182747525849722e-11
demographics,age_65plus,false_negative,14783,4331,1570,0.36250288616947585,0.31339170252909626,1.1567086277142897,3.0084166896872163e-13
demographics,marital_status_WIDOWED,false_negative,4495,4331,477,0.11013622719926114,0.09529159865171398,1.1557810841415677,0.0005317959972252602
care_process,num_total_poe_orders_high,false_negative,4742,4331,503,0.11613945970907412,0.10052786669775922,1.155296173331239,0.00037267005358430916
discharge_pathway,protective_aftercare_present_flag,false_negative,34278,4331,3604,0.8321403832833064,0.7266752877827479,1.1451337306685583,6.64692495504738e-60
demographics,age_70plus,false_negative,11090,4331,1153,0.2662202724543985,0.23510207542769923,1.132360367172807,4.4489195753801284e-07
demographics,age_80plus,false_negative,5476,4331,569,0.13137843454167628,0.1160882745754807,1.131711493017789,0.001070303445039989
care_process,late_order_type_diversity_last_12h_high,false_negative,9714,4331,992,0.229046409605172,0.2059316105234148,1.112245026506647,8.578228759059127e-05
prior_utilisation,low_psych_history_but_prior_admissions,false_negative,10296,4331,1046,0.24151466174093741,0.21826969960356998,1.1064965140813674,0.0001102867667769856
prior_utilisation,previous_nonpsych_admissions_365d_any,false_negative,7621,4331,770,0.17778803971369198,0.16156112865955777,1.1004382130080783,0.0025028439487659337
prior_utilisation,previous_nonpsych_admissions_365d_high,false_negative,7621,4331,770,0.17778803971369198,0.16156112865955777,1.1004382130080783,0.0025028439487659337
demographics,insurance_grouped_Medicare,false_negative,21195,4331,2141,0.49434310782729163,0.44932267706853785,1.1001962132258163,4.5438615883292527e-10
demographics,race_WHITE - OTHER EUROPEAN,false_negative,1262,4331,127,0.02932348187485569,0.026753725806109685,1.0960522690323438,0.293558733163133
demographics,language_Russian,false_negative,569,4331,57,0.013160932809974601,0.012062496025100167,1.0910621468880701,0.5340527100501498
demographics,marital_status_MARRIED,false_negative,14808,4331,1478,0.34126067882706074,0.3139216891734328,1.0870885657044356,5.10158900703453e-05
medical_complexity,had_icu_stay,false_negative,8070,4331,801,0.1849457400138536,0.17107968879184243,1.0810502481032824,0.01168284823392256
prior_utilisation,previous_total_admissions_any,false_negative,29723,4331,2940,0.6788270607250058,0.6301117211846261,1.077312225598333,3.6061844364941e-12
care_process,late_medication_change_intensity_score_any,false_negative,29135,4331,2879,0.6647425536827523,0.6176464353098302,1.0762509352932592,2.453653098718257e-11
prior_utilisation,previous_icu_admissions_any,false_negative,9509,4331,939,0.21680905102747633,0.201585720039855,1.075517903672004,0.009307232399614028
prior_utilisation,previous_icu_admissions_high,false_negative,9509,4331,939,0.21680905102747633,0.201585720039855,1.075517903672004,0.009307232399614028
demographics,race_WHITE,false_negative,30368,4331,2994,0.6912953128607712,0.6437853766085094,1.0737977872416833,8.22772827154304e-12
diagnosis,has_personality_disorder,false_negative,904,4331,89,0.020549526668205958,0.01916431705921011,1.0722806664446274,0.5224554230338667
care_process,late_order_type_diversity_last_12h_any,false_negative,43044,4331,4216,0.9734472408219811,0.9125098047529202,1.0667800343093967,5.549715367398051e-50
care_process,care_team_touchpoints_last_12h_before_discharge_any,false_negative,43117,4331,4218,0.9739090279381205,0.914057365754383,1.06547910932739,4.9288219014123445e-49
care_process,orders_last_12h_before_discharge_any,false_negative,43122,4331,4218,0.9739090279381205,0.9141633630832503,1.065355566923359,6.4211695895186605e-49
prior_utilisation,previous_psych_admissions_365d_any,false_negative,19427,4331,1894,0.4373123989840683,0.41184202158105615,1.0618450184010648,0.00037425995324197526
prior_utilisation,previous_ed_visits_365d_any,false_negative,19619,4331,1894,0.4373123989840683,0.41591231900956094,1.051453344843136,0.00286208140537283
diagnosis,has_depression,false_negative,19231,4331,1847,0.42646040175479105,0.4076869262894575,1.0460487551960505,0.008741400665098696
