subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value,admissions,readmissions,readmission_rate,pr_auc_average_precision,recall_sensitivity,precision,interpretation_reliability,error_profile_priority_score
discharge_pathway,protective_aftercare_present_flag,false_negative,34278,4331,3604,0.8321403832833064,0.7266752877827479,1.1451337306685583,6.64692495504738e-60,34278,5927,0.17290973802438883,0.41507309006903736,0.3919352117428716,0.4318646588585239,main_interpretation,9.378733486407715
discharge_pathway,discharged_to_facility_flag,false_negative,16552,4331,1877,0.43338720849688295,0.35089355748235146,1.235095940793044,9.31910748239982e-33,16552,3290,0.19876752054132432,0.4957847561285951,0.42948328267477204,0.46943521594684384,main_interpretation,9.310107082929251
care_process,late_order_type_diversity_last_12h_any,false_negative,43044,4331,4216,0.9734472408219811,0.9125098047529202,1.0667800343093967,5.549715367398051e-50,43044,7197,0.16720100362419849,0.42508939905811105,0.4142003612616368,0.4372249926664711,main_interpretation,8.904284136688146
care_process,care_team_touchpoints_last_12h_before_discharge_any,false_negative,43117,4331,4218,0.9739090279381205,0.914057365754383,1.06547910932739,4.9288219014123445e-49,43117,7207,0.1671498480877612,0.42575434946210267,0.4147356736506175,0.43737196371085746,main_interpretation,8.893930678791191
care_process,orders_last_12h_before_discharge_any,false_negative,43122,4331,4218,0.9739090279381205,0.9141633630832503,1.065355566923359,6.4211695895186605e-49,43122,7207,0.16713046704698298,0.4257486028456738,0.4147356736506175,0.43737196371085746,main_interpretation,8.892899426683359
care_process,orders_last_24h_before_discharge_any,false_negative,44410,4331,4249,0.9810667282382821,0.9414682749994701,1.0420603160938529,3.458537058075826e-31,44410,7997,0.18007205584327854,0.5176726223543198,0.4686757534075278,0.4833634253288625,main_interpretation,8.70607450223593
care_process,num_care_team_touchpoints_any,false_negative,44925,4331,4269,0.9856845993996768,0.9523859998728033,1.0349633442021626,5.2623430486342936e-27,44925,8247,0.18357262103505842,0.5364401610779976,0.4823572208075664,0.49287572791475653,main_interpretation,8.651640605596459
care_process,num_total_poe_orders_any,false_negative,44816,4331,4259,0.9833756638189795,0.9500752581034958,1.0350502819976142,6.817805535306219e-26,44816,8230,0.18363977151017494,0.53700197969576,0.4825030376670717,0.4934145129224652,main_interpretation,8.649940502520552
prior_utilisation,previous_total_admissions_any,false_negative,29723,4331,2940,0.6788270607250058,0.6301117211846261,1.077312225598333,3.6061844364941e-12,29723,6901,0.23217710190761362,0.5822049043749429,0.5739747862628605,0.49321379653841363,main_interpretation,8.603959410105682
demographics,race_WHITE,false_negative,30368,4331,2994,0.6912953128607712,0.6437853766085094,1.0737977872416833,8.22772827154304e-12,30368,5932,0.19533719704952582,0.5555571882278715,0.49527983816587995,0.5036859249099949,main_interpretation,8.595428621962691
medical_complexity,age_65plus_x_charlson,false_negative,11407,4331,1260,0.2909258831678596,0.24182230607788685,1.203056442089165,2.7740157322646955e-15,11407,1736,0.15218725344086964,0.3820892503632611,0.27419354838709675,0.4335154826958106,main_interpretation,8.58941436151109
care_process,late_medication_change_intensity_score_any,false_negative,29135,4331,2879,0.6647425536827523,0.6176464353098302,1.0762509352932592,2.453653098718257e-11,29135,5208,0.1787540758537841,0.4680046056606716,0.44719662058371734,0.45205745341614906,main_interpretation,8.572925873202234
demographics,age_65plus,false_negative,14783,4331,1570,0.36250288616947585,0.31339170252909626,1.1567086277142897,3.0084166896872163e-13,14783,2144,0.14503145504971926,0.3907978845348333,0.2677238805970149,0.45161290322580644,main_interpretation,8.512759712554384
demographics,insurance_grouped_Medicare,false_negative,21195,4331,2141,0.49434310782729163,0.44932267706853785,1.1001962132258163,4.5438615883292527e-10,21195,3976,0.18759141306912008,0.5290279943755272,0.4615191146881288,0.49742477636215776,main_interpretation,8.437949632512046
care_process,quiet_risk_summary_score_any,false_negative,47171,4331,4331,1.0,1.0,1.0,,47171,9319,0.1975578215428971,0.5964790342960908,0.535250563365168,0.5258275353152013,main_interpretation,8.37378460812088
medical_complexity,charlson_3plus,false_negative,11644,4331,1248,0.28815516047102285,0.24684657946619745,1.1673451627085725,4.182747525849722e-11,11644,2539,0.21805221573342495,0.49304749729810815,0.5084679007483262,0.44841959013546373,main_interpretation,8.323286005430692
demographics,language_English,false_negative,43738,4331,4015,0.9270376356499653,0.9272222339997032,0.9998009125073053,0.9853332707766138,43738,8766,0.20042068681695552,0.6015467890464571,0.5419803787360256,0.527771606309709,main_interpretation,8.296389625062927
demographics,gender_F,false_negative,23700,4331,2266,0.5232048025860079,0.5024273388310615,1.0413541663622183,0.004320758507694966,23700,4464,0.18835443037974683,0.5805442484830852,0.4923835125448029,0.5334951456310679,main_interpretation,8.045723733806494
prior_utilisation,previous_psych_admissions_365d_any,false_negative,19427,4331,1894,0.4373123989840683,0.41184202158105615,1.0618450184010648,0.00037425995324197526,19427,5501,0.2831626087404128,0.6046008365214521,0.6556989638247591,0.4812541694462975,main_interpretation,8.013716870686697
demographics,age_70plus,false_negative,11090,4331,1153,0.2662202724543985,0.23510207542769923,1.132360367172807,4.4489195753801284e-07,11090,1520,0.13706041478809738,0.37847726345749133,0.24144736842105263,0.4604767879548306,main_interpretation,7.98426099921356
prior_utilisation,previous_ed_visits_365d_any,false_negative,19619,4331,1894,0.4373123989840683,0.41591231900956094,1.051453344843136,0.00286208140537283,19619,5368,0.27361231459299656,0.6044724508880588,0.6471684053651267,0.48465401785714285,main_interpretation,7.935291179307327
demographics,marital_status_MARRIED,false_negative,14808,4331,1478,0.34126067882706074,0.3139216891734328,1.0870885657044356,5.10158900703453e-05,14808,2585,0.17456780118854673,0.5143280098482026,0.42823984526112185,0.4950805008944544,main_interpretation,7.934791481800746
diagnosis,has_depression,false_negative,19231,4331,1847,0.42646040175479105,0.4076869262894575,1.0460487551960505,0.008741400665098696,19231,4191,0.21792938484738184,0.6156623960816711,0.5592937246480554,0.5307971014492754,main_interpretation,7.868231507525409
diagnosis,has_cognitive_delirium,false_negative,6322,4331,686,0.15839298083583467,0.13402302261982998,1.1818341187926538,8.810258753816142e-07,6322,932,0.14742170199304017,0.39554125161197157,0.26394849785407726,0.45724907063197023,main_interpretation,7.720135541907633
prior_utilisation,low_psych_history_but_prior_admissions,false_negative,10296,4331,1046,0.24151466174093741,0.21826969960356998,1.1064965140813674,0.0001102867667769856,10296,1400,0.13597513597513597,0.4490938684602007,0.25285714285714284,0.6604477611940298,main_interpretation,7.694227339350893
care_process,late_order_type_diversity_last_12h_high,false_negative,9714,4331,992,0.229046409605172,0.2059316105234148,1.112245026506647,8.578228759059127e-05,9714,1679,0.17284331892114474,0.40594793896452236,0.4091721262656343,0.4222495390288875,main_interpretation,7.675303360346155
care_process,num_care_team_touchpoints_high,false_negative,5029,4331,555,0.12814592472870007,0.10661211337474295,1.2019827829344822,1.6464526319355886e-06,5029,866,0.17220123284947306,0.43756273040759625,0.35912240184757505,0.43557422969187676,main_interpretation,7.597454664607355
demographics,age_40_to_64,false_negative,21361,4331,1961,0.45278226737474025,0.4528417883869327,0.9998685611316825,1.0,21361,4796,0.22452132390805674,0.6105544594550312,0.591117597998332,0.515360843483003,main_interpretation,7.58072310747591
diagnosis,has_anxiety_ptsd,false_negative,15048,4331,1436,0.3315631493881321,0.31900956095906385,1.0393517623463302,0.06535087901220765,15048,3142,0.20879851143009037,0.5968575006008692,0.5429662635264163,0.5286643941741556,main_interpretation,7.556412510955469
prior_utilisation,previous_icu_admissions_any,false_negative,9509,4331,939,0.21680905102747633,0.201585720039855,1.075517903672004,0.009307232399614028,9509,2604,0.27384583026606374,0.5939962662659428,0.6394009216589862,0.48528125910813175,main_interpretation,7.36286637223435
prior_utilisation,previous_icu_admissions_high,false_negative,9509,4331,939,0.21680905102747633,0.201585720039855,1.075517903672004,0.009307232399614028,9509,2604,0.27384583026606374,0.5939962662659428,0.6394009216589862,0.48528125910813175,main_interpretation,7.36286637223435
prior_utilisation,previous_nonpsych_admissions_365d_any,false_negative,7621,4331,770,0.17778803971369198,0.16156112865955777,1.1004382130080783,0.0025028439487659337,7621,1761,0.23107203779031624,0.5060347366887541,0.56274843838728,0.45668202764976956,main_interpretation,7.315370314438608
prior_utilisation,previous_nonpsych_admissions_365d_high,false_negative,7621,4331,770,0.17778803971369198,0.16156112865955777,1.1004382130080783,0.0025028439487659337,7621,1761,0.23107203779031624,0.5060347366887541,0.56274843838728,0.45668202764976956,main_interpretation,7.315370314438608
demographics,gender_M,false_negative,23471,4331,2065,0.4767951974139921,0.49757266116893856,0.9582423525719153,0.004320758507694966,23471,4855,0.20685100762643263,0.6113307130540441,0.5746652935118435,0.5199403652627655,main_interpretation,7.314618091160021
discharge_pathway,discharged_home_flag,false_negative,14459,4331,1340,0.309397367813438,0.3065230756184944,1.0093770825871557,0.6794417131666505,14459,2307,0.15955460266961755,0.429842835640321,0.41915908105765065,0.45144724556489263,main_interpretation,7.268696857378432
medical_complexity,had_icu_stay,false_negative,8070,4331,801,0.1849457400138536,0.17107968879184243,1.0810502481032824,0.01168284823392256,8070,1247,0.15452292441140025,0.470254563353439,0.35765838011226947,0.48903508771929827,main_interpretation,7.229100419627692
demographics,marital_status_SINGLE,false_negative,22190,4331,1938,0.44747171553913645,0.47041614551313304,0.9512252498285988,0.0015856703994859523,22190,5027,0.22654348805768365,0.6534153221955619,0.6144817982892381,0.5389043963712491,main_interpretation,7.200706325042611
care_process,num_total_poe_orders_high,false_negative,4742,4331,503,0.11613945970907412,0.10052786669775922,1.155296173331239,0.00037267005358430916,4742,850,0.1792492619148039,0.43962105537026136,0.4082352941176471,0.4211165048543689,main_interpretation,7.188918550764634
demographics,age_80plus,false_negative,5476,4331,569,0.13137843454167628,0.1160882745754807,1.131711493017789,0.001070303445039989,5476,700,0.12783053323593865,0.3340200584381712,0.18714285714285714,0.4532871972318339,main_interpretation,7.1814296000613
demographics,marital_status_WIDOWED,false_negative,4495,4331,477,0.11013622719926114,0.09529159865171398,1.1557810841415677,0.0005317959972252602,4495,710,0.15795328142380421,0.42111828209584296,0.32816901408450705,0.5065217391304347,main_interpretation,7.130719381130427
