subgroup_family,subgroup_name,false_positive_admissions,readmitted_60d_psych_rate_among_30d_false_positives,readmitted_60d_psych_count_among_30d_false_positives,readmitted_90d_psych_rate_among_30d_false_positives,readmitted_90d_psych_count_among_30d_false_positives,readmitted_365d_psych_rate_among_30d_false_positives,readmitted_365d_psych_count_among_30d_false_positives
prior_utilisation,previous_total_admissions_high,1564,0.2666240409207161,417,0.40281329923273657,630,0.6336317135549873,991
prior_utilisation,previous_ed_visits_365d_high,1772,0.2714446952595937,481,0.4006772009029345,710,0.6281038374717833,1113
prior_utilisation,previous_psych_admissions_365d_high,2556,0.2476525821596244,633,0.36932707355242567,944,0.6009389671361502,1536
prior_utilisation,previous_psych_admissions_90d_high,1973,0.23112012164216927,456,0.3487075519513431,688,0.560567663456665,1106
discharge_pathway,low_aftercare_quality_flag,809,0.15203955500618047,123,0.2620519159456119,212,0.5105067985166872,413
overall,all_false_positives,4498,0.1905291240551356,857,0.2883503779457537,1297,0.49644286349488664,2233
discharge_pathway,protective_aftercare_present_flag,3056,0.20484293193717276,626,0.3010471204188482,920,0.48887434554973824,1494
discharge_pathway,home_discharge_without_followup_order_flag,535,0.17570093457943925,94,0.2822429906542056,151,0.4616822429906542,247
intersection,age_70plus_x_cognitive_delirium,156,0.14743589743589744,23,0.23717948717948717,37,0.42948717948717946,67
demographics,age_80plus,158,0.12025316455696203,19,0.21518987341772153,34,0.4050632911392405,64
intersection,age_70plus_x_home_no_followup,35,0.05714285714285714,2,0.14285714285714285,5,0.37142857142857144,13
intersection,age_70plus_x_prior_psych_admission,352,0.10795454545454546,38,0.1903409090909091,67,0.3664772727272727,129
demographics,age_70plus,430,0.09767441860465116,42,0.1744186046511628,75,0.3372093023255814,145
intersection,age_70plus_x_charlson_high,277,0.10108303249097472,28,0.19133574007220217,53,0.33212996389891697,92
intersection,age_70plus_x_low_aftercare_quality,29,0.13793103448275862,4,0.13793103448275862,4,0.3103448275862069,9
intersection,age_70plus_x_depression,196,0.061224489795918366,12,0.1377551020408163,27,0.3010204081632653,59
intersection,age_70plus_x_no_prior_psych_admission,78,0.05128205128205128,4,0.10256410256410256,8,0.20512820512820512,16
