subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,pr_auc_difference_from_overall,recall_difference_from_overall,subgroup_size_flag,event_support_flag,interpretation_reliability
care_process,quiet_risk_summary_score_high,included,5811,2410,0.414730683187059,0.48347443247418603,0.38,0.924169361952367,0.9128637016939516,0.11310959415071922,0.7170491803278689,0.9074688796680498,0.7462511026168774,0.8010989010989011,0.8268599911424637,2538,863,223,2187,0.31638466739786075,0.3722183163028818,large,high_event_support,main_interpretation
care_process,quiet_risk_summary_score_any,included,47171,9319,0.1975578215428971,0.2634639407639277,0.38,0.80138249913702,0.5964790342960908,0.12278740412405476,0.5258275353152013,0.535250563365168,0.8811687625488746,0.5304972081893113,0.7082096629570213,33354,4498,4331,4988,0.0,0.0,large,high_event_support,main_interpretation
care_process,num_total_poe_orders_any,included,44816,8230,0.18363977151017494,0.2493189271501555,0.38,0.7835933032567817,0.53700197969576,0.12270709873351104,0.4934145129224652,0.4825030376670717,0.8885639315585196,0.4878977761395749,0.6855334846127956,32509,4077,4259,3971,-0.059477054600330814,-0.052747525698096265,large,high_event_support,main_interpretation
care_process,num_care_team_touchpoints_any,included,44925,8247,0.18357262103505842,0.24932301728918174,0.38,0.7834733353657088,0.5364401610779976,0.1227524605797901,0.49287572791475653,0.4823572208075664,0.8884072195866732,0.48755974996935897,0.6853822201971198,32585,4093,4269,3978,-0.0600388732180932,-0.052893342557601586,large,high_event_support,main_interpretation
care_process,orders_last_24h_before_discharge_any,included,44410,7997,0.18007205584327854,0.2456997353450355,0.38,0.7787605732370988,0.5176726223543198,0.12283515666086853,0.4833634253288625,0.4686757534075278,0.8899843462499657,0.4759062916640213,0.6793300498287468,32407,4006,4249,3748,-0.07880641194177107,-0.06657480995764015,large,high_event_support,main_interpretation
care_process,late_medication_change_intensity_score_high,included,5054,886,0.17530668777206174,0.23343223094251617,0.38,0.793860727546869,0.4809667519821582,0.12172235794260557,0.4495515695067265,0.4525959367945824,0.8821976967370442,0.45106861642294716,0.6673968167658133,3677,491,485,401,-0.11551228231393262,-0.08265462657058559,large,high_event_support,main_interpretation
care_process,late_medication_change_intensity_score_any,included,29135,5208,0.1787540758537841,0.2457918507467493,0.38,0.76563238593682,0.4680046056606716,0.12747868620689373,0.45205745341614906,0.44719662058371734,0.8820161324027249,0.44961389961389964,0.6646063764932211,21104,2823,2879,2329,-0.12847442863541925,-0.08805394278145062,large,high_event_support,main_interpretation
care_process,orders_last_24h_before_discharge_high,included,4765,676,0.14186778593913957,0.19667358607348798,0.38,0.7854222831930378,0.44007016502480006,0.10446743190746562,0.4629948364888124,0.3979289940828402,0.9236977256052825,0.42800318217979316,0.6608133598440613,3777,312,407,269,-0.15640886927129077,-0.13732156928232775,moderate,high_event_support,main_interpretation
care_process,num_total_poe_orders_high,included,4742,850,0.1792492619148039,0.23592182386947347,0.38,0.7718511577292788,0.43962105537026136,0.1283102387518198,0.4211165048543689,0.4082352941176471,0.8774409044193217,0.4145758661887694,0.6428380992684843,3415,477,503,347,-0.15685797892582948,-0.12701526924752088,moderate,high_event_support,main_interpretation
care_process,num_care_team_touchpoints_high,included,5029,866,0.17220123284947306,0.22010547357287563,0.38,0.7777376192666173,0.43756273040759625,0.12270708250223072,0.43557422969187676,0.35912240184757505,0.903194811434062,0.39367088607594936,0.6311586066408186,3760,403,555,311,-0.1589163038884946,-0.17612816151759292,large,high_event_support,main_interpretation
