subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives
intersection,quiet_psych_risk,included,964,766,0.7946058091286307,0.8525495579900723,0.38,0.9049436928027007,0.9735590768512108,0.1117538277200072,0.8095238095238095,0.9986945169712794,0.09090909090909091,0.8942139099941555,0.5448018039401852,18,180,1,765
intersection,quiet_medical_complexity,included,307,134,0.4364820846905538,0.48931357341889137,0.38,0.9185575015097921,0.9219177870138658,0.11218650717619007,0.7177914110429447,0.8731343283582089,0.7341040462427746,0.7878787878787878,0.8036191873004918,127,46,17,117
intersection,low_history_current_psych_risk,included,4779,1325,0.2772546557857292,0.33161084249961265,0.38,0.9062204062011778,0.8658757352804405,0.08959590926115535,0.8070607553366174,0.7418867924528302,0.9319629415170817,0.7731026346834448,0.8369248669849559,3219,235,342,983
intersection,age_70plus_x_low_aftercare_quality,included,415,79,0.19036144578313252,0.270021824672324,0.38,0.8740958408679929,0.7086972394848099,0.10058778249391503,0.6329113924050633,0.6329113924050633,0.9136904761904762,0.6329113924050633,0.7733009342977697,307,29,29,50
intersection,older_psych_risk,included,1247,285,0.2285485164394547,0.29698256277949064,0.38,0.8088813509866142,0.6639380852289365,0.12788586026013501,0.6175298804780877,0.543859649122807,0.9002079002079002,0.5783582089552238,0.7220337746653536,866,96,130,155
intersection,facility_medical_complexity,included,8868,1913,0.2157194406856112,0.27989777882322203,0.38,0.7358091351955274,0.496505349146989,0.14731246451740776,0.46274298056155505,0.4479874542603241,0.8569374550682962,0.4552456839309429,0.6524624546643102,5960,995,1056,857
intersection,prior_total_without_prior_psych,included,10296,1400,0.13597513597513597,0.19405277896470943,0.38,0.7447120696300102,0.4490938684602007,0.0993583011151097,0.6604477611940298,0.25285714285714284,0.9795413669064749,0.365702479338843,0.6161992548818088,8714,182,1046,354
intersection,age_70plus_x_prior_psych_admission,included,3713,730,0.1966065176407218,0.27598990179543836,0.38,0.7011498950674828,0.4359149222335993,0.14577458773440358,0.4200988467874794,0.3493150684931507,0.8819979886020785,0.381451009723261,0.6156565285476145,2631,352,475,255
intersection,age_70plus_x_depression,included,4335,669,0.15432525951557094,0.21910004041289718,0.38,0.7373639887235919,0.43479952662464766,0.11532349737253965,0.5,0.2929745889387145,0.9465357337697763,0.3694627709707823,0.6197551613542454,3470,196,473,196
intersection,home_psych_risk,included,2307,360,0.15604681404421328,0.23537683216777638,0.38,0.7718455743879472,0.4337629135512745,0.11751340052745077,0.43440233236151604,0.41388888888888886,0.9003595274781715,0.4238975817923186,0.6571242081835302,1753,194,211,149
intersection,age_70plus_x_home_no_followup,included,876,106,0.12100456621004566,0.1942739121620203,0.38,0.7453932859593237,0.39462032644503847,0.09644184914823545,0.47761194029850745,0.3018867924528302,0.9545454545454546,0.3699421965317919,0.6282161234991424,735,35,74,32
intersection,age_70plus_x_charlson_high,included,4085,701,0.17160342717258262,0.23422851804422865,0.38,0.7155928882413843,0.38686149663154246,0.13119622666268166,0.4205020920502092,0.2867332382310984,0.918144208037825,0.34096692111959287,0.6024387231344617,3107,277,500,201
intersection,older_medical_complexity,included,7372,1185,0.16074335322843192,0.21531375420740573,0.38,0.7316847152631862,0.38532079459206653,0.12260984122151455,0.4251655629139073,0.2708860759493671,0.9298529174074672,0.3309278350515464,0.6003694966784172,5753,434,864,321
intersection,age_70plus_x_cognitive_delirium,included,4863,652,0.1340736171087806,0.190155494267464,0.38,0.7265655389842263,0.3386993511845946,0.10760846966205267,0.44680851063829785,0.19325153374233128,0.9629541676561387,0.2698072805139186,0.578102850699235,4055,156,526,126
intersection,age_70plus_x_no_prior_psych_admission,included,7377,790,0.10708960281957436,0.1613121515341505,0.38,0.7180532041439506,0.3186985110077163,0.08863809637384842,0.5894736842105263,0.14177215189873418,0.9881584940033399,0.22857142857142856,0.5649653229510371,6509,78,678,112
