older_summary_source,subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,calibration_direction,pr_auc_average_precision,precision,recall_sensitivity,specificity,f1_score,interpretation_reliability
intersection_subgroup,intersection,age_70plus_x_no_prior_psych_admission,7377,790,0.10708960281957436,0.1613121515341505,,,0.3186985110077163,0.5894736842105263,0.14177215189873418,0.9881584940033399,0.22857142857142856,
global_subgroup,demographics,age_80plus,5476,700,0.12783053323593865,0.18721656507701176,0.059386031841073106,overestimates,0.3340200584381712,0.4532871972318339,0.18714285714285714,0.9669179229480737,0.2649140546006067,main_interpretation
intersection_subgroup,intersection,age_70plus_x_cognitive_delirium,4863,652,0.1340736171087806,0.190155494267464,,,0.3386993511845946,0.44680851063829785,0.19325153374233128,0.9629541676561387,0.2698072805139186,
global_subgroup,demographics,age_70plus,11090,1520,0.13706041478809738,0.1997069654854726,0.06264655069737521,overestimates,0.37847726345749133,0.4604767879548306,0.24144736842105263,0.955067920585162,0.31678895123003886,main_interpretation
global_subgroup,medical_complexity,age_65plus_x_charlson,11407,1736,0.15218725344086964,0.2175943754030564,0.06540712196218676,overestimates,0.3820892503632611,0.4335154826958106,0.27419354838709675,0.9356840037224693,0.3359209597741708,main_interpretation
intersection_subgroup,intersection,age_70plus_x_charlson_high,4085,701,0.17160342717258262,0.23422851804422865,,,0.38686149663154246,0.4205020920502092,0.2867332382310984,0.918144208037825,0.34096692111959287,
global_subgroup,demographics,age_65plus,14783,2144,0.14503145504971926,0.20726665971610103,0.06223520466638177,overestimates,0.3907978845348333,0.45161290322580644,0.2677238805970149,0.9448532320594983,0.33616398243045387,main_interpretation
intersection_subgroup,intersection,age_70plus_x_home_no_followup,876,106,0.12100456621004566,0.1942739121620203,,,0.39462032644503847,0.47761194029850745,0.3018867924528302,0.9545454545454546,0.3699421965317919,
global_subgroup,diagnosis,has_cognitive_delirium,6322,932,0.14742170199304017,0.20667697634479198,0.05925527435175182,overestimates,0.39554125161197157,0.45724907063197023,0.26394849785407726,0.9458256029684601,0.3346938775510204,main_interpretation
intersection_subgroup,intersection,age_70plus_x_depression,4335,669,0.15432525951557094,0.21910004041289718,,,0.43479952662464766,0.5,0.2929745889387145,0.9465357337697763,0.3694627709707823,
intersection_subgroup,intersection,age_70plus_x_prior_psych_admission,3713,730,0.1966065176407218,0.27598990179543836,,,0.4359149222335993,0.4200988467874794,0.3493150684931507,0.8819979886020785,0.381451009723261,
global_subgroup,overall,all_test_admissions,47171,9319,0.1975578215428971,0.2634639407639277,0.0659061192210306,overestimates,0.5964790342960908,0.5258275353152013,0.535250563365168,0.8811687625488746,0.5304972081893113,main_interpretation
intersection_subgroup,intersection,age_70plus_x_low_aftercare_quality,415,79,0.19036144578313252,0.270021824672324,,,0.7086972394848099,0.6329113924050633,0.6329113924050633,0.9136904761904762,0.6329113924050633,
