ranking_view,subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,pr_auc_average_precision,precision,recall_sensitivity,specificity,f1_score,interpretation_reliability
highest_pr_auc,discharge_pathway,discharged_to_psych_facility_flag,571,307,0.5376532399299475,0.5542380951249898,0.9761107967001248,0.9133333333333333,0.8925081433224755,0.9015151515151515,0.9028006589785832,supporting_interpretation
highest_pr_auc,diagnosis,new_self_harm_this_admission_flag,2147,731,0.34047508150908246,0.39214739744874805,0.9274422346980641,0.8296199213630406,0.86593707250342,0.9081920903954802,0.8473895582329317,main_interpretation
highest_pr_auc,care_process,quiet_risk_summary_score_high,5811,2410,0.414730683187059,0.48347443247418603,0.9128637016939516,0.7170491803278689,0.9074688796680498,0.7462511026168774,0.8010989010989011,main_interpretation
highest_pr_auc,diagnosis,has_self_harm_or_suicidal_ideation,3648,1234,0.33826754385964913,0.40469093995813,0.883581753399686,0.7247899159663865,0.8387358184764991,0.8371996685998343,0.777610818933133,main_interpretation
highest_pr_auc,discharge_pathway,low_aftercare_quality_flag,5719,1918,0.3353733170134639,0.40568830367931036,0.8664648749736266,0.6712718407151564,0.8613138686131386,0.7871612733491187,0.7545101621374743,main_interpretation
highest_pr_auc,diagnosis,new_psychosis_this_admission_flag,1452,417,0.2871900826446281,0.3529594248406803,0.8537695007471603,0.7592137592137592,0.7410071942446043,0.9053140096618357,0.75,main_interpretation
highest_pr_auc,diagnosis,self_harm_and_substance_use_flag,1867,617,0.3304767005891805,0.4094037471035157,0.8501417563985108,0.668856767411301,0.8249594813614263,0.7984,0.7387518142235123,main_interpretation
highest_pr_auc,diagnosis,has_psychotic_disorder,3064,946,0.3087467362924282,0.3869534911226526,0.8311904270120671,0.678741658722593,0.7526427061310782,0.8408876298394712,0.7137844611528822,main_interpretation
highest_pr_auc,diagnosis,psychosis_and_substance_use_flag,1077,318,0.29526462395543174,0.39022340887979956,0.8104171014114643,0.6240208877284595,0.7515723270440252,0.8102766798418972,0.68188302425107,main_interpretation
highest_pr_auc,diagnosis,has_severe_mental_illness,6453,1804,0.2795598946226561,0.3534244176944753,0.7631138642913055,0.6112469437652812,0.6929046563192904,0.8289954828995483,0.6495193556767992,main_interpretation
