subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,absolute_calibration_gap,calibration_direction,brier_score,pr_auc_average_precision,recall_sensitivity,interpretation_reliability
discharge_pathway,home_discharge_without_discharge_planning_order_flag,309,68,0.22006472491909385,0.3371299105099404,0.11706518559084655,0.11706518559084655,overestimates,0.15734808003475081,0.5563480865378473,0.6764705882352942,supporting_interpretation
prior_utilisation,previous_psych_admissions_365d_high,6826,2879,0.42176970407266334,0.5222559348489536,0.10048623077629026,0.10048623077629026,overestimates,0.2135174148666576,0.6816163102861432,0.8891976380687738,main_interpretation
prior_utilisation,previous_psych_admissions_90d_high,5289,2383,0.4505577613915674,0.5496181364517175,0.09906037506015014,0.09906037506015014,overestimates,0.21265444879017917,0.7133764475314095,0.9148132605958875,main_interpretation
diagnosis,psychosis_and_substance_use_flag,1077,318,0.29526462395543174,0.39022340887979956,0.09495878492436782,0.09495878492436782,overestimates,0.12766085873568686,0.8104171014114643,0.7515723270440252,main_interpretation
prior_utilisation,previous_psych_admissions_90d_any,13509,4287,0.31734399289362647,0.40897871993516766,0.09163472704154119,0.09163472704154119,overestimates,0.18185906717911143,0.6309631207156406,0.7315138791695824,main_interpretation
prior_utilisation,previous_ed_visits_365d_high,4734,2161,0.4564850021123785,0.547011192103384,0.09052618999100548,0.09052618999100548,overestimates,0.21901775393374961,0.6902641872452628,0.9079130032392411,main_interpretation
prior_utilisation,previous_total_admissions_high,5064,2035,0.4018562401263823,0.4903856486193119,0.08852940849292956,0.08852940849292956,overestimates,0.20349579898587808,0.6825283350278294,0.8275184275184275,main_interpretation
prior_utilisation,previous_psych_admissions_365d_any,19427,5501,0.2831626087404128,0.3708382956171663,0.08767568687675348,0.08767568687675348,overestimates,0.17087072511310317,0.6046008365214521,0.6556989638247591,main_interpretation
prior_utilisation,previous_ed_visits_365d_any,19619,5368,0.27361231459299656,0.35914791969258775,0.08553560509959118,0.08553560509959118,overestimates,0.16552017801595262,0.6044724508880588,0.6471684053651267,main_interpretation
demographics,race_HISPANIC/LATINO - PUERTO RICAN,1226,246,0.200652528548124,0.28599645170441235,0.08534392315628836,0.08534392315628836,overestimates,0.13117596723014513,0.5699710023557983,0.5813008130081301,main_interpretation
demographics,marital_status_DIVORCED,4289,914,0.21310328747959897,0.29318901678731246,0.08008572930771349,0.08008572930771349,overestimates,0.13310177253428768,0.6045911566355169,0.5612691466083151,main_interpretation
discharge_pathway,home_discharge_with_psych_risk,2307,360,0.15604681404421328,0.23537683216777638,0.0793300181235631,0.0793300181235631,overestimates,0.11751340052745077,0.4337629135512745,0.41388888888888886,main_interpretation
diagnosis,self_harm_and_substance_use_flag,1867,617,0.3304767005891805,0.4094037471035157,0.07892704651433519,0.07892704651433519,overestimates,0.12253718448105472,0.8501417563985108,0.8249594813614263,main_interpretation
