subgroup_family,subgroup_name,outcome_window,admissions_with_window,readmission_rate,readmissions
demographics,gender_F,readmitted_30d,23700,0.18835443037974683,4464
demographics,gender_F,readmitted_60d_psych,23700,0.2361181434599156,5596
demographics,gender_F,readmitted_90d_psych,23700,0.2652320675105485,6286
demographics,gender_F,readmitted_365d_psych,23700,0.36658227848101266,8688
demographics,gender_M,readmitted_30d,23471,0.20685100762643263,4855
demographics,gender_M,readmitted_60d_psych,23471,0.26194026671211285,6148
demographics,gender_M,readmitted_90d_psych,23471,0.29547100677431726,6935
demographics,gender_M,readmitted_365d_psych,23471,0.40228366920881087,9442
demographics,age_under_40,readmitted_30d,11027,0.21574317584111727,2379
demographics,age_under_40,readmitted_60d_psych,11027,0.2567334723859617,2831
demographics,age_under_40,readmitted_90d_psych,11027,0.2846649133943956,3139
demographics,age_under_40,readmitted_365d_psych,11027,0.37489797769112176,4134
demographics,age_40_to_64,readmitted_30d,21361,0.22452132390805674,4796
demographics,age_40_to_64,readmitted_60d_psych,21361,0.28673751228875055,6125
demographics,age_40_to_64,readmitted_90d_psych,21361,0.3219886709423716,6878
demographics,age_40_to_64,readmitted_365d_psych,21361,0.43874350451757876,9372
demographics,age_65plus,readmitted_30d,14783,0.14503145504971926,2144
demographics,age_65plus,readmitted_60d_psych,14783,0.18859500777920585,2788
demographics,age_65plus,readmitted_90d_psych,14783,0.21673543935601705,3204
demographics,age_65plus,readmitted_365d_psych,14783,0.3127917202191707,4624
demographics,age_70plus,readmitted_30d,11090,0.13706041478809738,1520
demographics,age_70plus,readmitted_60d_psych,11090,0.17962128043282236,1992
demographics,age_70plus,readmitted_90d_psych,11090,0.20820559062218214,2309
demographics,age_70plus,readmitted_365d_psych,11090,0.30324616771866547,3363
demographics,age_80plus,readmitted_30d,5476,0.12783053323593865,700
demographics,age_80plus,readmitted_60d_psych,5476,0.17092768444119796,936
demographics,age_80plus,readmitted_90d_psych,5476,0.20051132213294376,1098
demographics,age_80plus,readmitted_365d_psych,5476,0.2949233016800584,1615
demographics,insurance_grouped_Medicare,readmitted_30d,21195,0.18759141306912008,3976
demographics,insurance_grouped_Medicare,readmitted_60d_psych,21195,0.24085869308799246,5105
demographics,insurance_grouped_Medicare,readmitted_90d_psych,21195,0.27497051191318705,5828
demographics,insurance_grouped_Medicare,readmitted_365d_psych,21195,0.3890068412361406,8245
demographics,insurance_grouped_Private,readmitted_30d,11924,0.17661858436766187,2106
demographics,insurance_grouped_Private,readmitted_60d_psych,11924,0.21444146259644414,2557
demographics,insurance_grouped_Private,readmitted_90d_psych,11924,0.23465280107346528,2798
demographics,insurance_grouped_Private,readmitted_365d_psych,11924,0.30862126803086215,3680
demographics,insurance_grouped_Medicaid,readmitted_30d,11809,0.23930900160894233,2826
demographics,insurance_grouped_Medicaid,readmitted_60d_psych,11809,0.3047675501735964,3599
demographics,insurance_grouped_Medicaid,readmitted_90d_psych,11809,0.3454145143534592,4079
demographics,insurance_grouped_Medicaid,readmitted_365d_psych,11809,0.47023456685578796,5553
demographics,insurance_grouped_Other / unknown,readmitted_30d,2243,0.18323673651359787,411
demographics,insurance_grouped_Other / unknown,readmitted_60d_psych,2243,0.21533660276415514,483
demographics,insurance_grouped_Other / unknown,readmitted_90d_psych,2243,0.23004904146232724,516
demographics,insurance_grouped_Other / unknown,readmitted_365d_psych,2243,0.29068212215782435,652
demographics,race_WHITE,readmitted_30d,30368,0.19533719704952582,5932
demographics,race_WHITE,readmitted_60d_psych,30368,0.2484523182297155,7545
demographics,race_WHITE,readmitted_90d_psych,30368,0.2790766596417281,8475
demographics,race_WHITE,readmitted_365d_psych,30368,0.3817834562697576,11594
demographics,race_BLACK/AFRICAN AMERICAN,readmitted_30d,6481,0.2482641567659312,1609
demographics,race_BLACK/AFRICAN AMERICAN,readmitted_60d_psych,6481,0.3078228668415368,1995
demographics,race_BLACK/AFRICAN AMERICAN,readmitted_90d_psych,6481,0.3471686468137633,2250
demographics,race_BLACK/AFRICAN AMERICAN,readmitted_365d_psych,6481,0.47137787378490975,3055
demographics,race_OTHER,readmitted_30d,1419,0.17124735729386892,243
demographics,race_OTHER,readmitted_60d_psych,1419,0.20084566596194503,285
demographics,race_OTHER,readmitted_90d_psych,1419,0.222692036645525,316
demographics,race_OTHER,readmitted_365d_psych,1419,0.30021141649048627,426
demographics,race_UNKNOWN,readmitted_30d,1278,0.048513302034428794,62
demographics,race_UNKNOWN,readmitted_60d_psych,1278,0.056338028169014086,72
demographics,race_UNKNOWN,readmitted_90d_psych,1278,0.06259780907668232,80
demographics,race_UNKNOWN,readmitted_365d_psych,1278,0.11267605633802817,144
demographics,race_WHITE - OTHER EUROPEAN,readmitted_30d,1262,0.196513470681458,248
demographics,race_WHITE - OTHER EUROPEAN,readmitted_60d_psych,1262,0.2432646592709984,307
demographics,race_WHITE - OTHER EUROPEAN,readmitted_90d_psych,1262,0.2694136291600634,340
demographics,race_WHITE - OTHER EUROPEAN,readmitted_365d_psych,1262,0.3763866877971474,475
demographics,race_HISPANIC/LATINO - PUERTO RICAN,readmitted_30d,1226,0.200652528548124,246
demographics,race_HISPANIC/LATINO - PUERTO RICAN,readmitted_60d_psych,1226,0.26508972267536707,325
demographics,race_HISPANIC/LATINO - PUERTO RICAN,readmitted_90d_psych,1226,0.31402936378466556,385
