subgroup_family,interpretation_reliability,subgroup_count,median_admissions,median_readmissions,median_pr_auc,median_recall
care_process,main_interpretation,16,19424.5,3809.0,0.4398456101975307,0.42931297398241597
demographics,exploratory_only,2,1333.5,72.5,0.6489130505431024,0.535172949863972
demographics,main_interpretation,22,11449.5,2125.0,0.5910455187647712,0.5372503519696388
demographics,supporting_interpretation,5,500.0,76.0,0.4926122113716312,0.44
diagnosis,main_interpretation,13,3801.0,980.0,0.7631138642913055,0.6929046563192904
diagnosis,supporting_interpretation,1,904.0,267.0,0.6757012689362834,0.6666666666666666
discharge_pathway,main_interpretation,6,11287.5,2112.5,0.43180287459579775,0.41652398497326976
discharge_pathway,supporting_interpretation,4,418.0,117.5,0.5173527510750346,0.6436245156745333
medical_complexity,main_interpretation,6,6177.0,1036.0,0.46215668541731714,0.42965975484018787
overall,main_interpretation,1,47171.0,9319.0,0.5964790342960908,0.535250563365168
prior_utilisation,main_interpretation,13,9509.0,2604.0,0.6044724508880588,0.6471684053651267
