subgroup_family,subgroup_name,subgroup_admissions,complement_admissions,subgroup_readmission_rate,complement_readmission_rate,readmission_rate_difference,subgroup_pr_auc,complement_pr_auc,pr_auc_difference,subgroup_recall,complement_recall,recall_difference,subgroup_precision,complement_precision,precision_difference,absolute_pr_auc_difference,absolute_recall_difference
care_process,orders_last_12h_before_discharge_any,43122,4049,0.16713046704698298,0.5216102741417634,-0.35447980709478044,0.4257486028456738,0.9424301356023745,-0.5166815327567007,0.4147356736506175,0.9464962121212122,-0.5317605384705947,0.43737196371085746,0.7537707390648567,-0.31639877535399924,0.5166815327567007,0.5317605384705947
care_process,late_order_type_diversity_last_12h_any,43044,4127,0.16720100362419849,0.514174945480979,-0.3469739418567805,0.42508939905811105,0.9417626933531262,-0.5166732942950152,0.4142003612616368,0.9458058435438266,-0.5316054822821898,0.4372249926664711,0.7522488755622189,-0.3150238828957478,0.5166732942950152,0.5316054822821898
care_process,care_team_touchpoints_last_12h_before_discharge_any,43117,4054,0.1671498480877612,0.5209669462259496,-0.3538170981381884,0.42575434946210267,0.9424218405006697,-0.516667491038567,0.4147356736506175,0.9464962121212122,-0.5317605384705947,0.43737196371085746,0.7537707390648567,-0.31639877535399924,0.516667491038567,0.5317605384705947
care_process,quiet_risk_summary_score_high,5811,41360,0.414730683187059,0.16704545454545455,0.24768522864160447,0.9128637016939516,0.4202312253659104,0.4926324763280412,0.9074688796680498,0.4054132291214358,0.502055650546614,0.7170491803278689,0.43520820385332504,0.28184097647454387,0.4926324763280412,0.502055650546614
care_process,orders_last_24h_before_discharge_any,44410,2761,0.18007205584327854,0.4788120246287577,-0.29873996878547915,0.5176726223543198,0.923261788126086,-0.4055891657717662,0.4686757534075278,0.9379727685325264,-0.4692970151249986,0.4833634253288625,0.7159353348729792,-0.23257190954411672,0.4055891657717662,0.4692970151249986
discharge_pathway,protective_aftercare_present_flag,34278,12893,0.17290973802438883,0.26308849763437525,-0.09017875960998642,0.41507309006903736,0.8191239766161689,-0.4040508865471315,0.3919352117428716,0.7856721698113207,-0.3937369580684491,0.4318646588585239,0.6488921353786219,-0.21702747652009802,0.4040508865471315,0.3937369580684491
discharge_pathway,discharged_to_psych_facility_flag,571,46600,0.5376532399299475,0.19339055793991416,0.34426268199003335,0.9761107967001248,0.5750775340967954,0.4010332626033294,0.8925081433224755,0.5230803373280071,0.36942780599446845,0.9133333333333333,0.5131722185935119,0.4001611147398214,0.4010332626033294,0.36942780599446845
care_process,num_care_team_touchpoints_any,44925,2246,0.18357262103505842,0.4772929652715939,-0.2937203442365355,0.5364401610779976,0.9168241622214484,-0.3803840011434507,0.4823572208075664,0.9421641791044776,-0.4598069582969112,0.49287572791475653,0.7137809187279152,-0.22090519081315863,0.3803840011434507,0.4598069582969112
care_process,num_total_poe_orders_any,44816,2355,0.18363977151017494,0.4624203821656051,-0.27878061065543014,0.53700197969576,0.9120617137689335,-0.3750597340731735,0.4825030376670717,0.9338842975206612,-0.45138125985358946,0.4934145129224652,0.7072322670375522,-0.21381775411508697,0.3750597340731735,0.45138125985358946
diagnosis,new_self_harm_this_admission_flag,2147,45024,0.34047508150908246,0.19074271499644635,0.1497323665126361,0.9274422346980641,0.5544986600208479,0.37294357467721617,0.86593707250342,0.5071029343269678,0.35883413817645216,0.8296199213630406,0.4992548435171386,0.330365077845902,0.37294357467721617,0.35883413817645216
