processed_feature_name,clean_train_nonzero_count,clean_test_nonzero_count,clean_train_nonzero_percent,clean_test_nonzero_percent,all_zero_train,near_zero_train,core_rapid_trial_keep,clinically_relevant_extra_candidate,explicit_aftercare_addback_candidate,rapid_trial_mean_abs_shap,high_recent_shap_signal,extra_keep_after_sparsity_check,keep_in_primary_reduced_matrix,primary_reduced_selection_reason
num__anchor_age,191320,47171,100.0,100.0,False,False,True,False,False,0.03222986958238407,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hospital_los_days,191320,47171,100.0,100.0,False,False,True,False,False,0.01253886038251763,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__discharged_against_advice,191320,47171,100.0,100.0,False,False,True,False,False,0.004634051389753353,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__not_married_flag,191320,47171,100.0,100.0,False,False,True,False,False,0.008710554984089715,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__single_or_divorced_or_widowed,191320,47171,100.0,100.0,False,False,True,False,False,0.002220642094408444,False,False,True,kept_rapid_trial_core
num__non_english_language_flag,191320,47171,100.0,100.0,False,False,False,False,False,9.054628664904036e-05,False,False,False,removed_not_selected_by_signal_or_family_rule
num__public_insurance_flag,191320,47171,100.0,100.0,False,False,True,False,False,0.01780504062367784,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__medicaid_flag,191320,47171,100.0,100.0,False,False,True,False,False,0.005046576821675225,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__medicare_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0007556243547043312,False,False,False,removed_not_selected_by_signal_or_family_rule
num__insurance_missing_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__admitted_from_facility_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0001913115622989863,False,False,False,removed_not_selected_by_signal_or_family_rule
num__admitted_from_hospital_transfer_flag,191320,47171,100.0,100.0,False,False,True,False,False,0.002170268280732015,False,False,True,kept_rapid_trial_core
num__emergency_room_admission_flag,191320,47171,100.0,100.0,False,False,True,False,False,0.007678563510615296,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__transfer_from_hospital_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.000719596429773654,False,False,False,removed_not_selected_by_signal_or_family_rule
