processed_feature_name,train_nonzero_count,test_nonzero_count,train_nonzero_percent,test_nonzero_percent,all_zero_train,all_zero_test,very_rare_train,rare_train,timing_or_leakage_flags,has_timing_or_leakage_flag,feature_family,random_forest_importance,random_forest_importance_normalised,regularised_random_forest_importance,regularised_random_forest_importance_normalised,xgboost_importance,xgboost_importance_normalised,targeted_xgboost_importance,targeted_xgboost_importance_normalised,catboost_importance,catboost_importance_normalised,targeted_catboost_importance,targeted_catboost_importance_normalised,lightgbm_importance,lightgbm_importance_normalised,targeted_lightgbm_importance,targeted_lightgbm_importance_normalised,available_model_signal_count,mean_available_model_signal,removal_review_reason,review_for_removal
num__sodium_lab_severe_abnormal,0,0,0.0,0.0,True,True,True,True,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__num_discharge_planning_orders,0,0,0.0,0.0,True,True,True,True,,False,num_discharge_planning_orders,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_suicide_precaution_order,0,0,0.0,0.0,True,True,True,True,,False,had_suicide_precaution_order,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_elopement_precaution_order,0,0,0.0,0.0,True,True,True,True,,False,safety_observation_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_restraint_order,0,0,0.0,0.0,True,True,True,True,,False,had_restraint_order,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__first_discharge_planning_order_hours,0,0,0.0,0.0,True,True,True,True,,False,first_discharge_planning_order_hours,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__last_discharge_planning_order_hours,0,0,0.0,0.0,True,True,True,True,,False,last_discharge_planning_order_hours,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__discharge_planning_first_72h_flag,0,0,0.0,0.0,True,True,True,True,,False,discharge_planning_first_72h_flag,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_psych_followup_order,0,0,0.0,0.0,True,True,True,True,,False,psychiatric_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_sitter_order,0,0,0.0,0.0,True,True,True,True,,False,safety_observation_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_behavioral_observation_order,0,0,0.0,0.0,True,True,True,True,,False,had_behavioral_observation_order,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_ciWA_protocol_order,0,0,0.0,0.0,True,True,True,True,,False,had_ciWA_protocol_order,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_alcohol_withdrawal_protocol_order,0,0,0.0,0.0,True,True,True,True,,False,had_alcohol_withdrawal_protocol_order,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__placement_related_order_flag,0,0,0.0,0.0,True,True,True,True,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__placement_related_orders_last_48h,0,0,0.0,0.0,True,True,True,True,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__awaiting_bed_or_placement_flag,0,0,0.0,0.0,True,True,True,True,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__delayed_discharge_planning_flag,0,0,0.0,0.0,True,True,True,True,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__transport_delay_order_flag,0,0,0.0,0.0,True,True,True,True,,False,transport_delay_order_flag,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__social_barrier_order_flag,0,0,0.0,0.0,True,True,True,True,,False,social_barrier_order_flag,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
