feature_family,processed_feature_count,mean_train_nonzero_percent,min_train_nonzero_percent,max_train_nonzero_percent,all_zero_feature_count,very_rare_feature_count,timing_leakage_review_count,total_review_flag_count
laboratory_features,282,99.64539007092199,0.0,100.0,1,1,80,82
psychiatric_features,114,85.96491228070175,0.0,100.0,7,7,1,15
prior_utilisation_features,107,100.0,100.0,100.0,0,0,0,0
vital_sign_features,101,100.0,100.0,100.0,0,0,70,70
discharge_readiness_trajectory_features,60,98.33333333333333,0.0,100.0,1,1,41,43
ed_timing_features,54,87.03703703703704,0.0,100.0,7,7,0,14
lab_vital_dynamics_features,45,100.0,100.0,100.0,0,0,0,0
emar_process_features,42,88.0952380952381,0.0,100.0,5,5,0,10
comorbidity_features,37,100.0,100.0,100.0,0,0,0,0
race,33,3.0303030303030307,0.08049341417520385,64.57662554881874,0,0,0,0
medication_features,30,93.33333333333333,0.0,100.0,2,2,1,5
pharmacy_complexity_features,30,93.33333333333333,0.0,100.0,2,2,0,4
icu_care_features,28,89.28571428571429,0.0015680535228935815,100.0,0,1,5,6
service_transfer_features,28,85.71428571428571,1.3333681789671754,100.0,0,0,3,3
discharge_readiness_specificity_features,27,100.0,100.0,100.0,0,0,0,0
language,26,3.8461538461538463,0.007317583106836713,92.5987873719423,0,10,0,10
utilisation_trajectory_features,24,91.66666666666667,0.0,100.0,2,2,0,4
safety_observation_features,23,91.30434782608695,0.0,100.0,2,2,5,9
first_service,20,5.0,0.0036587915534183565,59.9278695379469,0,3,0,3
last_service,20,5.0,0.0015680535228935815,59.73238553209283,0,3,20,23
discharge_location,19,10.526315789473685,0.009931005644992682,32.67509931005645,0,1,19,20
discharge_continuity_and_mixed_risk_features,18,88.88888888888889,0.0,100.0,2,2,0,4
healthcare_intensity_features,18,94.44444444444444,0.0,100.0,1,1,2,4
admission_location,18,11.11111111111111,0.055927242316537736,47.55279113527075,0,0,0,0
infection_microbiology_features,17,76.47058823529412,0.0,100.0,1,1,0,2
procedure_features,17,82.3529411764706,0.0,100.0,1,1,1,3
first_icu_careunit,16,6.25,0.0005226845076311938,83.05665900062722,0,6,0,6
last_icu_careunit,16,6.25,0.0005226845076311938,83.05665900062722,0,6,16,22
care_team_complexity_features,15,100.0,100.0,100.0,0,0,7,7
prior_instability_features,14,100.0,100.0,100.0,0,0,1,1
icu_event_burden_features,13,100.0,100.0,100.0,0,0,0,0
insurance,10,20.0,0.01777127325946059,44.39577670917834,0,1,0,1
admission_discharge_timing_features,10,70.0,24.660255070039725,100.0,0,0,0,0
admission_type,9,11.11111111111111,0.7537110600041814,33.89870374242108,0,0,0,0
laboratory_activity_features,7,100.0,100.0,100.0,0,0,0,0
psychiatric_acuity_specificity_features,7,100.0,100.0,100.0,0,0,2,2
icu_type,6,16.666666666666668,0.051223081747856995,83.05665900062722,0,0,0,0
time_since_previous_psych_category,6,16.666666666666668,6.210014635166214,45.128580388877275,0,0,0,0
anchor_year_group,5,20.0,8.116767719004809,40.42128371315074,0,0,0,0
drg_mortality_category,5,20.0,8.669767928078612,33.56000418147606,0,0,0,0
drg_severity_category,5,20.0,8.890863474806606,33.56000418147606,0,0,0,0
marital_status,5,20.0,2.89410411875392,47.637466025507,0,0,0,0
safe_discharge_buffer_features,4,100.0,100.0,100.0,0,0,0,0
total_diagnosis_burden_category,4,25.0,17.025402467070876,39.48097428392222,0,0,0,0
unique_drug_burden_category,4,25.0,0.8054568262596696,74.56564917415848,0,0,0,0
discharge_planning_first_72h_flag,1,0.0,0.0,0.0,1,1,0,2
