feature_group,candidate_feature,engineered_available,full_processed_available,primary_reduced_available,engineered_nonzero_count,engineered_nonzero_percent,engineered_unique_values,recommendation
true_ed_only_and_crisis_contacts,previous_ed_visits_without_admission_30d,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
true_ed_only_and_crisis_contacts,previous_ed_visits_without_admission_90d,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
true_ed_only_and_crisis_contacts,prior_ed_only_high_use_flag,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
true_ed_only_and_crisis_contacts,ed_visit_to_admission_ratio_365d,True,True,True,99515.0,41.72694147787548,205.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,aftercare_quality_score,True,True,True,208961.0,87.61798139133133,6.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,protective_aftercare_present_flag,True,True,True,172750.0,72.43459920919447,2.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,low_aftercare_quality_flag,True,True,True,29530.0,12.382018608668671,2.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,home_discharge_without_followup_order_flag,True,True,True,41884.0,17.562088296833004,2.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,home_discharge_without_discharge_planning_order_flag,True,True,True,1584.0,0.66417600664176,2.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,psychosis_home_discharge_no_followup_flag,True,True,True,3159.0,1.3245782859730555,2.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,smi_home_discharge_no_followup_flag,True,True,True,8938.0,3.74773052232579,2.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,substance_use_home_discharge_no_followup_flag,True,True,True,16862.0,7.070287767672575,2.0,already_in_primary_reduced_matrix
aftercare_and_discharge_support,self_harm_no_psych_followup_flag,True,True,True,18927.0,7.93614853390694,2.0,already_in_primary_reduced_matrix
placement_and_social_barrier_orders,placement_related_order_flag,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
placement_and_social_barrier_orders,awaiting_bed_or_placement_flag,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
placement_and_social_barrier_orders,transport_delay_order_flag,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
placement_and_social_barrier_orders,social_barrier_order_flag,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
placement_and_social_barrier_orders,delayed_discharge_planning_flag,True,True,False,0.0,0.0,1.0,engineered_but_all_zero_do_not_add_as_is
discharge_medication_continuity,discharge_medication_continuity_score,True,True,True,157773.0,66.15469766154698,5.0,already_in_primary_reduced_matrix
discharge_medication_continuity,no_psychotropic_discharge_med_in_psychosis_flag,True,True,True,7890.0,3.3083009421739185,2.0,already_in_primary_reduced_matrix
discharge_medication_continuity,smi_without_psychotropic_continuity_flag,True,True,True,11461.0,4.805632078359351,2.0,already_in_primary_reduced_matrix
discharge_medication_continuity,home_discharge_without_medication_or_followup_plan_flag,True,True,True,9329.0,3.91167800881375,2.0,already_in_primary_reduced_matrix
notes_and_narrative_risk,discharge_note_text,False,False,False,,,,not_available_in_current_structured_extract
notes_and_narrative_risk,psychiatric_risk_assessment_text,False,False,False,,,,not_available_in_current_structured_extract
notes_and_narrative_risk,mental_state_exam_text,False,False,False,,,,not_available_in_current_structured_extract
notes_and_narrative_risk,housing_instability_text,False,False,False,,,,not_available_in_current_structured_extract
notes_and_narrative_risk,family_support_text,False,False,False,,,,not_available_in_current_structured_extract
occupation_and_richer_social_context,occupation,False,False,False,,,,not_available_in_current_structured_extract
occupation_and_richer_social_context,employment_status,False,False,False,,,,not_available_in_current_structured_extract
occupation_and_richer_social_context,education_level,False,False,False,,,,not_available_in_current_structured_extract
occupation_and_richer_social_context,income,False,False,False,,,,not_available_in_current_structured_extract
occupation_and_richer_social_context,living_arrangement,False,False,False,,,,not_available_in_current_structured_extract
occupation_and_richer_social_context,housing_status,False,False,False,,,,not_available_in_current_structured_extract
occupation_and_richer_social_context,caregiver_availability,False,False,False,,,,not_available_in_current_structured_extract
outpatient_community_followup_actual,community_mental_health_contact,False,False,False,,,,not_available_in_current_structured_extract
outpatient_community_followup_actual,outpatient_appointment_attended,False,False,False,,,,not_available_in_current_structured_extract
outpatient_community_followup_actual,crisis_team_contact,False,False,False,,,,not_available_in_current_structured_extract
outpatient_community_followup_actual,post_discharge_medication_fill,False,False,False,,,,not_available_in_current_structured_extract
outpatient_community_followup_actual,primary_care_followup_attended,False,False,False,,,,not_available_in_current_structured_extract
