processed_feature_name,train_nonzero_count,test_nonzero_count,train_nonzero_percent,test_nonzero_percent,all_zero_train,all_zero_test,very_rare_train,rare_train,timing_or_leakage_flags,has_timing_or_leakage_flag,feature_family,random_forest_importance,random_forest_importance_normalised,regularised_random_forest_importance,regularised_random_forest_importance_normalised,xgboost_importance,xgboost_importance_normalised,targeted_xgboost_importance,targeted_xgboost_importance_normalised,catboost_importance,catboost_importance_normalised,targeted_catboost_importance,targeted_catboost_importance_normalised,lightgbm_importance,lightgbm_importance_normalised,targeted_lightgbm_importance,targeted_lightgbm_importance_normalised,available_model_signal_count,mean_available_model_signal,removal_review_reason,review_for_removal
num__anchor_age,191320,47171,100.0,100.0,False,False,False,False,,False,anchor_age,0.0055747658039197,0.29627708049840645,0.0050369696862148,0.17621250359999446,0.00051525654,0.004681198655102564,0.00041266807,0.0022218197535651333,0.8328057317778773,0.16430356579070668,0.5952735851252127,0.08916591339119902,955.0,0.8916900093370682,988.0,0.9545893719806763,8,0.32239268287583983,,False
num__hospital_los_days,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,hospital_los_days,0.0035091660589898,0.18649850262957748,0.0032301078273363,0.11300155105372522,0.00032289757,0.002933582697310132,0.00031065245,0.001672563980788252,0.1258646124988548,0.02483172707791003,0.3205887618003,0.04802092765944663,256.0,0.23902894491129786,281.0,0.2714975845410628,8,0.1109356730688898,full_record_only_not_for_early_prediction,True
num__discharged_against_advice,191320,47171,100.0,100.0,False,False,False,False,,False,ed_timing_features,6.605260063050895e-05,0.0035104383506791496,5.4251094525518976e-05,0.0018979112015592903,0.0013448831,0.012218505676784166,0.0008168302,0.00439784321977845,0.0538542532093121,0.010624861834699295,0.0520214964031008,0.007792289728064725,103.0,0.096171802054155,83.0,0.08019323671497584,8,0.02710086109758699,,False
num__not_married_flag,191320,47171,100.0,100.0,False,False,False,False,,False,ed_timing_features,0.0004082738473111,0.021698164152498495,0.0003133453171206,0.010962020075734975,0.00044608177,0.004052733385567064,0.0002826873,0.0015219986058577126,0.0675015360239444,0.01331732316660134,0.0711158519956193,0.010652429501720457,92.0,0.08590102707749767,87.0,0.08405797101449275,8,0.029020458372496307,,False
num__single_or_divorced_or_widowed,191320,47171,100.0,100.0,False,False,False,False,,False,ed_timing_features,0.000402681775631,0.02140096733211316,0.0003069515006072,0.010738339870061179,0.00050579454,0.004595234677479727,0.00037432255,0.0020153660926440766,0.0927190561738177,0.01829246721631625,0.0577653769477163,0.00865266446661935,12.0,0.011204481792717087,7.0,0.00676328502415459,8,0.010457850809013177,,False
num__non_english_language_flag,191320,47171,100.0,100.0,False,False,False,False,,False,non_english_language_flag,,,,,,,,,,,,,,,,,0,,,False
num__public_insurance_flag,191320,47171,100.0,100.0,False,False,False,False,,False,public_insurance_flag,0.0007830646858244,0.04161683685336694,0.0008290574972499,0.029003608582074843,0.0010549204,0.00958414221723466,0.0004997596,0.0026907236882025057,0.3166006159524871,0.062461878139909256,0.2880027301583978,0.04313987238041295,126.0,0.11764705882352941,120.0,0.11594202898550725,8,0.05276076870877972,,False
num__medicaid_flag,191320,47171,100.0,100.0,False,False,False,False,,False,medication_features,0.0004896633125367,0.026023697096575274,0.0004165046471346,0.014570928793453591,0.0003146939,0.0028590508748301976,0.0002716064,0.0014623386411134573,0.0148493256186995,0.002929611379512398,0.0752229686838089,0.011267633703717141,53.0,0.04948646125116713,103.0,0.09951690821256039,8,0.026014578744116196,,False
num__medicare_flag,191320,47171,100.0,100.0,False,False,False,False,,False,medication_features,,,,,,,,,,,,,,,,,0,,,False
num__insurance_missing_flag,191320,47171,100.0,100.0,False,False,False,False,,False,insurance_missing_flag,,,,,,,,,,,,,,,,,0,,,False
num__admitted_from_facility_flag,191320,47171,100.0,100.0,False,False,False,False,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,,False
num__admitted_from_hospital_transfer_flag,191320,47171,100.0,100.0,False,False,False,False,,False,service_transfer_features,0.0001313489960976,0.006980687343463167,8.572575546654427e-05,0.0029990154666014184,0.00052741874,0.004791694437034974,0.00044956125,0.0024204539636115616,0.0938010906575026,0.018505940919959482,0.0725214265497422,0.010862970238097047,64.0,0.059757236227824466,42.0,0.04057971014492753,8,0.01836221359268996,,False
num__emergency_room_admission_flag,191320,47171,100.0,100.0,False,False,False,False,,False,emergency_room_admission_flag,0.0003624520025586,0.019262911647940105,0.0003195703463231,0.011179795454403162,0.0005722471,0.005198968177883473,0.0004918327,0.002648044973068244,0.089264538580987,0.017610928248786427,0.1389214152655043,0.020809011505426026,75.0,0.0700280112044818,96.0,0.0927536231884058,8,0.029936411800049377,,False
num__transfer_from_hospital_flag,191320,47171,100.0,100.0,False,False,False,False,,False,service_transfer_features,,,,,,,,,,,,,,,,,0,,,False
num__transfer_from_snf_flag,191320,47171,100.0,100.0,False,False,False,False,,False,service_transfer_features,,,,,,,,,,,,,,,,,0,,,False
num__internal_transfer_from_psych_flag,191320,47171,100.0,100.0,False,False,False,False,,False,psychiatric_features,6.942322354787259e-05,0.003689573825162286,8.545113832976888e-05,0.002989408306698294,0.00018042208,0.0016391671578720908,0.000180875,0.0009738375152846052,0.0013748533128131,0.00027124369239404754,0.0,0.0,9.0,0.008403361344537815,3.0,0.002898550724637681,8,0.0026081428208233524,,False
num__discharged_home_flag,191320,47171,100.0,100.0,False,False,False,False,,False,ed_timing_features,0.0002007108548979,0.010666999871398663,0.0001718551226294,0.0060121508171648,0.000489472,0.004446941455823855,0.0005271365,0.0028381219039437366,0.0345064761017627,0.006807754617980429,0.0,0.0,13.0,0.012138188608776844,14.0,0.01352657004830918,8,0.007054590915424689,,False
num__discharged_to_facility_flag,191320,47171,100.0,100.0,False,False,False,False,,False,ed_timing_features,0.0002129497429936,0.01131744908506628,0.0002443383653278,0.00854789243575877,0.0002680737,0.0024354979442053628,0.00040439304,0.002177266693970908,0.0295898428973993,0.0058377560500823,0.0517517548712009,0.0077518851969845546,12.0,0.011204481792717087,9.0,0.008695652173913044,8,0.007245985171587288,,False
num__discharged_to_psych_facility_flag,191320,47171,100.0,100.0,False,False,False,False,,False,psychiatric_features,0.0008352184082893,0.04438860398628582,0.0011490895123835,0.040199554980795756,0.0016055233,0.014586468931953452,0.0020627205,0.011105761473098098,0.2708216063549734,0.05343017455258976,0.3713891749916879,0.055630311573076234,122.0,0.11391223155929038,110.0,0.10628019323671498,8,0.05494166253672556,,False
num__los_under_2_days,191320,47171,100.0,100.0,False,False,False,False,,False,los_under_2_days,,,,,,,,,,,,,,,,,0,,,False
num__los_under_7_days,191320,47171,100.0,100.0,False,False,False,False,,False,los_under_7_days,,,,,,,,,,,,,,,,,0,,,False
num__los_7_to_30_days,191320,47171,100.0,100.0,False,False,False,False,,False,los_7_to_30_days,,,,,,,,,,,,,,,,,0,,,False
