processed_feature_name,removal_set
cat__bmi_category_Missing,clean_feature_audit
cat__bmi_category_Normal,clean_feature_audit
cat__bmi_category_Obese,clean_feature_audit
cat__bmi_category_Overweight,clean_feature_audit
cat__bmi_category_Underweight,clean_feature_audit
cat__lab_abnormal_burden_category_0 abnormal labs,clean_feature_audit
cat__lab_abnormal_burden_category_1 abnormal lab,clean_feature_audit
cat__lab_abnormal_burden_category_2 abnormal labs,clean_feature_audit
cat__lab_abnormal_burden_category_3+ abnormal labs,clean_feature_audit
cat__unique_drug_burden_category_0 drugs,clean_feature_audit
cat__unique_drug_burden_category_1-4 drugs,clean_feature_audit
cat__unique_drug_burden_category_10+ drugs,clean_feature_audit
cat__unique_drug_burden_category_5-9 drugs,clean_feature_audit
num__abnormal_microbiology_interpretation,clean_feature_audit
num__awaiting_bed_or_placement_flag,clean_feature_audit
num__delayed_discharge_planning_flag,clean_feature_audit
num__discharge_medication_order_flag,clean_feature_audit
num__discharge_planning_and_psych_followup_flag,clean_feature_audit
num__discharge_planning_first_72h_flag,clean_feature_audit
num__discharge_planning_order_density_per_day,clean_feature_audit
num__discharge_planning_order_proportion,clean_feature_audit
num__dose_due_to_given_gap_count,clean_feature_audit
num__ed_heavy_home_discharge_no_followup_flag,clean_feature_audit
num__ed_heavy_low_inpatient_psych_history_flag,clean_feature_audit
num__emar_iv_administration_count,clean_feature_audit
num__emar_missed_or_not_given_flag,clean_feature_audit
num__emar_psychotropic_refusal_rate,clean_feature_audit
num__emar_psychotropic_refused_count,clean_feature_audit
num__emar_refusal_rate,clean_feature_audit
num__emar_refused_event_count,clean_feature_audit
num__first_discharge_planning_order_hours,clean_feature_audit
num__had_alcohol_withdrawal_protocol_order,clean_feature_audit
num__had_behavioral_observation_order,clean_feature_audit
num__had_ciWA_protocol_order,clean_feature_audit
num__had_elopement_precaution_order,clean_feature_audit
num__had_home_health_or_vna_order,clean_feature_audit
num__had_methadone_or_buprenorphine,clean_feature_audit
num__had_outpatient_psychiatry_appointment_order,clean_feature_audit
num__had_primary_care_followup_order,clean_feature_audit
num__had_psych_followup_order,clean_feature_audit
num__had_restraint_order,clean_feature_audit
num__had_restraint_related_procedure,clean_feature_audit
num__had_sitter_order,clean_feature_audit
num__had_snf_or_rehab_placement_order,clean_feature_audit
num__had_social_work_discharge_plan_order,clean_feature_audit
num__had_specific_psych_followup_order,clean_feature_audit
num__had_suicide_precaution_order,clean_feature_audit
num__had_transport_arranged_order,clean_feature_audit
num__last_discharge_planning_order_hours,clean_feature_audit
num__late_transport_or_placement_activity_flag,clean_feature_audit
num__meds_to_beds_order_flag,clean_feature_audit
num__multiple_icu_stays,clean_feature_audit
num__num_discharge_planning_orders,clean_feature_audit
num__num_intramuscular_pharmacy_orders,clean_feature_audit
num__num_subcutaneous_pharmacy_orders,clean_feature_audit
num__placement_related_order_flag,clean_feature_audit
num__placement_related_orders_last_48h,clean_feature_audit
num__polymicrobial_flag,clean_feature_audit
num__positive_culture_flag,clean_feature_audit
num__previous_ed_visits_without_admission_30d,clean_feature_audit
num__previous_ed_visits_without_admission_90d,clean_feature_audit
num__prior_ed_only_high_use_flag,clean_feature_audit
num__prior_ed_only_use_with_current_psychosis_flag,clean_feature_audit
num__prior_ed_only_use_with_current_self_harm_flag,clean_feature_audit
num__prior_ed_only_use_with_current_smi_flag,clean_feature_audit
num__prior_ed_only_use_with_substance_use_flag,clean_feature_audit
num__social_barrier_order_flag,clean_feature_audit
num__sodium_lab_severe_abnormal,clean_feature_audit
num__transport_delay_order_flag,clean_feature_audit
num__underweight_flag,clean_feature_audit
cat__bmi_category_Missing,runtime_trimmed_feature_audit
cat__bmi_category_Normal,runtime_trimmed_feature_audit
cat__bmi_category_Obese,runtime_trimmed_feature_audit
cat__bmi_category_Overweight,runtime_trimmed_feature_audit
cat__bmi_category_Underweight,runtime_trimmed_feature_audit
cat__discharge_location_HEALTHCARE FACILITY,runtime_trimmed_feature_audit
cat__first_icu_careunit_Intensive Care Unit (ICU),runtime_trimmed_feature_audit
cat__first_icu_careunit_Med/Surg,runtime_trimmed_feature_audit
cat__first_icu_careunit_Medicine,runtime_trimmed_feature_audit
cat__first_icu_careunit_PACU,runtime_trimmed_feature_audit
cat__first_icu_careunit_Surgery/Trauma,runtime_trimmed_feature_audit
cat__first_icu_careunit_Surgery/Vascular/Intermediate,runtime_trimmed_feature_audit
cat__first_service_DENT,runtime_trimmed_feature_audit
cat__first_service_EYE,runtime_trimmed_feature_audit
cat__first_service_Unknown,runtime_trimmed_feature_audit
cat__insurance_No charge,runtime_trimmed_feature_audit
cat__lab_abnormal_burden_category_0 abnormal labs,runtime_trimmed_feature_audit
cat__lab_abnormal_burden_category_1 abnormal lab,runtime_trimmed_feature_audit
cat__lab_abnormal_burden_category_2 abnormal labs,runtime_trimmed_feature_audit
cat__lab_abnormal_burden_category_3+ abnormal labs,runtime_trimmed_feature_audit
cat__language_Amharic,runtime_trimmed_feature_audit
cat__language_Armenian,runtime_trimmed_feature_audit
cat__language_Bengali,runtime_trimmed_feature_audit
cat__language_French,runtime_trimmed_feature_audit
cat__language_Hindi,runtime_trimmed_feature_audit
cat__language_Japanese,runtime_trimmed_feature_audit
cat__language_Khmer,runtime_trimmed_feature_audit
cat__language_Korean,runtime_trimmed_feature_audit
cat__language_Somali,runtime_trimmed_feature_audit
cat__language_Thai,runtime_trimmed_feature_audit
cat__last_icu_careunit_Intensive Care Unit (ICU),runtime_trimmed_feature_audit
cat__last_icu_careunit_Med/Surg,runtime_trimmed_feature_audit
cat__last_icu_careunit_Medicine,runtime_trimmed_feature_audit
cat__last_icu_careunit_PACU,runtime_trimmed_feature_audit
cat__last_icu_careunit_Surgery/Trauma,runtime_trimmed_feature_audit
cat__last_icu_careunit_Surgery/Vascular/Intermediate,runtime_trimmed_feature_audit
cat__last_service_DENT,runtime_trimmed_feature_audit
cat__last_service_EYE,runtime_trimmed_feature_audit
cat__last_service_Unknown,runtime_trimmed_feature_audit
cat__unique_drug_burden_category_0 drugs,runtime_trimmed_feature_audit
cat__unique_drug_burden_category_1-4 drugs,runtime_trimmed_feature_audit
cat__unique_drug_burden_category_10+ drugs,runtime_trimmed_feature_audit
cat__unique_drug_burden_category_5-9 drugs,runtime_trimmed_feature_audit
num__abnormal_microbiology_interpretation,runtime_trimmed_feature_audit
num__awaiting_bed_or_placement_flag,runtime_trimmed_feature_audit
num__delayed_discharge_planning_flag,runtime_trimmed_feature_audit
num__discharge_medication_order_flag,runtime_trimmed_feature_audit
num__discharge_planning_and_psych_followup_flag,runtime_trimmed_feature_audit
num__discharge_planning_first_72h_flag,runtime_trimmed_feature_audit
num__discharge_planning_order_density_per_day,runtime_trimmed_feature_audit
num__discharge_planning_order_proportion,runtime_trimmed_feature_audit
num__dose_due_to_given_gap_count,runtime_trimmed_feature_audit
num__ed_heavy_home_discharge_no_followup_flag,runtime_trimmed_feature_audit
num__ed_heavy_low_inpatient_psych_history_flag,runtime_trimmed_feature_audit
num__emar_iv_administration_count,runtime_trimmed_feature_audit
num__emar_missed_or_not_given_flag,runtime_trimmed_feature_audit
num__emar_psychotropic_refusal_rate,runtime_trimmed_feature_audit
num__emar_psychotropic_refused_count,runtime_trimmed_feature_audit
num__emar_refusal_rate,runtime_trimmed_feature_audit
num__emar_refused_event_count,runtime_trimmed_feature_audit
num__first_discharge_planning_order_hours,runtime_trimmed_feature_audit
num__had_alcohol_withdrawal_protocol_order,runtime_trimmed_feature_audit
num__had_behavioral_observation_order,runtime_trimmed_feature_audit
num__had_ciWA_protocol_order,runtime_trimmed_feature_audit
num__had_elopement_precaution_order,runtime_trimmed_feature_audit
num__had_home_health_or_vna_order,runtime_trimmed_feature_audit
num__had_methadone_or_buprenorphine,runtime_trimmed_feature_audit
num__had_outpatient_psychiatry_appointment_order,runtime_trimmed_feature_audit
num__had_primary_care_followup_order,runtime_trimmed_feature_audit
num__had_psych_followup_order,runtime_trimmed_feature_audit
num__had_restraint_order,runtime_trimmed_feature_audit
num__had_restraint_related_procedure,runtime_trimmed_feature_audit
num__had_sitter_order,runtime_trimmed_feature_audit
num__had_snf_or_rehab_placement_order,runtime_trimmed_feature_audit
num__had_social_work_discharge_plan_order,runtime_trimmed_feature_audit
num__had_specific_psych_followup_order,runtime_trimmed_feature_audit
num__had_suicide_precaution_order,runtime_trimmed_feature_audit
num__had_transport_arranged_order,runtime_trimmed_feature_audit
num__last_discharge_planning_order_hours,runtime_trimmed_feature_audit
