processed_feature_name,timing_or_leakage_flags,train_nonzero_percent,test_nonzero_percent
cat__last_careunit_before_discharge_No transfer record,full_record_not_early_prediction,0.0015680535228935815,0.002119946577346251
cat__last_careunit_before_discharge_UNKNOWN,full_record_not_early_prediction,99.99843194647711,99.99788005342265
num__abnormal_labs_last_12h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__abnormal_labs_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__cancelled_orders_last_24h_before_discharge,full_record_not_early_prediction,0.0,0.0
num__care_team_touchpoints_after_72h,full_record_not_early_prediction,100.0,100.0
num__care_team_touchpoints_last_12h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__care_team_touchpoints_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__care_team_touchpoints_last_6h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__careunit_change_last_24h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__creatinine_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__discontinued_orders_last_12h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__discontinued_orders_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__followup_order_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__followup_order_last_48h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
