feature_family,total_mean_abs_shap,mean_abs_shap,top_feature_mean_abs_shap,feature_count,family_importance_rank
prior_utilisation,0.90145976729934,0.005669558284901509,0.3455783634299856,159,1
discharge_aftercare,0.7108108058750897,0.005077220041964927,0.13019478279021285,140,2
psychiatric_history,0.678897153053968,0.004089741885867277,0.09392710169683928,166,3
lab_vital_hourly,0.6243847525204259,0.001269074700244768,0.01917507790107756,492,4
poe_late_order_pathway,0.5902314202769637,0.004042680960801122,0.1314189403129129,146,5
demographic_admin,0.3260557903550426,0.0016221681112191175,0.032229869582384066,201,6
other,0.29569714370741157,0.0024237470795689473,0.037086775468034766,122,7
medical_comorbidity,0.1485525795620185,0.0018339824637286235,0.02436373982410854,81,8
medication_emar_pharmacy,0.12401531461617443,0.0026386237152377537,0.025559688687906666,47,9
icu_care,0.03607866327707354,0.0005637291137042741,0.020630733859659894,64,10
