processed_feature_name,model_family,model_name,model_mean_abs_shap,model_mean_signed_shap
num__anchor_age,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.029065398411212827,0.004083102423214739
num__hospital_los_days,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.011309314180176371,0.004031912430365065
num__discharged_against_advice,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.003763315811275505,-7.58129054319891e-05
num__not_married_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.006703171314054691,0.0011513996087883407
num__single_or_divorced_or_widowed,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023479117879668296,0.0003242136732306988
num__non_english_language_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,5.8171701352982685e-05,4.613043627429655e-06
num__public_insurance_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.017407493285205113,0.0007164785671719715
num__medicaid_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.004498795795183031,0.0010490694826195206
num__medicare_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0007388053422403551,2.9269177104858462e-05
num__insurance_missing_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__admitted_from_facility_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0003470167235277187,4.261746331650688e-05
num__admitted_from_hospital_transfer_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0015088989349501915,0.0001635032024496712
num__emergency_room_admission_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.005629116277374161,0.00014270736334135107
num__transfer_from_hospital_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0007498521042038709,0.00018756243931916577
num__transfer_from_snf_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,5.261887441953333e-05,-4.377121739130866e-08
num__internal_transfer_from_psych_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00016051185645682759,1.7350015154131678e-05
num__discharged_home_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00319945577903081,0.00010645732959458916
num__discharged_to_facility_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0002527111895815292,-1.5091452859867429e-05
num__discharged_to_psych_facility_flag,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.03688806393528922,0.025056216715511156
