file_name,folder,file_size_mb
rapid_trial_feature_family_shap_importance.png,/scratch/DissProject/outputs/WP3_rapid_trial/images,0.095
rapid_trial_top30_shap_features.png,/scratch/DissProject/outputs/WP3_rapid_trial/images,0.337
rapid_trial_run_summary.txt,/scratch/DissProject/outputs/WP3_rapid_trial,0.0
rapid_trial_config_comparison.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.004
rapid_trial_feature_family_importance.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.001
rapid_trial_feature_family_importance.xlsx,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.006
rapid_trial_matrix_diagnostics.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.001
rapid_trial_model_family_shap_importance.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.388
rapid_trial_model_family_shap_importance.xlsx,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.132
rapid_trial_model_screening_tables.xlsx,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.057
rapid_trial_output_file_summary.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.002
rapid_trial_rebuilt_reduced_feature_names.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.141
rapid_trial_rebuilt_reduced_feature_names.xlsx,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.071
rapid_trial_rebuilt_reduced_feature_summary.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.0
rapid_trial_shap_global_importance.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.236
rapid_trial_shap_global_importance.xlsx,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.128
rapid_trial_test_refit_ranking.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.001
rapid_trial_top5_features_by_family.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.008
rapid_trial_top5_features_by_family.xlsx,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.009
rapid_trial_validation_config_ranking.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.003
rapid_trial_validation_threshold_search.csv,/scratch/DissProject/outputs/WP3_rapid_trial/tables,0.113
wp3_rapid_trial_csv_table_workbook.xlsx,/scratch/DissProject/outputs/WP3_rapid_trial,0.349
wp3_rapid_trial_csv_table_workbook_index.csv,/scratch/DissProject/outputs/WP3_rapid_trial,0.002
