processed_feature_name,feature_name_clean,feature_family,importance_rank,mean_abs_shap,mean_signed_shap,nonzero_train_percent,selection_reason
num__late_orders_without_prior_psych_history_flag,late_orders_without_prior_psych_history_flag,prior_utilisation,1,0.3455783634299856,0.15412900990472292,100.0,top_global_shap
num__late_order_severity_per_late_order_last_12h,late_order_severity_per_late_order_last_12h,poe_late_order_pathway,2,0.1314189403129129,0.08401372464386514,100.0,top_global_shap
num__last_order_close_to_discharge_hours,last_order_close_to_discharge_hours,discharge_aftercare,3,0.13019478279021285,0.10282847430646885,100.0,top_global_shap
num__orders_last_12h_before_discharge,orders_last_12h_before_discharge,discharge_aftercare,4,0.09607127731986889,0.06338587062397141,100.0,top_global_shap
num__low_order_activity_with_self_harm_flag,low_order_activity_with_self_harm_flag,psychiatric_history,5,0.09392710169683928,0.057272512827717406,100.0,top_global_shap
cat__discharge_location_Unknown / not modelled,discharge_location_Unknown / not modelled,discharge_aftercare,6,0.08920741679506357,0.010345328954061143,100.0,top_global_shap
num__previous_psych_admissions_365d,previous_psych_admissions_365d,prior_utilisation,7,0.07519075705762387,-0.0021573964124157966,100.0,top_global_shap
num__previous_psych_admissions_180d,previous_psych_admissions_180d,prior_utilisation,8,0.07436651316134218,-0.0008954246936135938,100.0,top_global_shap
num__unmanaged_psychiatric_discharge_risk_score,unmanaged_psychiatric_discharge_risk_score,psychiatric_history,9,0.05009063342170832,0.015072775740941693,5.94605895881246,top_global_shap
num__discharge_hour,discharge_hour,discharge_aftercare,10,0.045025720656246083,0.023077134304152067,100.0,top_global_shap
num__discharged_to_psych_facility_flag,discharged_to_psych_facility_flag,psychiatric_history,11,0.03936752912295333,0.028662098496524728,100.0,top_global_shap
num__days_since_latest_body_measure,days_since_latest_body_measure,other,12,0.037086775468034766,0.014806183066509302,100.0,top_global_shap
num__late_order_intensity_score_last_12h,late_order_intensity_score_last_12h,poe_late_order_pathway,13,0.03514465020139464,0.024668662754159798,100.0,top_global_shap
num__last_order_close_to_discharge_hours_filled,last_order_close_to_discharge_hours_filled,discharge_aftercare,14,0.034654746053214454,0.02693787355628206,100.0,top_global_shap
num__elixhauser_psychoses,elixhauser_psychoses,psychiatric_history,15,0.033335255372435486,0.0095861063926392,100.0,top_global_shap
num__anchor_age,anchor_age,demographic_admin,16,0.032229869582384066,0.0022073306171136974,100.0,top_global_shap
num__days_since_previous_hospital_admission,days_since_previous_hospital_admission,prior_utilisation,17,0.03212578549210597,0.002978453444504337,100.0,top_global_shap
num__late_psych_safety_activity_score_near_discharge,late_psych_safety_activity_score_near_discharge,psychiatric_history,18,0.030650463555797647,0.021157686766039796,100.0,top_global_shap
num__has_depression,has_depression,psychiatric_history,19,0.030335320078279354,0.003274837972497162,100.0,top_global_shap
num__previous_psych_admissions_from_all_hosp,previous_psych_admissions_from_all_hosp,prior_utilisation,20,0.03033407041891007,0.005966074741542831,100.0,top_global_shap
num__low_order_activity_with_smi_flag,low_order_activity_with_smi_flag,psychiatric_history,21,0.030122879433797923,0.016058833537090644,100.0,top_global_shap
num__no_late_orders_but_self_harm_flag,no_late_orders_but_self_harm_flag,psychiatric_history,22,0.02949863860989673,0.018424690694675214,100.0,top_global_shap
num__psych_diagnosis_group_count,psych_diagnosis_group_count,psychiatric_history,23,0.029133624250654935,0.0037352784100579805,100.0,top_global_shap
num__care_team_touchpoints_last_6h_before_discharge,care_team_touchpoints_last_6h_before_discharge,discharge_aftercare,24,0.02859344460374271,0.01966423733872913,100.0,top_global_shap
num__days_since_previous_psych_admission_filled,days_since_previous_psych_admission_filled,prior_utilisation,25,0.02605459697249044,0.0006574337640532736,100.0,top_global_shap
num__emar_not_given_rate,emar_not_given_rate,medication_emar_pharmacy,26,0.025559688687906666,0.004032580976413157,100.0,top_global_shap
num__charlson_comorbidity_index_simplified,charlson_comorbidity_index_simplified,medical_comorbidity,27,0.02436373982410854,0.0010897571693459186,100.0,top_global_shap
num__late_nonroutine_order_count_last_12h,late_nonroutine_order_count_last_12h,poe_late_order_pathway,28,0.023216379639665587,0.01515843684011224,100.0,top_global_shap
num__last_order_within_12h_of_discharge_flag,last_order_within_12h_of_discharge_flag,discharge_aftercare,29,0.023208360997611366,0.01690197025496021,100.0,top_global_shap
num__previous_psych_admissions,previous_psych_admissions,prior_utilisation,30,0.022343147448822785,0.003079906036202544,100.0,top_global_shap
num__num_psych_diagnoses,num_psych_diagnoses,psychiatric_history,31,0.021680857159547685,0.001651277092938972,100.0,top_global_shap
num__order_activity_last_6h_to_total_ratio,order_activity_last_6h_to_total_ratio,poe_late_order_pathway,32,0.021144500317281784,0.011093729461653523,100.0,top_global_shap
num__days_since_previous_hospital_admission_filled,days_since_previous_hospital_admission_filled,prior_utilisation,33,0.020747928070342217,0.0013336713749601836,100.0,top_global_shap
num__num_unique_careunits,num_unique_careunits,icu_care,34,0.020630733859659894,-0.00012231912733838945,100.0,top_global_shap
num__has_cancer,has_cancer,medical_comorbidity,35,0.020515108064986902,-0.00018825566821240535,100.0,top_global_shap
num__previous_psych_admissions_90d,previous_psych_admissions_90d,prior_utilisation,36,0.01946769058751839,-0.002698475398555527,100.0,top_global_shap
num__num_steroid_prescriptions,num_steroid_prescriptions,other,37,0.019438643826058546,-0.0016190875473383007,100.0,top_global_shap
num__ed_length_of_stay_hours,ed_length_of_stay_hours,demographic_admin,38,0.019393301295662947,0.00372011216548094,100.0,top_global_shap
num__hemoglobin_lab_last_value,hemoglobin_lab_last_value,lab_vital_hourly,39,0.01917507790107756,0.0007110428176798975,100.0,top_global_shap
cat__last_service_OMED,last_service_OMED,demographic_admin,40,0.019133057439774608,0.00032647079080835016,100.0,top_global_shap
num__psychiatric_aftercare_planning_score,psychiatric_aftercare_planning_score,psychiatric_history,41,0.018910132716030655,0.014724313202890275,100.0,top_global_shap
cat__race_UNKNOWN,race_UNKNOWN,demographic_admin,42,0.018792494754291338,0.0045959710781429625,100.0,top_global_shap
num__care_team_touchpoints_last_12h_before_discharge,care_team_touchpoints_last_12h_before_discharge,discharge_aftercare,43,0.01845825596566466,0.013045648711519805,100.0,top_global_shap
num__psychotropic_order_density_per_day,psychotropic_order_density_per_day,psychiatric_history,44,0.018112813444043852,0.00020186314762161203,100.0,top_global_shap
num__public_insurance_flag,public_insurance_flag,demographic_admin,45,0.017805040623677843,-0.0004067011160905756,100.0,top_global_shap
num__num_opioid_prescriptions,num_opioid_prescriptions,psychiatric_history,46,0.017667012173449886,-0.0010482658702062845,100.0,top_global_shap
num__orders_after_72h_per_hospital_day,orders_after_72h_per_hospital_day,poe_late_order_pathway,47,0.016950791597367912,0.0004904140738588862,100.0,top_global_shap
num__psychosis_or_self_harm_low_aftercare_quality_flag,psychosis_or_self_harm_low_aftercare_quality_flag,psychiatric_history,48,0.01694769256167237,0.008135289477799212,100.0,top_global_shap
num__ed_to_admission_hours,ed_to_admission_hours,demographic_admin,49,0.016732461638068272,0.0005388695667770677,100.0,top_global_shap
num__previous_psych_to_total_admission_ratio,previous_psych_to_total_admission_ratio,prior_utilisation,50,0.016325058077994985,0.000328655083549754,100.0,top_global_shap
num__care_team_touchpoints_per_hospital_day,care_team_touchpoints_per_hospital_day,poe_late_order_pathway,51,0.015826457980821284,0.0012971304276365968,100.0,top_global_shap
num__discontinued_orders_last_12h_before_discharge,discontinued_orders_last_12h_before_discharge,discharge_aftercare,52,0.01577324012534332,0.010881535936509762,100.0,top_global_shap
num__safety_order_proportion,safety_order_proportion,poe_late_order_pathway,53,0.015401625490913355,0.007751408625250149,0.08937905080493413,top_global_shap
num__days_since_latest_body_measure_filled,days_since_latest_body_measure_filled,other,54,0.014799372765883846,0.004343350202078727,100.0,top_global_shap
num__new_substance_use_this_admission_flag,new_substance_use_this_admission_flag,psychiatric_history,55,0.014607782237803976,0.0006432786732930155,100.0,top_global_shap
num__quiet_smi_psychosis_low_activity_score,quiet_smi_psychosis_low_activity_score,psychiatric_history,56,0.014514790925644505,0.010430452958600619,100.0,top_global_shap
num__procedures_per_hospital_day,procedures_per_hospital_day,medical_comorbidity,57,0.01444261996408645,-0.00021243286359985724,100.0,top_global_shap
num__discharged_to_psych_facility_or_transfer_flag,discharged_to_psych_facility_or_transfer_flag,psychiatric_history,58,0.014047777767006641,0.010836243705919606,100.0,top_global_shap
num__ed_visit_to_admission_ratio_365d,ed_visit_to_admission_ratio_365d,other,59,0.013501323723371688,0.0007699768227583039,100.0,top_global_shap
num__medical_workup_near_discharge_score,medical_workup_near_discharge_score,discharge_aftercare,60,0.01348559958051926,-0.0018711003173419894,100.0,top_global_shap
num__late_discharge_admin_order_share_last_12h,late_discharge_admin_order_share_last_12h,discharge_aftercare,61,0.01343453110697112,0.0066113475859476325,100.0,top_global_shap
cat__gender_F,gender_F,demographic_admin,62,0.01327573462992057,8.500636858204546e-05,100.0,top_global_shap
num__previous_psych_admissions_60d,previous_psych_admissions_60d,prior_utilisation,63,0.013254734308228506,-0.0019235963227913196,100.0,top_global_shap
cat__marital_status_Unknown,marital_status_Unknown,demographic_admin,64,0.01319171587867982,0.0030416722390273,100.0,top_global_shap
