processed_feature_name,mean_abs_shap,max_abs_shap,mean_signed_shap,shap_model_count,feature_name_clean,feature_family,nonzero_train_percent,importance_rank
num__late_orders_without_prior_psych_history_flag,0.3455783634299856,0.4078233540058136,0.15412900990472292,2,late_orders_without_prior_psych_history_flag,prior_utilisation,100.0,1
num__late_order_severity_per_late_order_last_12h,0.1314189403129129,0.1482132015372333,0.08401372464386514,2,late_order_severity_per_late_order_last_12h,poe_late_order_pathway,100.0,2
num__last_order_close_to_discharge_hours,0.13019478279021285,0.13509109616279602,0.10282847430646885,2,last_order_close_to_discharge_hours,discharge_aftercare,100.0,3
num__orders_last_12h_before_discharge,0.09607127731986889,0.10695679587022562,0.06338587062397141,2,orders_last_12h_before_discharge,discharge_aftercare,100.0,4
num__low_order_activity_with_self_harm_flag,0.09392710169683928,0.1051001325249672,0.057272512827717406,2,low_order_activity_with_self_harm_flag,psychiatric_history,100.0,5
cat__discharge_location_Unknown / not modelled,0.08920741679506357,0.10559474383268466,0.010345328954061143,2,discharge_location_Unknown / not modelled,discharge_aftercare,100.0,6
num__previous_psych_admissions_365d,0.07519075705762387,0.07967688888311386,-0.0021573964124157966,2,previous_psych_admissions_365d,prior_utilisation,100.0,7
num__previous_psych_admissions_180d,0.07436651316134218,0.07897903674539097,-0.0008954246936135938,2,previous_psych_admissions_180d,prior_utilisation,100.0,8
num__unmanaged_psychiatric_discharge_risk_score,0.05009063342170832,0.05492193624377251,0.015072775740941693,2,unmanaged_psychiatric_discharge_risk_score,psychiatric_history,5.94605895881246,9
num__discharge_hour,0.045025720656246083,0.04618861419028071,0.023077134304152067,2,discharge_hour,discharge_aftercare,100.0,10
num__discharged_to_psych_facility_flag,0.03936752912295333,0.04184699431061745,0.028662098496524728,2,discharged_to_psych_facility_flag,psychiatric_history,100.0,11
num__days_since_latest_body_measure,0.037086775468034766,0.037782199680805206,0.014806183066509302,2,days_since_latest_body_measure,other,100.0,12
num__late_order_intensity_score_last_12h,0.03514465020139464,0.04472583869674699,0.024668662754159798,2,late_order_intensity_score_last_12h,poe_late_order_pathway,100.0,13
num__last_order_close_to_discharge_hours_filled,0.034654746053214454,0.04633609435974674,0.02693787355628206,2,last_order_close_to_discharge_hours_filled,discharge_aftercare,100.0,14
num__elixhauser_psychoses,0.033335255372435486,0.03981804457885153,0.0095861063926392,2,elixhauser_psychoses,psychiatric_history,100.0,15
num__anchor_age,0.032229869582384066,0.0353943407535553,0.0022073306171136974,2,anchor_age,demographic_admin,100.0,16
num__days_since_previous_hospital_admission,0.03212578549210597,0.032195620238780975,0.002978453444504337,2,days_since_previous_hospital_admission,prior_utilisation,100.0,17
num__late_psych_safety_activity_score_near_discharge,0.030650463555797647,0.03121048890957179,0.021157686766039796,2,late_psych_safety_activity_score_near_discharge,psychiatric_history,100.0,18
num__has_depression,0.030335320078279354,0.034131068736314774,0.003274837972497162,2,has_depression,psychiatric_history,100.0,19
num__previous_psych_admissions_from_all_hosp,0.03033407041891007,0.03141053020954132,0.005966074741542831,2,previous_psych_admissions_from_all_hosp,prior_utilisation,100.0,20
num__low_order_activity_with_smi_flag,0.030122879433797923,0.04579458013176918,0.016058833537090644,2,low_order_activity_with_smi_flag,psychiatric_history,100.0,21
num__no_late_orders_but_self_harm_flag,0.02949863860989673,0.03655841201543808,0.018424690694675214,2,no_late_orders_but_self_harm_flag,psychiatric_history,100.0,22
num__psych_diagnosis_group_count,0.029133624250654935,0.031290166079998016,0.0037352784100579805,2,psych_diagnosis_group_count,psychiatric_history,100.0,23
num__care_team_touchpoints_last_6h_before_discharge,0.02859344460374271,0.038300495594739914,0.01966423733872913,2,care_team_touchpoints_last_6h_before_discharge,discharge_aftercare,100.0,24
num__days_since_previous_psych_admission_filled,0.02605459697249044,0.03066060035829761,0.0006574337640532736,2,days_since_previous_psych_admission_filled,prior_utilisation,100.0,25
num__emar_not_given_rate,0.025559688687906666,0.0266217440366745,0.004032580976413157,2,emar_not_given_rate,medication_emar_pharmacy,100.0,26
num__charlson_comorbidity_index_simplified,0.02436373982410854,0.02496381290256977,0.0010897571693459186,2,charlson_comorbidity_index_simplified,medical_comorbidity,100.0,27
num__late_nonroutine_order_count_last_12h,0.023216379639665587,0.029727917164564133,0.01515843684011224,2,late_nonroutine_order_count_last_12h,poe_late_order_pathway,100.0,28
num__last_order_within_12h_of_discharge_flag,0.023208360997611366,0.04641672199522273,0.01690197025496021,2,last_order_within_12h_of_discharge_flag,discharge_aftercare,100.0,29
num__previous_psych_admissions,0.022343147448822785,0.025651963233202554,0.003079906036202544,2,previous_psych_admissions,prior_utilisation,100.0,30
num__num_psych_diagnoses,0.021680857159547685,0.026600375771522522,0.001651277092938972,2,num_psych_diagnoses,psychiatric_history,100.0,31
num__order_activity_last_6h_to_total_ratio,0.021144500317281784,0.022474617396009568,0.011093729461653523,2,order_activity_last_6h_to_total_ratio,poe_late_order_pathway,100.0,32
num__days_since_previous_hospital_admission_filled,0.020747928070342217,0.022176072001457214,0.0013336713749601836,2,days_since_previous_hospital_admission_filled,prior_utilisation,100.0,33
num__num_unique_careunits,0.020630733859659894,0.022580187767744064,-0.00012231912733838945,2,num_unique_careunits,icu_care,100.0,34
num__has_cancer,0.020515108064986902,0.021104978397488594,-0.00018825566821240535,2,has_cancer,medical_comorbidity,100.0,35
num__previous_psych_admissions_90d,0.01946769058751839,0.02244848571717739,-0.002698475398555527,2,previous_psych_admissions_90d,prior_utilisation,100.0,36
num__num_steroid_prescriptions,0.019438643826058546,0.021784326061606407,-0.0016190875473383007,2,num_steroid_prescriptions,other,100.0,37
num__ed_length_of_stay_hours,0.019393301295662947,0.02034204639494419,0.00372011216548094,2,ed_length_of_stay_hours,demographic_admin,100.0,38
num__hemoglobin_lab_last_value,0.01917507790107756,0.020779768005013466,0.0007110428176798975,2,hemoglobin_lab_last_value,lab_vital_hourly,100.0,39
cat__last_service_OMED,0.019133057439774608,0.020068589597940445,0.00032647079080835016,2,last_service_OMED,demographic_admin,100.0,40
num__psychiatric_aftercare_planning_score,0.018910132716030655,0.019656874239444733,0.014724313202890275,2,psychiatric_aftercare_planning_score,psychiatric_history,100.0,41
cat__race_UNKNOWN,0.018792494754291338,0.02214785310436639,0.0045959710781429625,2,race_UNKNOWN,demographic_admin,100.0,42
num__care_team_touchpoints_last_12h_before_discharge,0.01845825596566466,0.025634433009534427,0.013045648711519805,2,care_team_touchpoints_last_12h_before_discharge,discharge_aftercare,100.0,43
num__psychotropic_order_density_per_day,0.018112813444043852,0.02036883495748043,0.00020186314762161203,2,psychotropic_order_density_per_day,psychiatric_history,100.0,44
num__public_insurance_flag,0.017805040623677843,0.018202587962150574,-0.0004067011160905756,2,public_insurance_flag,demographic_admin,100.0,45
num__num_opioid_prescriptions,0.017667012173449886,0.019256332889199257,-0.0010482658702062845,2,num_opioid_prescriptions,psychiatric_history,100.0,46
num__orders_after_72h_per_hospital_day,0.016950791597367912,0.017128027766946132,0.0004904140738588862,2,orders_after_72h_per_hospital_day,poe_late_order_pathway,100.0,47
num__psychosis_or_self_harm_low_aftercare_quality_flag,0.01694769256167237,0.020295117050409317,0.008135289477799212,2,psychosis_or_self_harm_low_aftercare_quality_flag,psychiatric_history,100.0,48
num__ed_to_admission_hours,0.016732461638068272,0.021749794483184814,0.0005388695667770677,2,ed_to_admission_hours,demographic_admin,100.0,49
num__previous_psych_to_total_admission_ratio,0.016325058077994985,0.017682849685796108,0.000328655083549754,2,previous_psych_to_total_admission_ratio,prior_utilisation,100.0,50
num__care_team_touchpoints_per_hospital_day,0.015826457980821284,0.01871107518672943,0.0012971304276365968,2,care_team_touchpoints_per_hospital_day,poe_late_order_pathway,100.0,51
num__discontinued_orders_last_12h_before_discharge,0.01577324012534332,0.030895124301456144,0.010881535936509762,2,discontinued_orders_last_12h_before_discharge,discharge_aftercare,100.0,52
num__safety_order_proportion,0.015401625490913355,0.019116082130331922,0.007751408625250149,2,safety_order_proportion,poe_late_order_pathway,0.08937905080493413,53
num__days_since_latest_body_measure_filled,0.014799372765883846,0.016409805058866824,0.004343350202078727,2,days_since_latest_body_measure_filled,other,100.0,54
num__new_substance_use_this_admission_flag,0.014607782237803976,0.016217932105064392,0.0006432786732930155,2,new_substance_use_this_admission_flag,psychiatric_history,100.0,55
num__quiet_smi_psychosis_low_activity_score,0.014514790925644505,0.014740203507244587,0.010430452958600619,2,quiet_smi_psychosis_low_activity_score,psychiatric_history,100.0,56
num__procedures_per_hospital_day,0.01444261996408645,0.015846440568566322,-0.00021243286359985724,2,procedures_per_hospital_day,medical_comorbidity,100.0,57
num__discharged_to_psych_facility_or_transfer_flag,0.014047777767006641,0.014068204909563065,0.010836243705919606,2,discharged_to_psych_facility_or_transfer_flag,psychiatric_history,100.0,58
num__ed_visit_to_admission_ratio_365d,0.013501323723371688,0.014280193412951359,0.0007699768227583039,2,ed_visit_to_admission_ratio_365d,other,100.0,59
num__medical_workup_near_discharge_score,0.01348559958051926,0.016229430213570595,-0.0018711003173419894,2,medical_workup_near_discharge_score,discharge_aftercare,100.0,60
num__late_discharge_admin_order_share_last_12h,0.01343453110697112,0.01523382868617773,0.0066113475859476325,2,late_discharge_admin_order_share_last_12h,discharge_aftercare,100.0,61
cat__gender_F,0.01327573462992057,0.015237738378345966,8.500636858204546e-05,2,gender_F,demographic_admin,100.0,62
num__previous_psych_admissions_60d,0.013254734308228506,0.015805107714147594,-0.0019235963227913196,2,previous_psych_admissions_60d,prior_utilisation,100.0,63
cat__marital_status_Unknown,0.01319171587867982,0.014629043767719402,0.0030416722390273,2,marital_status_Unknown,demographic_admin,100.0,64
num__wbc_lab_last_value,0.013157294078635848,0.015001817606389523,-0.00038779694925122107,2,wbc_lab_last_value,lab_vital_hourly,22.676667363579345,65
num__quiet_risk_summary_score,0.012985175832586293,0.01430329866707325,0.008011974858726203,2,quiet_risk_summary_score,other,100.0,66
num__new_orders_last_12h_before_discharge_flag,0.012749176546907697,0.019286464899778366,0.008095952515457519,2,new_orders_last_12h_before_discharge_flag,discharge_aftercare,100.0,67
num__min_previous_admission_gap_days_filled,0.012611706985008592,0.013697364367544651,0.0030301274897916895,2,min_previous_admission_gap_days_filled,prior_utilisation,100.0,68
num__hospital_los_days,0.012538860382517633,0.013768406584858894,0.00458362675606667,2,hospital_los_days,demographic_admin,100.0,69
num__sodium_lab_last_value,0.01245725710050315,0.015463589690625668,-0.0017702925832636725,2,sodium_lab_last_value,lab_vital_hourly,2.89410411875392,70
num__num_scheduled_pharmacy_orders,0.012351050152284562,0.01260367501527071,0.0001368941250239231,2,num_scheduled_pharmacy_orders,poe_late_order_pathway,100.0,71
num__medicine_service_involved_anytime,0.011533039867017793,0.01609378308057785,0.0012135842372642692,2,medicine_service_involved_anytime,demographic_admin,100.0,72
num__no_recent_psych_history_and_long_ed_los,0.011510349680728622,0.014046207070350647,0.004478260640574531,2,no_recent_psych_history_and_long_ed_los,prior_utilisation,100.0,73
num__provider_changes_last_24h_before_discharge,0.011402440036587132,0.01167200319468975,-0.00048772409780151513,2,provider_changes_last_24h_before_discharge,discharge_aftercare,100.0,74
num__elixhauser_solid_tumour,0.011388792687130795,0.012296970002353191,-0.0011874306335784622,2,elixhauser_solid_tumour,medical_comorbidity,100.0,75
num__num_iv_prescription_rows,0.011339381218509576,0.011472241715702814,0.00015489304349778732,2,num_iv_prescription_rows,other,100.0,76
num__min_previous_admission_gap_days,0.011257304274541854,0.011955207213759422,0.00043968493142546266,2,min_previous_admission_gap_days,prior_utilisation,100.0,77
num__hemoglobin_lab_min_value,0.01102686453917415,0.012140179052948952,-0.00041924278152882143,2,hemoglobin_lab_min_value,lab_vital_hourly,100.0,78
num__mean_previous_admission_gap_days_filled,0.01082773357488111,0.010951843112707138,0.0008725000455339903,2,mean_previous_admission_gap_days_filled,prior_utilisation,100.0,79
num__has_multiple_psych_diagnosis_groups,0.010776776138470409,0.014394413247259135,0.0012679348272819075,2,has_multiple_psych_diagnosis_groups,psychiatric_history,100.0,80
num__safety_orders_last_24h_before_discharge,0.010516225570204523,0.012505106627941132,0.006959820246045819,2,safety_orders_last_24h_before_discharge,discharge_aftercare,11.121680953376542,81
num__discharge_medication_continuity_score,0.01029366714077898,0.010517306625843048,-0.0006739116464079122,2,discharge_medication_continuity_score,discharge_aftercare,100.0,82
num__ed_to_admission_hours_filled,0.010280119846419453,0.012302345847399946,0.0003342808083012628,2,ed_to_admission_hours_filled,demographic_admin,100.0,83
num__mostly_psych_readmission_pattern_flag,0.00991153617016997,0.01896446370706014,0.0013514130750501938,2,mostly_psych_readmission_pattern_flag,psychiatric_history,100.0,84
cat__discharge_location_grouped_Unknown / not modelled,0.009887934558103877,0.01122186218949238,-0.0016235193096272738,2,discharge_location_grouped_Unknown / not modelled,discharge_aftercare,100.0,85
num__had_discharge_planning_order,0.009815461996936647,0.01347870659083128,0.0016720184423540104,2,had_discharge_planning_order,discharge_aftercare,100.0,86
num__ed_length_of_stay_hours_filled,0.009779514386843935,0.012278949125789196,0.0001660237504425113,2,ed_length_of_stay_hours_filled,demographic_admin,100.0,87
num__urea_nitrogen_lab_std_value,0.009635077017210291,0.009737385755106543,0.0015412991204163326,2,urea_nitrogen_lab_std_value,lab_vital_hourly,24.934141752038467,88
num__safety_order_density_per_day,0.009575392877984576,0.01136320922523737,0.0053423744754450275,2,safety_order_density_per_day,poe_late_order_pathway,2.003972402257997,89
num__last_order_hours_from_admission_filled,0.009462866077124594,0.010699659585952759,0.002356835691743577,2,last_order_hours_from_admission_filled,poe_late_order_pathway,100.0,90
num__admission_year,0.009351115158767237,0.010827683843672276,-0.0004469013817883822,2,admission_year,other,100.0,91
num__new_antidepressant_started_flag,0.009250445752073545,0.009531786665320396,-0.00018861085791488683,2,new_antidepressant_started_flag,other,100.0,92
num__num_psychotropic_pharmacy_orders,0.00924342456465482,0.009812323473503574,0.00017782280990313022,2,num_psychotropic_pharmacy_orders,psychiatric_history,100.0,93
