processed_feature_name,mean_abs_shap,max_abs_shap,mean_signed_shap,shap_model_count,feature_name_clean,feature_family,nonzero_train_percent,importance_rank
num__anchor_age,0.032229869582384066,0.0353943407535553,0.0022073306171136974,2,anchor_age,demographic_admin,100.0,16
num__ed_length_of_stay_hours,0.019393301295662947,0.02034204639494419,0.00372011216548094,2,ed_length_of_stay_hours,demographic_admin,100.0,38
cat__last_service_OMED,0.019133057439774608,0.020068589597940445,0.00032647079080835016,2,last_service_OMED,demographic_admin,100.0,40
cat__race_UNKNOWN,0.018792494754291338,0.02214785310436639,0.0045959710781429625,2,race_UNKNOWN,demographic_admin,100.0,42
num__public_insurance_flag,0.017805040623677843,0.018202587962150574,-0.0004067011160905756,2,public_insurance_flag,demographic_admin,100.0,45
num__last_order_close_to_discharge_hours,0.13019478279021285,0.13509109616279602,0.10282847430646885,2,last_order_close_to_discharge_hours,discharge_aftercare,100.0,3
num__orders_last_12h_before_discharge,0.09607127731986889,0.10695679587022562,0.06338587062397141,2,orders_last_12h_before_discharge,discharge_aftercare,100.0,4
cat__discharge_location_Unknown / not modelled,0.08920741679506357,0.10559474383268466,0.010345328954061143,2,discharge_location_Unknown / not modelled,discharge_aftercare,100.0,6
num__discharge_hour,0.045025720656246083,0.04618861419028071,0.023077134304152067,2,discharge_hour,discharge_aftercare,100.0,10
num__last_order_close_to_discharge_hours_filled,0.034654746053214454,0.04633609435974674,0.02693787355628206,2,last_order_close_to_discharge_hours_filled,discharge_aftercare,100.0,14
num__num_unique_careunits,0.020630733859659894,0.022580187767744064,-0.00012231912733838945,2,num_unique_careunits,icu_care,100.0,34
num__icu_event_density_per_day,0.0035127482921000724,0.0038140933186047088,0.0004076966285041585,2,icu_event_density_per_day,icu_care,100.0,246
num__num_outputevents,0.0014462490593275703,0.0017367815598845482,6.415135538147357e-05,2,num_outputevents,icu_care,100.0,508
num__num_careunit_transfers,0.0010650726485236526,0.0012233663901096167,5.806964970302886e-05,2,num_careunit_transfers,icu_care,100.0,594
num__icu_event_interruption_score,0.0009231951688657981,0.0012207015804498458,-8.420436180757486e-05,2,icu_event_interruption_score,icu_care,100.0,628
num__hemoglobin_lab_last_value,0.01917507790107756,0.020779768005013466,0.0007110428176798975,2,hemoglobin_lab_last_value,lab_vital_hourly,100.0,39
num__wbc_lab_last_value,0.013157294078635848,0.015001817606389523,-0.00038779694925122107,2,wbc_lab_last_value,lab_vital_hourly,22.676667363579345,65
num__sodium_lab_last_value,0.01245725710050315,0.015463589690625668,-0.0017702925832636725,2,sodium_lab_last_value,lab_vital_hourly,2.89410411875392,70
num__hemoglobin_lab_min_value,0.01102686453917415,0.012140179052948952,-0.00041924278152882143,2,hemoglobin_lab_min_value,lab_vital_hourly,100.0,78
