csv_path,sheet_name,rows,columns,rows_written,note
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_config_comparison.csv,rapid_trial_config_comparison,9,33,9,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_feature_family_importance.csv,trial_feature_family_importance,10,6,10,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_matrix_diagnostics.csv,rapid_trial_matrix_diagnostics,1,11,1,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_model_family_shap_importance.csv,model_family_shap_importance,3236,5,3236,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_output_file_summary.csv,trial_output_file_summary,23,3,23,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_rebuilt_reduced_feature_names.csv,rebuilt_reduced_feature_names,904,8,904,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_rebuilt_reduced_feature_summary.csv,rebuilt_reduced_feature_summary,1,11,1,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_shap_global_importance.csv,trial_shap_global_importance,1618,9,1618,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_test_refit_ranking.csv,trial_test_refit_ranking,2,33,2,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_top5_features_by_family.csv,top5_features_by_family,50,9,50,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_validation_config_ranking.csv,trial_validation_config_ranking,7,33,7,complete
/scratch/DissProject/outputs/WP3_rapid_trial/tables/rapid_trial_validation_threshold_search.csv,trial_validation_threshold_sear,693,8,693,complete
/scratch/DissProject/outputs/WP3_rapid_trial/wp3_rapid_trial_csv_table_workbook_index.csv,trial_table_workbook_index,13,6,13,complete
