source_notebook,model_family,model_group,model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role_normalised,threshold_role,evaluation_subset,subset_admissions,precision_recall_gap,ensemble_members,ensemble_weights,ensemble_blend_note,recommended_threshold_label,threshold_selection_note
WP3.2,Reference baseline,reference_baseline,Reference baseline,0.5,0.8024,0.5,0.0,0.0,1.0,0.0,0.5,0.1976,0.1585,37852,0,9319,0,0.0114,0.0019,0.0004,0.0,reference,,,,,,,,,
WP3.2,Logistic regression,logistic_regression,Logistic regression,0.5,0.7406,0.7036,0.4021,0.6425,0.7648,0.4946,0.7799,0.5527,0.1803,28949,8903,3332,5987,93.9351,0.1583,0.0396,0.0008,reported,,,,,,,,,
WP3.2,Logistic regression,logistic_regression,Logistic regression,0.57,0.7863,0.6991,0.4657,0.5549,0.8433,0.5064,0.7799,0.5527,0.1803,31919,5933,4148,5171,93.9351,0.1583,0.0396,0.0008,reported,,,,,,,,,
WP3.2,Logistic regression,logistic_regression,Logistic regression,0.5,0.7406,0.7036,0.4021,0.6425,0.7648,0.4946,0.7799,0.5527,0.1803,28949,8903,3332,5987,93.9351,0.1583,0.0396,0.0008,reported,,,,,,,,,
WP3.2,Logistic regression,logistic_regression,Logistic regression balanced precision-recall threshold,0.61,0.8068,0.6943,0.5112,0.5082,0.8803,0.5097,0.7799,0.5527,0.1803,33323,4529,4583,4736,93.9351,0.1583,0.0396,0.0008,balanced_precision_recall,,,,,,,,,
WP3.2,Tuned logistic regression,tuned_logistic_regression,Tuned logistic regression,0.5,0.7416,0.7027,0.4028,0.6385,0.7669,0.494,0.7799,0.5528,0.1802,29030,8822,3369,5950,211.6863,0.1561,0.0397,0.0008,reported,,,,,,,,,
WP3.2,Tuned logistic regression,tuned_logistic_regression,Tuned logistic regression,0.57,0.7878,0.6991,0.4686,0.5524,0.8457,0.507,0.7799,0.5528,0.1802,32013,5839,4171,5148,211.6863,0.1561,0.0397,0.0008,reported,,,,,,,,,
WP3.2,Tuned logistic regression,tuned_logistic_regression,Tuned logistic regression,0.49,0.7345,0.7036,0.3958,0.6525,0.7547,0.4927,0.7799,0.5528,0.1802,28568,9284,3238,6081,211.6863,0.1561,0.0397,0.0008,reported,,,,,,,,,
WP3.2,Tuned logistic regression,tuned_logistic_regression,Tuned logistic regression balanced precision-recall threshold,0.61,0.8064,0.6911,0.5102,0.5006,0.8817,0.5054,0.7799,0.5528,0.1802,33374,4478,4654,4665,211.6863,0.1561,0.0397,0.0008,balanced_precision_recall,,,,,,,,,
WP3.2,Calibrated tuned logistic regression,calibrated_tuned_logistic_regression,Calibrated tuned logistic regression,0.5,0.8371,0.6261,0.7313,0.2774,0.9749,0.4022,0.7797,0.5528,0.1235,36902,950,6734,2585,73.129,0.47,0.1202,0.0025,reported,,,,,,,,,
WP3.3,Random Forest,random_forest,Random Forest,0.5,0.8274,0.6825,0.583,0.443,0.922,0.5034,0.7896,0.5806,0.1354,34899,2953,5191,4128,1228.7664,5.9284,1.2315,0.0261,reported,,,,,,,,,
WP3.3,Random Forest,random_forest,Random Forest,0.47,0.8193,0.6907,0.549,0.4781,0.9033,0.5111,0.7896,0.5806,0.1354,34192,3660,4864,4455,1228.7664,5.9284,1.2315,0.0261,reported,,,,,,,,,
WP3.3,Random Forest,random_forest,Random Forest,0.42,0.8004,0.7039,0.4954,0.5444,0.8635,0.5187,0.7896,0.5806,0.1354,32685,5167,4246,5073,1228.7664,5.9284,1.2315,0.0261,reported,,,,,,,,,
WP3.3,Random Forest,random_forest,Random Forest balanced precision-recall threshold,0.51,0.8296,0.68,0.5942,0.4328,0.9272,0.5008,0.7896,0.5806,0.1354,35098,2754,5286,4033,1228.7664,5.9284,1.2315,0.0261,balanced_precision_recall,,,,,,,,,
WP3.3,Random Forest,random_forest,Random Forest,0.29,0.6764,0.7044,0.3509,0.7506,0.6581,0.4782,0.7896,0.5806,0.1354,24912,12940,2324,6995,1228.7664,5.9284,1.2315,0.0261,reported,,,,,,,,,
WP3.3,Regularised Random Forest,regularised_random_forest,Regularised Random Forest default threshold,0.5,0.8045,0.701,0.505,0.5298,0.8721,0.5171,0.789,0.5798,0.1521,33012,4840,4382,4937,879.3197,5.5291,1.2023,0.0255,default,,,,,,,,,
WP3.3,Regularised Random Forest,regularised_random_forest,Regularised Random Forest training F1 threshold,0.49,0.7998,0.703,0.4939,0.543,0.863,0.5173,0.789,0.5798,0.1521,32667,5185,4259,5060,879.3197,5.5291,1.2023,0.0255,training_f1,,,,,,,,,
WP3.3,Regularised Random Forest,regularised_random_forest,Regularised Random Forest training Youden threshold,0.43,0.7587,0.7113,0.4256,0.633,0.7896,0.509,0.789,0.5798,0.1521,29889,7963,3420,5899,879.3197,5.5291,1.2023,0.0255,training_youden,,,,,,,,,
WP3.3,Regularised Random Forest,regularised_random_forest,Regularised Random Forest balanced precision-recall threshold,0.53,0.8161,0.6916,0.5384,0.4858,0.8975,0.5107,0.789,0.5798,0.1521,33971,3881,4792,4527,879.3197,5.5291,1.2023,0.0255,balanced_precision_recall,,,,,,,,,
WP3.3,Regularised Random Forest,regularised_random_forest,Regularised Random Forest recall-oriented threshold,0.3,0.5919,0.6826,0.3049,0.8326,0.5327,0.4463,0.789,0.5798,0.1521,20163,17689,1560,7759,879.3197,5.5291,1.2023,0.0255,recall_oriented,,,,,,,,,
WP3.4,XGBoost,xgboost,XGBoost default threshold,0.5,0.7711,0.7186,0.4443,0.6318,0.8054,0.5217,0.7982,0.5912,0.166,30487,7365,3431,5888,287.9421,0.3218,0.0819,0.0017,default,default,,,,,,,,
WP3.4,XGBoost,xgboost,XGBoost official balanced precision-recall threshold,0.59,0.8166,0.7049,0.537,0.5202,0.8896,0.5285,0.7982,0.5912,0.166,33672,4180,4471,4848,287.9421,0.3218,0.0819,0.0017,official,official,,,,,,,,
WP3.4,XGBoost,xgboost,XGBoost training Youden threshold,0.47,0.7483,0.7193,0.4153,0.6714,0.7673,0.5132,0.7982,0.5912,0.166,29042,8810,3062,6257,287.9421,0.3218,0.0819,0.0017,training_youden,recall sensitivity,,,,,,,,
WP3.4,XGBoost,xgboost,XGBoost balanced precision-recall threshold,0.59,0.8166,0.7049,0.537,0.5202,0.8896,0.5285,0.7982,0.5912,0.166,33672,4180,4471,4848,287.9421,0.3218,0.0819,0.0017,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,XGBoost,xgboost,XGBoost exploratory held-out F1 threshold,0.59,0.8166,0.7049,0.537,0.5202,0.8896,0.5285,0.7982,0.5912,0.166,33672,4180,4471,4848,287.9421,0.3218,0.0819,0.0017,heldout_f1,exploratory,,,,,,,,
WP3.4,Targeted XGBoost,xgboost_targeted,Targeted XGBoost default threshold,0.5,0.8432,0.6531,0.7187,0.3389,0.9673,0.4606,0.7988,0.5933,0.1185,36616,1236,6161,3158,253.0198,0.299,0.0709,0.0015,default,default,,,,,,,,
WP3.4,Targeted XGBoost,xgboost_targeted,Targeted XGBoost official balanced precision-recall threshold,0.31,0.8148,0.7068,0.5315,0.5283,0.8853,0.5299,0.7988,0.5933,0.1185,33512,4340,4396,4923,253.0198,0.299,0.0709,0.0015,official,official,,,,,,,,
WP3.4,Targeted XGBoost,xgboost_targeted,Targeted XGBoost training Youden threshold,0.23,0.759,0.7193,0.428,0.6537,0.7849,0.5173,0.7988,0.5933,0.1185,29710,8142,3227,6092,253.0198,0.299,0.0709,0.0015,training_youden,recall sensitivity,,,,,,,,
WP3.4,Targeted XGBoost,xgboost_targeted,Targeted XGBoost balanced precision-recall threshold,0.31,0.8148,0.7068,0.5315,0.5283,0.8853,0.5299,0.7988,0.5933,0.1185,33512,4340,4396,4923,253.0198,0.299,0.0709,0.0015,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,Targeted XGBoost,xgboost_targeted,Targeted XGBoost exploratory held-out F1 threshold,0.31,0.8148,0.7068,0.5315,0.5283,0.8853,0.5299,0.7988,0.5933,0.1185,33512,4340,4396,4923,253.0198,0.299,0.0709,0.0015,heldout_f1,exploratory,,,,,,,,
WP3.4,Calibrated Targeted XGBoost,calibrated_targeted_xgboost,Calibrated Targeted XGBoost default threshold,0.5,0.8413,0.6457,0.7192,0.3225,0.969,0.4453,0.7932,0.5844,0.1204,36679,1173,6314,3005,14.9382,0.2857,0.0716,0.0015,default,default,,,,,,,,
WP3.4,Calibrated Targeted XGBoost,calibrated_targeted_xgboost,Calibrated Targeted XGBoost official balanced precision-recall threshold,0.25,0.8162,0.7011,0.5366,0.5109,0.8914,0.5234,0.7932,0.5844,0.1204,33741,4111,4558,4761,14.9382,0.2857,0.0716,0.0015,official,official,,,,,,,,
WP3.4,Calibrated Targeted XGBoost,calibrated_targeted_xgboost,Calibrated Targeted XGBoost validation Youden threshold,0.16,0.7469,0.7154,0.4126,0.6633,0.7675,0.5087,0.7932,0.5844,0.1204,29051,8801,3138,6181,14.9382,0.2857,0.0716,0.0015,training_youden,recall sensitivity,,,,,,,,
WP3.4,Calibrated Targeted XGBoost,calibrated_targeted_xgboost,Calibrated Targeted XGBoost balanced precision-recall threshold,0.25,0.8162,0.7011,0.5366,0.5109,0.8914,0.5234,0.7932,0.5844,0.1204,33741,4111,4558,4761,14.9382,0.2857,0.0716,0.0015,balanced_precision_recall,balanced precision-recall,,,,,,,,
